参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
CCST9012 A source,Push,Want too,Push,1,5,,,,,
BA 轉BBA一問,最緊要可以積累啲case competition經驗同埋intern 令佢啲到你嘅motivation,其實好似gpa要求唔高（利申上年3.35轉成功,high gpa,1,4,,,,,
今年ENGG計best幾,Oh😂我理解錯左 我以為話1011唔計入best8,佢話4科要engg /1851 /1853 但係1011唔可以當係engg,入面好似冇講喎,1,10,,,,,
有冇人試過讀4+5個course ？？🙏🏻,Reg住free elective先囉,4／5年讀夠就得㗎喇,Thx🙏🏻,3,5,,,,,
放caes textbook,pm,近乎全新 未寫過嘢 100,,,,1,2,,,
想讀 Chin 2172 香港文學啊😭,爛爛哋又唔係好insightful 讀其他course啦,Same🥲,想問下有冇讀過可以分享下？,1,6,,,,,
CCST9020 點睇？,A range ccst9020 source for sale! Please telegram @mushashaa for further proofs and details!,咁姐係field trip完全冇用？,做 report都係自己搵資料個 field trip得個行字,4,9,,,,,
CCST9020,A range ccst9020 source for sale! Please telegram @mushashaa for further proofs and details!,Hi,有冇人student no.係雙數？,1,3,,,,,
推唔推薦cchu9016/cchu9033🙏🏻🙏🏻,Cchu9016 A range source for sale,A range source for sale. Please dm telegram @mushashaa for proofs and details.,好🙏🏻,1,7,,,,,
hist2150/hist2079?,Want know too,which tutor better? good grade,,,,1,3,,,
搵cchu9060 grpmate,pm 唔到 :/,pm,"me too 啱啱reg, don’t know what’s going on 😭 個個組晒隊？",1,7,,,,,
求 bbms2008 source,push,想要A sources 最好係from 20-21 sem pls pm,,,,2,,,,
Easy A Grade CCCH common core,ccch 9027 如何,Ccch9015 A grade source for sale Pm if interested,有冇人讀過CCCH9052🙏 分享下,104,152,,,,,
Elec2544 搵groupmate,有無人未有組,,,,,,,,1,1
Double major定intensive major,你係confirm咗intensive?,"我覺得少少la但係會多啲關於medic嘅嘢例如pharm, human anatomy之類掛",Double biochem?,3,7,,,,,
有冇人都係讀緊 CHIN1116￼?,pm,pm🙏🏻,Pm,1,14,,,,,
Sowk1012 B range,其實sowk／Counselling改文冇你地諗到咁主觀如果覺得唔公平或者唔明自己有咩做得未夠其實都可以email prof佢哋好有可能會答你,懷疑根本亂派grade,落撚哂日常例子 有乜唔同 都話無,3,53,,,,,
Mandy Yu lcom course,其實Mandy yu啲lcom course使唔使睇reading，見佢啲ppt好似同reading啲內容差唔多，但佢上堂又叫我哋睇reading…同埋想知佢靚唔靚grade,,,,,,,,1,1
Fbe Business sources,ACCT3109 A range source for sale,A+ ACCT1101 A+ ACCT2105 sources for sale,Acct 2105 sources for sales🙆🏻‍♂️  pm if interest :),1,4,,,,,
GCIN2017?有冇人讀過？,"Push, 有冇人今個sem讀？",,,,,,,,1,1
CCGL 9015 find gp mate🔥,Pm,,,,,,,,1,1
HSBC scholarship,有無人收到interview email,,,,,,,,1,1
psyc 1001 tutor,Cedar yinggoi ok,除左beverly 有冇邊個係好啲嘅,Beverly ok,1,7,,,,,
BSTC A range source for sale,Hi,Pm,Pm have,2,76,,,,,
Econ 1220 1210 A+ source sales,Pm,Pm,Pm,1,24,,,,,
请问ACCT 2102 subD有人一起组队嘛🥺,请pm我wechatID，Thanks！,,,,,,,,1,1
2022 biol1309,https://t.me/+5KPb0ch3toFkMDBl,,,,,,,,1,1
Biol1309 !!,https://t.me/+5KPb0ch3toFkMDBl,Same too! tg:dysy1010,Yau mo tg,1,5,,,,,
__,Push,Push,Push,1,8,,,收sowk1012 A range sources,,
CCHU 9043 招Groupmate,Pm,一齊做project,,,,1,2,,,
Ccst9072 smile! Teeth找grpmate,pm!!,Hi!!,Pm!! :)),1,10,,,,,
Ccgl 9063 點🙏🏻🙏🏻🙏🏻,有冇人讀過 比分鬆唔鬆手🙏🏻🙏🏻🙏🏻,,,,,,,,1,1
fina2320 搵groupmate,Pm,Pm,Subclass F,1,11,,,,,
有冇人一齊讀sowk 1004,Pm,Pending jor 3 days,屌same,1,4,,,,,
__,"$60 including 1. individual essay, 2. group project and 3. exam questions in brief",,,,,,,Geog3214 A range source,1,1
招GEOG 2057 bj groupmate,有意pm,,,,,,,,1,
MKTG2501 2I Groupmates!!,Pushhhhh,靚Grade gpmates請dm,Push,1,3,,,,,
想讀7個course，點申請,不過前日deadline,sci fac嘅話要起OASS apply,,,,1,2,,,
__,我都覺得今年嚴過上年,🥲🥲🥲,Heard from tutor that this year  programme head 唔想再見到咁多A 所以叫tutor比緊啲,3,14,,,Sem 1 KORE1001 grade？,,
⛑,Pm,how to pm?,Me too :) could I pm you both ?,1,10,,,Yr1 mbbs,,
IIMT2601/CBBA9001 A sources,up,up,up,1,14,,,,,
Econ1220 which sub class 好,Zhanglei,U reg in this sem?,EFG?,1,5,,,,,
__,pm,pm,Pm,1,5,,,CCHU9043 揾grpmate,,
有冇人CCHU9043想一齊上tutor,pm,here ar,here,1,32,,,,,
fina2330 past paper,Pm,Pm,Pm,2,12,,,,,
GCIN2009 on moodle?,ching正常的 me too,GCIN2009 moodle係咪仲未有 連email都冇個🥲,,,,2,,,,
CCCH9007 招同伴✨,hi,pm,,,,2,2,,,
收 CCHU9062 2021 fall source,up,up,,,,1,5,,,
Ccch9007 如何?,Thanks,grace 未比佢教過，anthony 都ok 嘅，講野唔會太悶，不過d 英文就比較港式口音，睇你自己習唔習慣,想問下邊個tutor nice D？,2,7,,,,,
賣Bio/Chem/Psy Textbook,Do you have gen chem full solution?,Pm,Pm,1,9,,,,,
"放Bstc2004, bstc2005 source",A+ source sale,,,,,,,,1,1
COMP3270 VS COMP3314,3270 太theoretical 你睇下啲slides 就明,因為3314 有linear regression個啲？,有冇話點解,2,8,,,,,
放Caes1000 textbook,Pm,Pm,pm,1,14,,,,,
放caes 1000 textbook,95%新 未寫過嘢 $100依家可在campus交收,,,,,,,,1,1
Iimt2602  難唔難讀,新course點會有人知😑 但應該會比comp1117 容易囉,Wanna know too,Push,2,3,,,,,
放A range source,Have A range sourceMUSI 1023 ACCGL9049 A,CCCH 9018 pm,BIOL 2103 pm,1,16,,,,,
收BIOL2103 A range lab report,pm,Have A+ source,Pm a range,1,5,,,,,
Chin1117 圍爐,29%,,,,,,,,8,17
CIVL3103 leng grade?,係咪背書就得,B-,Nope,1,3,,,,,
ENGG1330 Prog1 A+ Sources,Pm,"Hi, still available?",Pm,1,7,,,,,
Iimt2601 邊個教好啲,ding chao or fang yulin better,Lok Chun Kit for sure,Iimt2601 Mao Shengjun 定Lok Chun Kit好啲？,1,3,,,,,
Mech 2407 求救😅,最尾嗰條冇做到都拎B🙏🏻,唔識,點算,1,15,,,,,
FINA1310 ECON1220 Study group,Econ 1220 !,Pm,ECON1220 E,1,10,,,,,
收BIOC3604 source,有意請pm我 想要lab report source🙏🙏,,,,,,,,1,1
等救命 求放2170,有無好心人放CHIN2170？😭唔想defer🥺6科 time table得返呢個time slot可以放Chin🙏有無好心人🙏 要課金都可以😢,,,,,,,,1,1
sem one final 補考通常係咩時間 有冇考佐的,Which faculty you are,i just send email to prof and ask him when is the supplementary exam,not sure,2,8,,,,,
CCST 9079  zoom link 想聽日試堂,"moodle search course code, 然後click入去，揀enrol me",有冇人知呢科點樣,自己 self enroll la,1,3,,,,,
有冇人reg咗CCHU 9043？,呢度,pm,hi,2,4,,,,,
yr1 sem1 law grade🥲,Plz answer seriously 🥲,"let me clarify, i meant cgpa, can also provide ur law g for reference",,,,3,3,,,
__,https://forms.gle/tMwTJA61gJ461EbY9,我哋發現啲KongU嘅同學都唸住做家教，所以我哋成立咁嘅Platform，希望可以幫手你哋搵學生如果你哋有興趣嘅話，可以填埋form，留低information，我哋會幫助大家。同其他嘅平台相比，我哋只會收offline 一又半堂課嘅介紹費，或者兩堂線上課嘅學費。WeChat +852 67350014WhatsApp +852 92165388instagram hkututor8,,,,1,2,揾pt做家教？,,
☠,今個sem,想問有冇隊友一齊讀CCST9066,Ohohohoh 好似係我7咗sorrlyyy 😹,2,6,,,CCST9066...,,
Geog2132 world cities,靚grade??,,,,,,,,1,1
ccst 9079,Lm,有冇人講下呢科,,,,1,2,,,
Cchu 9043 assignment 1 幾分,final what grade？🙏🙏,Tutor 同 Debates 冇乜點講過嘢🤦🏻‍♀️應該要爛grade 了,Carol好似出名鬆手?,6,7,,,,,
Cchu 9043 any?,Pm,yes,,,,1,5,,,
__,忠告：讀得掂嘅唔需要問 要問嘅通常都讀唔掂,入engine悔終生,best5 3.4/3.5 best8 唔知,2,5,,,Engine入CS gpa要幾高,,
elec2544 form group,有無人無組？,,,,,,,,1,1
fbe ISA 難唔難,想知 想minor isa,想major ISA，有冇同路人講下同CS嘅分別,,,,1,2,,,
有冇人讀過ccgl9063,Want know too 好似有好多 quiz,想知靚唔靚grade，workload 大唔大？,,,,1,2,,,
放GEOG1016 A+ Source (2 sets),PM me or TG: natchan0504,,,,,,,,1,1
Ccgl 9066,好似係2021-2022嘅New CC 我諗冇人比到comment你,Push,想知,1,5,,,,,
A Range GEOG1016 Source Sale,hii,Pm,賣source/Sell source (A+): 2 term paper samples and 3 exam script samples! Pm me!,1,4,,,,,
有冇人因為mental illness defer,leave of absence都要比學費？,UGC既話 Defer一個Sem就2萬1一年4萬二咁,gap sem都好,1,5,,,,,
ccst9018 poster grade,Any source for sale plz??🤝🤝,95% hea做too,65😭,5,10,,,,,
__,"I have studied 15 courses so far, it’s the only course that I didn’t score above B",Larn grade B- I rlly hate this course,Larn grade B+,2,8,,,Ccch9005 sem1,,
仲會唔會有人Drop cc😵‍💫,頭先好多人放cc 出黎🤣,會 自己mon住 利申: 所有cc 都係執返嚟,啱先drop完add返另一個cc approve咗😂,1,9,,,,,
CCCH9027 tutorial 有冇人齊reg,Grp1 5,grp8 or 9？,,,,1,2,,,
CART9001 sem2 有冇人讀😂,https://t.me/+-AG_mvcgtp85ZWVl,Want join,want join,2,21,,,,,
有冇文科人讀到嘅ccst?,9065,9035,🙏🏽🙏🏽,1,3,,,,,
有沒人今個sem take cchu 9060,"想組隊做project, at least 想可以扶持下個Course😂",,,,,,,,1,1
Exchange interview,hkuww 日本 full year 有,Hkuww冇,有冇人收到,1,3,,,,,
☠,CCST9014同學可以入來傾傾https://t.me/+IDWN_2jUsIdiNzNl,reg jor,lm,4,14,,,CCST 9014伏唔伏？,,
CCST 9018伏唔伏？,ST伏科多不勝數 樓主睇路,,,,,,,,1,1
GCIN 2字頭course 係咪仲pending 緊？,"declare 咗minor, reg 咗2017 仲pending係咪代表disapproved定係真係咁慢😥",,,,,,,,2,1
IIMT2601 G/H 求組隊,宜家仲爭2個～,走freeriders (以我經驗我會report同提早走佬）Aim A range需要多3個,,,,2,2,,,
靚grade free electives,Weekly quiz= hw,除咗no hw之外，其他都係事實lol,Ital1101 larn?,4,29,,,,,
__,Pm,Can you pm me,OK,4,23,,,高價發售pysc1001 必A source,,
求推介靚grade free electives,push,geog1003,可以講講workload大唔大 有冇tutorials之類Thanks!,1,3,,,,,
__,Xavier 世一,British Airways 大把,一人一個BA靚仔🙏🏻,1,3,,,究竟BA有冇靚仔？？,,
Any Leng grade freeElectives.,musi1023,,,,,,,,1,1
CCHU 9051,個人覺得如果對philo冇興趣唔好讀…如果唔係會讀得好辛苦,唔錯姐係多唔多人攞A range🙏🏻🙏🏻🙏🏻,,,,3,8,,,
CHEM1042難唔難？,Dse chem唔錯,reg唔切cc點解要揀chem,cc 同chem係兩樣嘢黎wor,1,11,,,,,
Year 2仲有冇得轉minor,自己問你個faculty/AAO,How,major都可以,1,4,,,,,
Sowk要sosci fac先可以major到？,Social work係degree only 冇major,其他faculty既人唔可以major?,,,,1,2,,,
Nursing炒咗life science 點算,你都fail jor?,Life science 1有幾多人fail🥲,冇email叫我re exam ge,1,8,,,,,
有冇人reg咗ccch9018 可以一齊上🥲,pm,Same!pm!,Pm!!!,2,13,,,,,
english department tutor,Maggie leung or jennifer g.,,,,,,,,1,1
ccgl9042 prof比咗爛grade,可能今屆特別爛 以往畢嬲話靚grade,你地真係信會靚grade,如果你平時分夠好,1,20,,,,,
BTSC1003 A+ source,"if interested, https://t.me/puilammm",,,,,,,,1,1
Ccgl9032,有冇人讀,,,,,,,,1,1
SOWK2099,Hi!,hi,Pm!,1,5,,,,,
搵 study partner,Which course,Push,Push,1,4,,,,,
Mgmt2401 A source for sale,"Have too, pm me",Push,Please telegram @mushashaa for further details and proofs!,1,3,,,,,
CAES Parco Wong靚grade？,幾好grade 又nice A-,求解答，好人一生平安🙏🏻,Push,1,10,,,,,
Med fac有冇dean list,請問幾多分有dean list,Biomed ? Yes,,,,1,2,,,
SOWK1012 Textbook 超低價￼放售,SOWK1012 Textbook 超低價放售 有意情pm,,,,,,,,1,1
__,Push,Push,求too plz pm me if you hv🙏🙏,1,3,,,求ccgl9025 source🙏🏻,,
放caes 1000 A range source,放caes A range source (有proof ) :essay+draftreport + draft,,,,,,,,1,1
CCCH9026 good grd？,係咪今個sem讀😂,+1想知,want to know is it easy to get good grd？,1,4,,,,,
GS summer internship 一問,"Would they overhire so many, that in the end only a few get return offer?",,,,,,,,1,1
__,Pm🙏?,Can pm?,,,,1,24,[Hkuww] 有冇人 sem2 去 Copenhagen?,,
CCGL9068有冇人讀,Pmed,Pm,Pm!,2,8,,,,,
讀POLI3020嘅入一入黎！,伏+爛grade,大家覺得伏唔伏同埋lecture走唔走得👉🏻👈🏻,,,,1,2,,,
跪求fina3350 source,And/ or study partner :D,,,,,,,,1,1
求BSTC 1003 source,Pm,：（,Push,1,7,,,,,
擺低Cchu 9030 咩grade,B,,,,,,,,1,1
Exchange 啲科係咪全部p/f?,Ohh原來係咁～唔該哂,所以冇得話trans 多 d,你每個sem只可以讀host institution 嘅 normal load,1,5,,,,,
有冇人放MKTG GCIN sources？,Have pp?,Have mktg ebook,收 MKTG3523MKTG3529GCIN2020 GCIN2017,1,3,,,,,
__,Pm,Pm,,,,1,5,收caes1000書,,
__,收caes1000 revised 2nd edition書，帶價thx,,,,,,,Caes1000 收書,1,1
求 gend1001 study partner,Pm?,yes,21/22 sem2？,1,8,,,,,
放CAES 書,Still have book ?,Pm,$80Pdf $30,1,3,,,,,
有咩art 靚 grade intro course,以上2個都Take過 全部A+ 👍🏻,ling1000,GCIN1001,2,4,,,,,
有冇人讀stat2604,想問你最尾咩grade,Sem1 讀左 assignment 好易 3-5份 prof. 會問同學想做幾多份 夾埋佔50%. 但係final project 難到痴線 好似無學過咁 都係估50%. btw 唔知佢會唔會改因為我見前幾年模式唔一樣,Push,1,3,,,,,
CAES9206 disapprove左,Any??😭😭,,,,,,,,1,1
收 AMER 2068 source!!!,靚唔靚grade?,如題！,,,,1,2,,,
elec2884 係唔係都轉左online,sorry 應該elec2840先岩,想知今年嘅elec2844，姐係engineering training，係唔係都係轉左online,,,,1,2,,,
想問Kore1021 zoom定f2f,Free e can be for yr1 or y2. Dk good grade or not ><,Just asking . Is it free elective ? Good grade ?,,,,1,2,,,
cchu9044靚唔靚grade,有冇ching知,,,,,,,,1,1
Kore1021揮手區,Wanna ask where is the zoom link?,想問係咪都係f2f?,未有 moodle 同 zoom link,1,21,,,,,
CCST9066 leng mm leng?,同問！,😭有冇人讀過,,,,1,2,,,
CCGL9025 A source,Push,Push,Please pm me if you have,1,3,,,,,
__,我都搵唔到，以為係我問題tim,聽日上堂Ccch9007個moodle連zoom link都冇,,,,1,2,Ccch9007 moodle仲係咩都冇,,
點解神科特別多A0?,例如…..樓主？,掛住讀書唔拍拖？,,,,2,2,,,
CLIT1008 or JMSC1001 靚grade d,如果二揀一，大家揀邊個,,,,,,,,1,1
time clash一問,咁如果係特殊情況例如上個sem 讀完但failed，今個sem retake 撞時間呢？,咁應該apply唔到,冇咩特別理由，兩個course都要讀，宜家全部有recording，兩個course都唔計attendance，純屬覺得可以clash,1,6,,,,,
Anyone wants to drop ccgl9042?,"Got it, thx Ching 😅",as i rmb the vacancies in add-drop period are allocated on a random basis but not first-come-first-served,"If yes, pm me, I pay you to negotiate a time for you to drop & me add🙏",1,3,,,,,
冇exam 嘅靚grade free e,Ling1000 有final take home assessment 同exam冇乜分別,有冇tutorial? workload點?,Ling1000,2,4,,,,,
收scnc1112書🙇🏻‍♀️🙇🏻‍♀️,I have 8th edition,May I know how much is that? Thanks!,Have 8th edition,1,4,,,,,
sowk1012 sowk1015,同問1015,Use canto is okay,因為1012要interview，所以少驚handle吾島😩,1,6,,,,,
有無人讀緊BIOL3105,小心我report你,見佢頭2個quiz轉咗online，有興趣一齊做既pm！,,,,1,2,,,
ECON1220 徵source(past paper),Pm,Same here with low price!!!,wkf will just give 2 yrs ppi have mt and final from 14-21 for sales,1,15,,,,,
哲學major 揀咩course 好？,想讀咩就讀咩👍,Pm!!,Pm?,2,5,,,,,
CCGL9042組隊,pm me,pm,,,,2,2,,,
依家係咪無得drop?,啱先drop到,Suspension period,,,,1,4,,,
求CS discipl Electives source,PM,有冇3250? thx,Hv source,1,13,,,,,
cc攞咩grade先叫正常,B,B+,,,,1,2,,,
☠,Pm,pm hv A range sources,🆘,1,3,,,收yr1 engine core source😩,,
Geog2154 source,靚唔靚grade?,好易 同佢review講嘅題目一樣,我問啲人都係得b range🤔,3,13,,,,,
__,邊度睇,好少科揀,想問summer sem啲course會唔會易reg啲？推唔推介讀？,1,3,,,有關summer sem,,
收Caes1000書,pm,$30 有啲花,Check pm,1,6,,,,,
[Law] Equity Rebecca Lee tutor,有冇人知Rebecca 做tutor 好唔好🙏🏻,,,,,,,,1,
知唔知￼summer sem￼有咩科可以報㗎￼,Any more?,極少量cc同少量文科,同問,2,4,,,,,
BIOC3606 molecular medicine 圍爐,求解答,Push,Bioc2600 A+ 夠唔夠？😂,1,8,,,,,
Cchu9065,"Grade A cchu9065 2020-2021 sem 2 sourceThe source basically includes all that you need to get an A in CCHU9065 A life worth living🙈, which includes:(1) A remark on CCHU9065(telling you all the tips to get A grade in this course)(2) all in-class participation works(3) all short written assignments on each topic(4) full mark in-class presentation sample(5) final essay sample(6) A final essay notes Have proof, please dm telegram @mushashaa for more details",thank you so much！,Ok thank you so much 😍,1,19,,,,,
BA人求解,gcin 呃grade之選 = 實爆4,at least hku complit is quite famous?? idk,haha true!,1,12,,,,,
正常普通grade cc多數攞咩grade,A,咁嗰兩科cc係咪爛grade,A,2,21,,,,,
有冇人CCGL9007,今個sem reg左🙉🙉,,,,,,,,2,1
Nursing 入黎放低你嘅grade,yr2 2.86…認真已經好比心機讀 chur極竟然都爛過上個sem diu,想知year1,All year la,1,6,,,,,
Engine 派左了,failed 2104 haha,Which course,B,1,26,,,,,
__,睇你好唔好彩 今次唔係先到先得 好彩就有得抽中你讀,好！唔該曬大家！,應該冇,1,8,,,有關Add drop period 😢,,
__,上年讀B- 真心workload 又重又唔好grade,Sad😢再push一下,讀過唔好grade,2,5,,,Ccch9017 揾下人一齊讀🤩,,
psyc1001 sem1 grade,A-,A,B+,1,4,,,,,
__,run,如題會唔會話好Chur定係點，見網上面好似冇咩資料咁,,,,2,2,有冇人讀過CCST9006,,
Geog2057,靚grade? workload大吾大?,,,,,,,,1,1
poli 1003 or psyc 1001,請問大家覺得邊個容易滴？,,,,,,,,1,1
有無人讀過sowk1004,Dr. Maosheng Ran?,Professor on9 大陸音勁到冇人明PowerPoint 垃圾,利申 次次quiz 都8成 final essay 都8成 但得B-,9,18,,,,,
CCST9042 一齊爛 grade!,A-,A quiz 2 應該冇五成分😂,Cls quiz 2 炒到 hihi 竟然 A+,3,53,,,,,
Japanese placement test,有冇人考過for JAPN1099既placement test 想知大概考啲咩,,,,,,,,1,1
收econ1210 sources,Pm,"A grade sources for sale, including quiz questions with workings",Hi,1,9,,,,,
add drop courses幾時會出approval,下年，xgu做嘢慢 🙂,"今日add咗個course, 幾時會收到approval",,,,1,2,,,
language course正常係咩grade？,A+,Kor 1001?,anw thanksss,2,11,,,,,
CCST有咩靚🐢課,想問你d asm同project加埋幾多%,Ching咩grade🥲,workload真係極低，有final但題目同pastpaper差唔多，但我b+左😅,6,18,,,,,
求靚grade ccst,ccst9043,9035,師兄咩grade,3,13,,,,,
CGPA 3.51 會唔會係first hon畢業,engine leh?,咩fac 預九成都唔得先 3.5-3.6其實好多人 全部都升first hon唔得掂,no 3.59都未必會,2,6,,,,,
MKTG 2501邊個Professor 好啲,Push,Cao Jingcun 定 Jinzhao Du好啲 求答,,,,1,2,,,
☠,著suit係基本啦,想問 Interview 係咪一定要著suit 同埋大概問咩問題🙇🏻‍♂️,,,,1,2,Faculty exchange interview,,
cc 攞咩grade先叫爛,Ok la,咁c+ 算唔算ok,c,1,3,,,,,
BBMS2008 groupmate,有冇人讀,,,,,,,,1,1
想問cc幾時approve,印象中佢個網有寫,今日全日冇攪過珠🤨,Push,1,8,,,,,
MKTG 2501 Class H I 覺得點,大家點睇,個Professor 好似正常... 但佢啲Slide好奇怪,,,,1,2,,,
有邊啲fac未出gpa同grade,我幫你答左啦,N25,5,2,19,,,,,
sci嘅 多唔多人gpa過3,讀咗兩年 未試過過3,感覺多,得top 1%嘅人有3,1,3,,,,,
Add drop仲未approve可唔可以去上堂？,到就快上堂果日就會有moodle,有,想問有啲course連moodle都未show出黎，點睇到佢online定f2f?,2,12,,,,,
Econ2220 -2020,答案係341.2,Q6 點做😭,想問q6🤦🏻‍♀️,5,6,,,,,
__,佢係我阿媽黎，係第一個hku cs nobel prize得主兼創系主席嘅曾孫女,好似係Computer Science postgraduate,*攞,11,22,,,長住智華帶cap帽個女人係咩人,,
Poli 1003 exam grade,Set voting 🗳 system !,,,,,,,,1,1
停課冇得同我個crush 一齊上堂😢,😂,我女神今年final year 😢😢,但係你之後都可以見返佢😢,9,14,,,,,
Geog2090 grade,有幾多個exam F左…,,,,,,,,1,1
Engine 唔好揀CS,唔係咁易,辛苦四年畢業一定有工開同高人工 好過其他major先,,,,2,21,,,
Civil source,Pm,Pm,Pm,1,7,,,,,
__,有冇人reg,pm,,,,14,27,有無人可以講下cchu9060點樣呀,,
有無人係圖書館返pt?,唔通要去main lib 直接問,一來係想返pt 啦😀 二來又唔見cedars 有🥲,咁你地去上書啦😂,6,17,,,,,
Year 3仲可唔可以reg introductory科架？,我 final year 都啱啱 sem1 讀完 soci1001 🤣,Can as in sociology’s case,可以,3,8,,,,,
讀CS third Hon 灰咗,真,搵啲intern儲靚個cv 搵啲side proj打救下👍🏻,mc最撚賤 啱加分錯扣分 扣到負20分都做得出,1,10,,,,,
psyc1001 textbook 3rd edition,📷,啱啱實測download到,https://jp.b-ok.as/book/5899089/0c0782,3,4,,,,,
CART,,,,,,,,,,
CCGL9033揮手區,系咪已經入哂moodle 🙈 cuz portal approved but not in moodle …..,,,,,,,,1,1
Mktg 2501,Push,Push,Push,1,5,,,,,
☺️,Sell at low price!!! 3 A range sources including 21-22 sem1 with question paper. Pm if interested or tg: fellfreetodmme,有意dmVery reasonable price,,,,1,2,CAES1000 A range source 平放,,
ccch 9032 點,heavy workload？leng grade?,,,,,,,,1,1
Cchu9002點？多唔多A range,Normal grade,Battle for bodies 有冇伏,,,,1,2,,,
求 econ1220 A+ source,Pm me plz,"Hello🙆🏻‍♀️I have, studied last spring sem, pm me",,,,1,2,,,
__,~87 A+,78 A-,我65 C+ wtf,3,24,,,Econ1210 fail左,,
COMP2119 class A,勁😳😳,Pm?,A,5,13,,,,,
Law友入嚟放低GPA￼,Yes for me too Year 1 sem 1 3.1X → year 3 sem 1 3.9X Gayauuuuu :),Yes for meYear 1 sem 1 3.2x -> year 3 sem 1 3.6x,Does your gpa get better when u get to upper years?,2,6,,,,,
Gend1001求source &study partner,我都係！方便pm講嗎,Add咗pending緊,如題～plz pm～,1,3,,,,,
__,有冇人揀,但見好多人揀🤣我都想知,聽聞爛grade 係咪真,1,3,,,CCHU9060伏唔伏?,,
一個sem有冇機會拎dean list,點樣1個sem dean list,冇,冇,1,5,,,,,
Portal死機？,add完就顯示dropped，好無語,垃圾portal,入唔L到,4,13,,,,,
econ2280 咩grade?,S,A,c-,1,3,,,,,
點睇summer sem開咗咩course？,係,係。 但暫時應該未有咁快有得睇,好似sem1/2咁reg？,2,8,,,,,
sem 2 PSYC1001一齊上堂￼?,Add tg @jrrmo,Same,Same,1,4,,,,,
Fm想請教點樣appeal FBE course,Email通知result release入面有,Thank you!,,,,1,2,,,
PSY1001 A range source,求,,,,,,,,1,1
做research要搵小朋友,Hihi! 我做緊dissertation 幫小朋友做免費聽力測試🙌🏻 我個research差啲6歲同14-15歲小朋友 你地有冇識人有小朋友有興趣做個聽力測試。有冇人都搵subjects搵到好頭痕😖,,,,,,,,2,1
CAES1000 Denise Wu 好唔好grade?,Cu later😂,DSE 3 都有A,有冇多啲人講下🥲🥲🥲,3,12,,,,,
xgu,仲要垃圾portal入唔倒,Agger,totally agger,2,6,,,,,
diu gpa 爛到冇得救...,咩係雙槍人,點先為之爛,等陣突然彈個3.8出嚟就唔好啦,1,11,,,,,
Engine幾時肯出gpa?,下年,,,,,,,,2,1
Archi幾時出gpa,push,,,,,,,,1,1
Manchester exchange 請入,Cgpa幾多去到？,,,,,,,,1,1
__,可以一齊😂,雖然我冇source 但我下個sem讀,"求CHEM2441, BIOC3604, BIOC3605 A range source🙏🙏",1,3,,,Reg 科,,
Ba人gpa大概幾多先算ok?,無3.6都唔叫正常啦,冇3.6算輕度,3,2,8,,,,,
Fail咗free e會點,基本上係冇 🤧 好多1月頭都交曬final results上exam office,試下先囉～ 你衰咩拎F,知唔知email個prof求情有冇用🥲有冇可能改到個grade,1,14,,,,,
ENGG1340,上年有link比你access個Moodle先,F左,未出grade 但係又要pass咗1330先reg到 幾時先reg到,1,3,,,,,
fbe exchange,Same ask,冇,有無人知排priority有無咩strategy? 定如果夠分就入到?,2,3,,,,,
想問未放grade點reg有prerequisite嘅科,唉,聽日adddrop都唔放grade,,,,2,2,,,
求PSYC2060補習(冇讀過呢個course亦可),pm傾下？,我數學唔太好，希望有tutor幫忙，如果你數學好，同埋對statistics有認識，請你pm我，補習可以以zoom或者面對面形式進行，價錢可議，thx🙇‍♂️🙇‍♂️,,,,2,2,,,
￼轉左online,我仲以為係我錯添,ching 你睇咩新聞我都想睇下,乜嘢全online..😑,5,25,,,,,
想問CCCH9004 同 CCCH9042 靚唔靚grade,兩個course d計分詳細係點?因為好似見到有participation分,,,,,,,,1,1
Phys1650 求source+招friend 一齊讀,推,"已揾到source, 招隊友",,,,1,5,,,
Anyone FINA1310 sem 2?,Signal group link can join gala ⬆️,https://signal.group/#CjQKIK8U4aP5bEn8mZd6JUWeNXYLs6B-PhQV9zJKxC4ja2PnEhCT7n_OFXEUp5jgp0zc2Rdh,Pmed u,1,6,,,,,
Ceuc 同AFIC 1002 source,求 Ceuc 9001 同AFIC 1002 source可酬 / 用 econ 1220 source 換,,,,,,,,1,1
CAES Colin Tait好唔好grade?,Pm pm,Ok,Can pm ask for sth?🙏🏻,2,8,,,,,
soci 1001係咪要買textbook？,我有ebook 可以平放,thx,唔係,1,4,,,,,
fail咗一科幾時要讀翻？,不論係咪major core都係要下個sem補返啲failed credits 每個faculty嘅處理手法或者會有少少唔同 詳情睇返你個faculty嘅regulations 但理論上大部分都係咁樣運作 你今個sem每fail 1個course下個sem就讀多返相應咁多嘅credits,"你當讀咗兩個course計兩次gpa, 但transcript寫新個個grade",照計0,4,6,,,,,
有冇有用/有趣既free electives推介？,phil,除左maths/comp個啲,,,,1,2,,,
FINA 2320點睇？,想知個course點樣 同埋點解好似到而家都未有zoom link?,,,,,,,,1,1
有冇人想一齊join hsbc comp?,Pm,PM,chat過左期wuwu,2,57,,,,,
收Chin1206 source,pm me if hv any 🙏🏻,,,,,,,,1,1
