参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
第二輪助學金幾時派,🙎,未有呀,🙎,打去問係cut線㗎,🐔,吓仲未有？佢係同你講批咗俾你定咩 不過有時都好睇機構,3,7,,,,,
大家覺得sem1去唔去到exchange🤔,🙃,Sem 2都諗緊去唔去到...,🙇,email話有機會suspends...,,,,,3,2,,,
有冇fg已經揾緊工😭😭😭,😋,咩消息都冇,😋,搵緊,🌷,今年情況好似好差😭,3,3,,,,,
late drop程序係點樣？,🐑,不過應該打去registry 佢哋會清楚啲掛,🐑,我係打去faculty office,🍨,係打番去自己department問？,2,8,,,,,
Edu真係好垃圾。。。,🍚,打去個陣好無禮貌,🐱,啱啊 都唔知咁串做咩,🍻,D staff 態度好差,8,10,,,,,
hall b 招fd吹水😢,🍲,tutor？ 大陸果種？,🍇,要屈人嘛lol,🦀,點幫真心想知,9,21,,,,,
GEG1042 易唔易好grade,😷,😂糾結緊轉唔轉pass and fail有冇ching讀過,,,,,,,,,,2,1
🌭,🎍,舉啲例子黎聽下,🙄,定去 GH 有茅台 五糧液？ 但我鍾意西方既酒多d,🙄,NH wor,6,8,,,夜闌人靜 自己一個人留喺Jc又鳩痕,,
一人一間對實習同學好差嘅實習學校,🍦,唔好痴線啦 上網講placement school壞話 要講自己講 唔好害人,,,,,,,,,,2,1
🍺,CFC,why,吾好提,你地仆街啦,🐯,Hehe,7,6,,,教大前列線巴---張嘉浩Dicky,,
831最鍾意出鏡嘅受害者,🗿,除咗鐵都有好多選擇嘅... 巴士小巴個啲😂,🐒,你日日私家車接載佢呀好唔好？,🌲,屌你話批鬥人唔夠黃、捐唔夠錢乜撚柒就話太高標準分化撚姐而加佢真係做錯咁都唔講得痴撚線,16,34,,,,,
ROA係咪meet到gpa apply就一定得,🍳,Okk~~~,👹,要睇個屆一齊爭嘅人勁唔勁,🐏,唔想自爆😂exchange左一個sem,5,15,,,,,
原來出咗placement啲實習學校都可以拒絕接收同學㗎？,大公主,教大D導師對學生口口聲聲話愛學生，一出事，就咩都唔理，好少少的supervisor 暗中幫下你，但FEC一定唔會理你，一句到尾，自己醒醒定定,🌰,實習學校大晒,🌰,可以拒絕,6,14,,,,,
有冇人有玩全民party？,😦,大陸唱K app?,🐵,如果係正氣party 預埋我一份,🐵,咩叫全民party,3,4,,,,,
唔交學費幾耐會被鎖Moodle ?,🐀,除咗鎖moodle仲會拎唔到畢業證書,😮,臨完sem prof send email同我講話俾唔到grade我叫我交學費先交,💂,上個sem遲左一個月，佢先send email話比多半個月時限你交,6,6,,,,,
想請問邊度有得買畢業袍？,😆,"暫時搵到四間1. 業興 (學校指定）2. 維多利（可租，買我就唔肯定）3. gown revolution 4. leegowns價錢：1>>>2>>3>4質素：1>>>>>2>>3>4亦有人話過只有1,2 係絕對合規格 （剪裁+顏色）都有人話過同2租比人屈燙爛件袍昆按金有興趣可以google search吓四間的評價利申本人2020grad視錢財如糞土將會訂1",,,,,,,,,,1,1
Korean II,💩,想知Korean II有咩workload,,,,,,,,,,1,1
可唔可以幫小妹做下問卷😭就嚟死得,🍸,幫下手囉,🍬,"payme $20, thx",🌽,本身諗住為表誠意做一份先 但係見到殘體字唔係好想做,3,7,,,,,
JC邊條仆街搞到要晚晚打蛇,sor9ly,幾時先正常翻🙄🙄,🌿,Jc 冇狗仔wor,,,,,9,11,,,
moodle 考試有冇視像mode,🍐,ok,🙊,有,🍐,如題,3,3,,,,,
183 做gym身型,kinnnnn,未做gym 既身型😂？,👻,wtf...,🍛,有意Pm,4,3,,,,,
"如果本身唔喺讀中英數,而係中學選修課,係咪最好讀埋Minor",🍑,中學唔同小學，比較專科專教，所以最重要你major嗰科dse成績好同埋major gpa夠高🤔,🍑,唔明up乜,🐕,有咩Program係唔應該讀Minor?,4,4,,,,,
遲啲仲有無第2輪quit hall申請？,🐳,隨時可同hall office 申請,🌲,lm,🕵,租屋住仲hold乜鳩,5,10,,,,,
有無人今日派實習學校無offer,🍳,佢之前話安排個20分鐘meeting交代 之後無再出現過😭,🐪,如果可以嘅佢就一早做咗,,,,,4,6,,,
做實習教師係咪受到好多所謂[教師專業]守則嘅綁架？,🍲,其實係講緊實習老師做唔到某啲煩膠嘅要求就好唔專業，要你做足要求先叫專業，就好似考試要答到某啲point先至拎到分咁樣苛刻,🍮,其實老師才是最大話、最惡毒,🍶,或者話老師不嬲都冇專業操守,9,10,,,,,
你地做assignment會唔會有咩格式？,🍦,睇自己個腦食飯,🌰,睇lecturer,🐦,"之前有course要求assignment要整cover page打曬個course既資料 例如course code & name啊 teacher’s name之類 有時又會見到有d人打埋submission date, word count之類😂其實係咪都係睇個lecturer有無規定？我平時都係打自己個名 student no. 跟住就開始做份assignment 😂",3,3,,,,,
有無人可以放geh natural hazard😢🥺,☺️,GEJ可以同一科GE同時讀,sor9ly,唔係 係爭呢科ge strands，但下年year4前要讀晒😩,🎄,靚grade 咩,6,6,,,,,
應該取消常識同通識,🍟,港豬樓主可能認為批判性思考唔啱佢 要用共產主義思想體系先啱,🐤,死港豬,🐤,你唔接觸政治 政治都會搵你,16,27,,,,,
Prof個Zoom有咩功能？,🐰,查看學生加入及離開會議時間記錄,🐈,應該無啦,,,,,6,8,,,
Iwork個mpf點啟動,👲,下要打去啟動㗎咩，呢幾年都有寄信畀我話我有幾多錢，啫係唔使理？,😋,哦 打完之後呢,😅,係 你應該會收到mpf個公司寄咗封好厚嘅信俾你 有張卡片仔有電話 打去就係,5,10,,,,,
讀BEd可以Apply到啲咩政府intern,🎂,doj assip 全部都無限科,🎂,大把 好多都寫咩field 都得,⛄️,都要睇你咩major啦,3,4,,,,,
舍堂教育費 $220,🍔,都唔知係咪巧立名目收咗你錢先算,🍔,學生會費比完都有本 schedule book 呢220比同唔比都唔覺有咩分別 仲要貴過學生會費,🍔,但係住hall本身已經逐個活動逐個item收錢,14,22,,,,,
有咩教大碩士 gpa唔過3都照收？,🍉,"Psychology, social science",雷震子,無謂逼自己讀書啦,雷震子,gpa唔過3仲讀咩master啊😂,3,4,,,,,
收Japanese I本日文書,😽,95 percent new,😽,Hkd 80 okay ?,😽,Hkd 80 okay,8,16,,,,,
⛹,TomsonW,🧐,🐄,你打俾佢問下先🤔,👰,😂咩來,48,85,,,EduHK有咩校隊？,,
🌚,🍀,好彩仲有part time 可以返下,🐋,而且讀master都想搵下工支撐下生活,🐋,一年時間都好快過,3,9,,,各位final year同學，有咩大計？,,
⛄️,😖,Jyväskylä Finland,🍳,Finland Tampere,🌱,有冇人Canada Mount Royal,11,10,,,入來放低sem1去邊到exchange,,
🌝,😏,聽講dd幾好,🐰,dd第一屆都未grad😑,😽,我係dd,6,6,,,Va bed fresh grad可以即刻揾到教席？,,
☠,🍯,Interview 都冇啊😭,,,,,,,,,到底Pgde ece 收生標準係點樣？,1,1
🍄,😰,Edu sf soc sci,👹,你讀咩 本身,😰,Yr1 我呢個分搏唔搏到City ppp?,9,42,,,教大non jupas 一問 請入🙏🙇🏻‍♂️,,
八月份嘅summer exchange會唔會取消？,🍖,報咗八月三度28號去俄羅斯，而家未有安排。。,,,,,,,,,,1,1
🌞,🐪,Switzerland,👰,加拿大,😪,Denmark🇩🇰 Roskilde,4,3,,,報咗round2 exchange嘅有咩offer,,
有無人暑sem去荷蘭？,🙇,Cancel咗,🤗,下，唔係出左通知所有summer exchange cancelled 咩,🍏,荷蘭都爆得好勁,6,7,,,,,
言語治療碩士 點睇,😸,聽我地department阿sir講已飽和,🍘,市場已飽和,🙊,有得申請未,3,3,,,,,
有冇人收到edu visual art pgde面試,🍢,想知會唔會有second round😩,🎂,唔洗客氣,🍢,謝謝你,5,10,,,,,
仲有冇人留守喺hall？,🙉,我早走咗,,,,,,,,,,1,1
CSL 仲要探老人院 傻的嗎,🍓,email lah,🍭,SU 有冇人睇到呀,🍭,"Edb都停課啦, 仲去？￼",8,13,,,,,
無法正常使用Zoom上堂應該作為劃分低下階層嘅指標,👸,有冇咩例子？,🍚,樓主講得好,🍚,認同請分享,2,3,,,,,
覺唔覺毒撚生活先係大勢所趨,😊,認同 現代人智商根本低到嘔 拍完咪又係散,,,,,,,,,,2,1
其實讀四年嘅人會唔會仇視讀五年嘅/覺得自己低人一等？,😕,勁人又點會留喺呢度丫，除非退休冇人要，ie 樹教授，做海洋研究既教授，黎到都係呃飯食，教書又唔掂..都係食老本,😕,但eduhk 唔勁,🌳,好似我入嚟讀其實係因為sociology嗰邊師資好勁，唔係為咗張牌,11,21,,,,,
有冇jc酒局,🍵,叫埋SS year 4 Lucas 先la,👶,開波,,,,,5,8,,,
Exchange有冇人抽到Austria?,🐱,Sci 😂,🐸,你讀咩科🤣,🐸,有呀,8,39,,,,,
SU 幫手爭取pass/ fail/ late drop🙏,👼,support!,🍇,推,💂,編委ig明明follow完人之後突然會unfollow人，不了,9,14,,,,,
邊到有網上口罩,🙁,$5隻....算係咁,🍶,Edu 7仔有貨 N95 同一盒唔知咩牌子既 $250/50個,🌺,Amazon jp 呢幾日早上都有貨 日製超立體 超快適,13,30,,,,,
上zoom系開始上堂後我遲左15分鐘上線會吾會吾計我出席率？,⛑,唔計,🙌,有login 就算啦,,,,,3,3,,,
有冇人入唔到Moodle??,🍁,我都入唔到,🍨,入到，但登出唔到😂,🍿,入唔到,6,6,,,,,
冇學番，有咩工介紹？,🙀,跟Lucas 做狗,,,,,,,,,,3,1
🐦,😚,Hist Dicky妹妹,🍗,咩科,💩,Gigi又平又靚,53,72,,,一人一個教大平胸靚女😝,,
有冇人知個傑出準教師選舉係咩料,🍦,我都聽過想知佢點揀人 是咪靠關係先會有獎 lol,🍂,花生獎,⛄️,只知道係紅底組織搞嘅 裸到獎就比較容易有教席,5,6,,,,,
放古代文學筆記 上下冊均有,🙇,下冊散賣150,🙇,250包上下冊,,,,,2,,,,
🌚,👺,😂,🐖,無可能用唔到喎ching 我上咗差唔多20堂都無事🤡,🐙,因為頂住左,5,5,,,zoom,,
有乜餐廳會送上教大？,🙏,仲有冇其他,🍟,其他,🍟,其中 +$ 可能得,4,5,,,,,
常通臭.雞又柒一鑊,😦,佢唔係nursing咩,🎃,chntntc,😦,推,5,5,,,,,
Edu邊個最淫底,🐎,SS Lucas,😣,邊個mavis,🐔,Mavis,10,10,,,,,
🐳,😆,"遲啲復課大家一齊學校食u dali呀, 識朋友好容易㗎咋 朋友搭朋友就會好多 係識先至有難度。。。。 之前因為太過專心社會運動上所以。。 幫我注意到嘅時候已經埋唔到堆",🌯,同一細班真心fd相處仲自在，一大班人出去yo完之後好少可以傾到心事。,🌯,我yr1個時都係咁，加油呀樓主！慢慢試下join下校外校內既活動識下岩自己既朋友。,45,112,,,好唔開心 覺得自己無咩朋友 成日都自己一個😞,,
🌚,🍤,B,😎,Which one,🍤,Jc 有星期六咁好嘅，我個hall 得一至五😢,3,7,,,請問quit hall 係咪一定要平日quit?,,
有冇ching讀過PFS 3046/ PFS 3048?,👴,想問Education Issues in Global Context 做minor 伏唔伏?,,,,,,,,,,2,1
有冇得投訴professor迫人開cam,🍞,佢哋開自己個cam 係自己事，最衰係迫學生開,🍞,衰人,🐿,啲鬼使乜怕,14,31,,,,,
有冇summer exchange係去俄羅斯👊🏼,🌞,好平,🌞,用手指手劃腳,🐢,同埋嗰一度啲洗費大約係點樣～ 網上搵到嗰啲唔同地方都好似差好遠,12,50,,,,,
🍓,😃,Ic thxx!,👱,我哋舊年將成份report印出嚟直接用鉛筆圈住算😂睇program handbook清楚d degreework係幫你checklist姐,😃,求解答🥴,2,4,,,有無人知點用DegreeWorks？,,
上zoom錄低擺上youtube,🍈,人人也是YouTuber,,,,,,,,,,3,1
學生會個網上教學安排調查今個星期六先完？,🤒,迫我開cam 話唔計我attendance,🤒,米臭系,🍭,網上教學都三個星期好多course 過多兩個星期都準備完sem 🤷🏻‍♀️今個星期六先向學校反映 🤣🤣🤣反映完都完sem 啦點解教學問卷要做三星期先反映好多問題已經出現咗三個星期例如逼學生開cam 開咪完sem 先嚟跟進？,2,3,,,,,
想問吓應該 second major /minor好啲?,😕,左邊㩒Application and result,😷,但係2nd major同minor d科都唔同,🍺,淨係去到呢一個page,6,13,,,,,
胡少偉上堂點😦😦係咪killer🤨🤨🤨,🍸,聯字,😀,教聯會副主席 知咩料啦🤨,😸,又悶又藍 仲要kill人,17,31,,,,,
冇人想知你點樣上Zoom呀,🐍,Which U?,🤐,呢啲咪有討論價值,👽,https://streamable.com/02twg,4,8,,,,,
Second Major 小學一問,🐗,唔係,🕵,Google la,🕵,https://www.eduhk.hk/flass/resources/Content/uploads/docs/SecondMajors_2017_1.pdf,7,6,,,,,
🌸,😔,我想問喺邊度apply Second Major/Minor?上咗Portal睇又彈咗去instruction page,,,,,,,,,我想問喺邊度apply Second Major/Minor,1,1
有無人summer exchange瑞典,🍐,Sem 2邊間u!,🐏,"same here, pm?",🙋,Sem 2 anyone?,11,21,,,,,
讀哂個科既野之後再申請做second major?,😢,你調轉左 唔係讀曬果科d野先申請 係你決定左要揀果科做sec major 然後year 1既3月申請 之後黎緊幾年d electives全部揀曬果programme 既course讀 應該係咁 因為畢業前你take sec major既courses要夠30cps,😢,No 係3月尾deadline申請,🍜,你要year 1 apply咗先可以final year declare做second major㗎,8,11,,,,,
有無人sem1去台灣exchange吖🙋🏻‍♀️,💀,pm？,🐇,"Me, 你去邊間",,,,,2,3,,,
EDUHK SF to UGC一問,🍎,我都唔知 所以上黎問,👳,3.2夠分咩？你有fd 試過得？,🍎,cgpa 3.1x major3.2,7,34,,,,,
有無人試過收錢改功課個服務,🍐,有務戈試過早排出post話幫人改功課個服務？好唔好？,,,,,,,,,,1,1
🤖,🍚,有fd 英文2左，有考ielts都唔俾interview佢,🐘,我都知。。。,👹,"如果你hd畢業，就有資格用non jupas去報degree，只需22222,但收唔收你就另一回事",27,46,,,Ece hd出路,,
Summer exchange batch4 offer相認,🍏,🤣,🐛,有病？push錯group?衣度係上年exchange,🙉,me batch1,11,17,,,,,
👶,🍷,所以畢左業都無做幼師🤧,🙊,之前S A嗰陣失聲左成個禮拜，見到個小朋友做得唔好嘅時候又出唔到聲同佢講，淨係可以用手提示，請佢唔好同隔離個小朋友玩，點知個小朋友誤會咗我嘅意思，到第二日返學嗰陣仲喺度啤住我，仲記得嗰個小朋友係我第一日返S A嘅時候認識嘅第一個小朋友，諗起心都碎😢,😢,有時冇乜野俾我做 我要主動問先有😂😂,11,12,,,有無ece同學覺得番SA已經好大壓力😔,,
4月中先復課,💀,咁即系實習唔到？,🐐,又唔係大學,🌞,420🌿,11,8,,,,,
🌱,🦀,其實睇學校，有人冇讀VA都要教😂,😰,pushhh,👺,同問,4,5,,,minor VA 可以喺小學教視藝嗎？,,
有冇人summer exchange抽到去德國？🇩🇪,🐹,但如果我會喺個邊留耐啲呢？咁回程機票應該不會包？,🌯,Claim到呀，打過去department問過，機票住宅學費都會包，你自己嘅食飯買嘢生活費就唔包,🐹,here,4,6,,,,,
minor國際學校教與學，有咩睇法？,😁,好似全部科都係elke教,🐫,我諗寫essay叻嗰啲先好去讀呢個minor，始終教呢啲科嘅Elke俾分好手緊,,,,,6,8,,,
🌴,🌷,日文，日文有中文字可以估😂 有d發音同中文好似,,,,,,,,,大家建議學西班牙文定日文先？,2,1
叫人返學校online learning,🐟,咁佢叫我地番去，佢應該都要番去學校教,🐟,可能係,🍇,我都有堂係咁 on99,6,5,,,,,
有冇人可以講下中文interview問咩,😋,講真dse小組討論高分嘅人都係戰鬥格，但扮到語言同用字好謙卑同自然姐。識挽嘅人都一定係戰鬥mode，但好平淡。人地發言次數同幾時要讓簿都自己掌握到架,🍄,唔同考dse 如果你戰鬥格咁 展現唔到你處事冷靜一面 你要當係一個學術交流,😈,熱情於教學is important,11,14,,,,,
論GE,😷,無問題呀，咪一樣感做，share ppt slide 加時間聽到，睇到，影響已經降低。唔只你一科，科科都係感架啦,🐷,其實我覺得今個sem應該取消grp pro,🍎,其他人係咪咁,3,7,,,,,
🌿,🐂,犯法野！,😨,仲係唔明,🍬,pm me,7,10,,,有冇人有🌿,,
教大補習- 提升GPA,😹,Just created 😁,,,,,,,,,,24,56
有冇人Summer exchange 瑞士,👲,Ok,😢,pm?,👲,Have,5,10,,,,,
有冇人summer exchange報咗去韓國？,😂,而家咁嘅時勢，韓國排華咁勁仲會唔會去？,,,,,,,,,,1,1
有冇八字波女女？,🌾,princejoyce,🍟,圖？,😳,點解你會知？,4,4,,,,,
最後兩節課安排復課後先至返edu上返係咪可接受？,😍,應該係講3月尾復課先face to face最後2堂，尤其係1星期上2堂嗰啲班,😄,Sem 完 邊知理佢,🍀,頂佢,3,5,,,,,
知唔知hall 仲有幾多NDS?,🐒,Yes!!!,🐁,呢排啲仆街支那人日日搞到個pantry勁污糟,🍣,幾十？我知有啲新年都冇走過,5,3,,,,,
退宿仲未有詳細安排🤦‍♂️,🐥,😯,🍑,我唸佢地應該未confirm 以上方案，放下風諮詢大家,🍑,"Tutor話 有Concern , 佢地代反映",2,9,,,,,
EDA3026 Assignment 1要寫啲咩？,🙎,原來海豚1號就係衣排收錢改人做asm個位,🍣,第1 part要用5份readings咁我就1段分析1份reading，寫咗5段，我都唔肯定咁樣寫係咪正確,,,,,21,52,,,
🍁,🍟,UBC = University of British Columbia,🍟,同問,🐇,想知ubc semester exchange gpa要幾高? Thanks,1,3,,,有ubc exchange offer嘅入一入嚟,,
FM求問,🤒,同一科唔同班一齊上可以有唔同既assessment  weighting? 我見CLE個啲都無,,,,,,,,,,1,1
有冇人返過出版社intern?有冇用？,🍨,唔會學到，佢地邊會放心比intern做。排錯版好大件事,🐶,你個科要求你返？,🐔,做出版社其實係做啲咩，可以學到排版？,2,5,,,,,
想知有冇人第一次實習真係Fall咗？,😨,咩叫做Fall🤔Jump?,👹,大數,👷,小數,2,12,,,,,
Final year嘅大家搵到教席未？,🐴,唔係，我學校請緊PE，想睇有無FG有興趣,🍛,PE 應該好搶手㗎,🦀,係咪搵唔到想尋求安慰？,3,52,,,,,
求教 ICT 揾工貼士,🍒,ICT就收皮啦,🍾,我都見算比幾年前多,🍾,會唔會一齊去見工有d尷,1,20,,,,,
想問吓知吾知畢業cv洗吾洗寫諮詢人？￼￼￼￼,😷,吾你老母甘你老母,😅,supervisor熟你教學表現,🐀,點解嘅?,2,8,,,,,
想問讀PE易唔易搵教席,😱,咁快？勁🙇🏻‍♀️,👱,3月搵到,😱,有無人都搵緊？,1,5,,,,,
夾roommate,🐃,Pm,Asdfghjkl123,男 JC 希望可以夾屋🙏🏻,🌭,有呀！我想搵2個 hall A roommate ，但我係whole year 3人房offer,2,5,,,,,
sheshe搵roommate,😞,你咩呵！,,,,,,,,,,1,2
出A-/B+ source ￼,🌺,A range 科目SCI3107 AGEK2025 AEDA4101 A TLS3003 A-TLS3056 A-所有Education Studies都B+，有興趣pm,Lovehk,Pm,😴,GE courseGEM4004 B+GEK2008 A-GEH1052 A-GEE1003 AGS Major/minorEVS3006 AHCS3064 ASCI1002 A-SCI2062 ASSC2025 ASSC3276 B+SSC3054 ASCI1561 ASED Major/minorSED3005 A-ES course FEX1161 A-PFS2013 A-PSY2050 A-TLS3055 ATLS3003 A,5,115,,,,,
招hehe夾JC屋,🐎,hiiiiiii,🐎,有興留低tg pls,,,,,1,2,,,
中文教育 嘅GPA係咪好易高分？￼,吉川大波子,3.4都唔算高分,🍜,身邊？一至兩個你d frd拎3.4咋？btw係味yr 1的？ yr1通常易啲拎高分，但冇咩可能升到yr 3之後仲人人都3.4，如果唔係嘅話咪好多人1st hon囉？😹,🍜,見到身邊啲中文教育好似都3.4以上嘅🤔️,1,3,,,,,
放Source,😢,GE courseGEM4004 B+GEK2008 A-GEH1052 A-GEE1003 AGS Major/minorEVS3006 AHCS3064 ASCI1002 A-SCI2062 ASSC2025 ASSC3276 B+SSC3054 ASCI1561 ASED Major/minorSED3005 A-STEM Major/MinorSES2039 A-ES course FEX1161 A-PFS2013 A-PSY2050 A-TLS3055 ATLS3003 A,,,,,,,,,,2,1
點解文科可以￼咁爛grade￼￼？,😟,叻仔loll,🎂,講真， 我同幾個女同學都係咁。。。,💣,嗰個毒L？,3,24,,,,,
想問下有冇ESDC人??想問啲嘢🤲🏻,👹,Yes,🌴,千祈唔好讀啊,👹,可以再dm?,1,20,,,,,
宜家仲有冇得俾個hall offer其他人?,🐂,係出面租左屋但係之前俾左錢留hall位 有冇得讓個位出去俾人嫁?,,,,,,,,,,1,1
畢業生你地有無用過Chatgpt預備見工？,🌜,學校有workshop教interview，啲問題都係來自真實業界，一定好過chatgpt,😹,例如用嚟準備點樣回答面試問題嗰啲咁樣,,,,,2,2,,,
🌝,🐵,可唔可以傾吓,🍣,我asso 唔過3 英文得2宜家year5 拎埋scholarship 就畢業,🐵,我DSE英文仲要得2,1,4,,,有冇人知道non jupas點升u,,
圖書館1樓study room改左,👼,可能長期一人book房一人用，特別可能加上都係for啲nds一條友自己友，做唔到group discussion 個啲嘢咪咁囉,🐦,要三個人同時check in，有冇人知點解,,,,,1,2,,,
招roommate,🍇,Pm,😊,Sorry typo reg 9人屋,😊,我哋打算reg三人房 而家剩返一間三人房 你有冇興趣？,71,269,,,,,
有冇人攞過A+ 咩course,Rinnn,JP1,😺,文學概論,🐘,想知😲,2,4,,,,,
有冇人識譚兆竣？,🍞,Jc矮仔,🙂,畢咗業喇哦,,,,,2,2,,,
🌿,🐚,佢哋就算grad左返ft都會自己繼續返pt私補,😆,請問有冇Final Year嘅師兄、師姐想放私補？,,,,,1,2,私補轉介區￼,,
Ielts一問,😕,上網有得download,👺,想問考完ielts十日後上網睇到results 但交edu係咪要嗰張trf?😢呢張上網有得睇嗎？😣,,,,,1,2,,,
搵roommate,Asdfghjkl123,男 JC 希望可以夾屋🙏🏻,😡,"IG已pm, please check",Petper,可inbox ig: ie.sehi,1,20,,,,,
招roommate,Asdfghjkl123,男 JC 希望可以夾屋🙏🏻,Kll,nhall 女仔3人房 whole year招2位 roomate有意pm/telegram :klnnah,🎍,男 住宿時間：whole year有宿舍：hall A有房間類型：budget求宿舍：hall B求房間類型：Standard有意pm！,1,13,,,,,
招roommate,Asdfghjkl123,男 JC 希望可以夾屋🙏🏻,🍟,Hall b,🍟,男 whole year 三人房想搵乾淨 隨和 夜訓（三四點）都ok既,3,,,,,,
招男JC夾屋,🐂,Pm,🍼,Push,,,,,1,2,,,
換Hall專區,👦,女住宿時間：全年有宿舍：A有房間類型：2人求宿舍：JC求房間類型: 有意pm🙏🏻,🀄,男住宿時間：Sem1有宿舍：Hall B有房間類型：二人求宿舍：Hall B求房間類型：三人 sem1,,,,,173,713,,,
女仔入‼️Hall B 三人房 Roommate,🍋,_.janicewu._ 🙏🏻🙏🏻,🍋,可以🙏🏻,ssss1134,我可以🙈 ig pm u?,1,5,,,,,
GEI有冇靓grade,😕,4006,🍩,好似 幾好,🌱,4010 B+,1,5,,,,,
有冇人讀過GEI4002，靓grade？,🐿,多謝分享🌸,⛑,讀過，workload都ok，最後A-,,,,,1,2,,,
Hall B 換房型,StupidJ,Push,🍵,男住宿時間：Sem1有宿舍：Hall B有房間類型：二人求宿舍：Hall B求房間類型：三人,,,,,2,2,,,
小數gpa,🐗,5.67,😱,3.5,,,,,1,39,,,
final year出咗hon,🍡,唔通唔乎合畢業要求？,🍡,我好似冇🤔,😛,gpa嗰一大欄,2,12,,,,,
現在教大允許訪客進入嗎？流程是怎樣？,🤕,入嚟打柒你,😻,入嚟做乜,Oil,訪客可以入，身份證登記就可以,1,3,,,,,
招Nh,🌳,希望大家都搵到岩嘅Rm!,🌳,Sorry 無講清楚我NH budget女🤣,🍁,Nhall budget 男仔🙋🏻‍♂️🙋🏻‍♂️,1,5,,,,,
🙌,👴,我平時都會打機，得閒可以一齊打機。GTA、傳說之類都可以一齊🫡,👴,Yoo 有無Hall B 男仔招Roommate目前我差一個人有興趣歡迎PM！可以Chat完再決定生活習慣：乾淨（我同另一個roommate都潔癖，會成日清潔間房）夜瞓（凌晨兩三點先瞓）靜（Hall 都係攞嚟瞓覺，唔鍾意帶成班人入房玩，唔好帶女朋友返嚟瞓🙅‍♂️）,,,,,2,2,【男仔入】Hall B 三人房 Roommate🙌🏻,,
Find hall c 女 rmmate 3 人 rm,🍃,PM,🙌,想搵可以一齊玩一齊生活的rmmateME 星期一至五都係hall夜瞓 唔怕嘈 唔怕光 ENFP ~~~,,,,,2,2,,,
搵roommate (hall C 二人房女）,🍹,想搵hall C 女roommate平時大約1:00瞓會主動清潔整理房間冇不良嗜好有意請dm,,,,,,,,,,2,1
🎃,🙁,[代Po]係咁的，小弟都係讀緊大學嘅，自己就做數學小組補習，自己都營運左差唔多半年至一年左右啦，類似你係IG睇到果D啦，黎緊想繼續擴大個規模，但奈何自己時間有限，自己一個腳踢所有野唔係好掂，所以就想招一個partner負責教學，小弟想負責營運果part。而家個IG都有超過1200個followers，大約20個學生左右，主要係補高中數學。基本嘅筆記都整左喇，不過當然之後要再整好D。小弟想招一個長期合作嘅partner，就負責教學同教材果D，之後會拆賬咁做，所以係parter制，唔係part-time/full-time制。小弟識唔到身邊有咩熟人想做補習，所以先上黎D forum睇下有無人有興趣，同埋想招一個對教數有興趣嘅，然後數學最好有5*或以上啦，如果真係好有興趣嘅都可以搵我先！我七月前就要搵到個適合嘅partner喇～ 所以有興趣嘅可以pm我有興趣可以經以下途徑pm我～因為係代po，你係forum入面pm，我聯繫唔到你，或者你可以留TG我搵你都可以嘅～Telegram: https://t.me/yonamousThank you了各位巴絲～,,,,,,,,,小弟想問有無人想長做數學補習？,2,1
幾時到第二輪reg hall,🌱,今年冇第二輪,,,,,,,,,,1,1
Talent Development Scholarship,🐧,出咗 啱啱收到email,💣,出咗結果未🤓,😭,知乜,1,5,,,,,
暑sem第一日就好唔鍾意個rm😞有冇得轉房,😞,轉乜,🎉,日日喺張床屙屎逼走佢,,,,,1,2,,,
做教師有無得“攞假期”請假？,🌸,攞乜,👹,發夢啦你,👹,負責任就唔會成日比人屌你哋教畜啦,1,5,,,,,
Digital humanities 難唔難讀？,🐐,想知😵,🤗,如果有唔錯嘅it底會唔會冇咁難？請問功課量大嗎？,😌,難,4,4,,,,,
關於hall round 1,🌯,"有冇人e mail 收到Authentication Exercise for Round 1 Hall Application, 2023/24",,,,,,,,,,1,1
😢,😇,井多少少？,,,,,,,,,警世中教人 沉浸唔好揀北京 除非識擦鞋,2,1
PFS3046 Wu Siu Wai 點樣？,😹,我present攞A😂,🦂,靚grade,🐣,知名幫港發聲KOL,1,5,,,,,
有2間幼稚園offer，點揀好？,😇,Yes！,🐩,唔係唔識，係唔識點拒絕啫⋯⋯叫人share教案嗰個都傻傻哋,👽,係load唔到定唔識 真係自己先知哈,1,19,,,,,
Ece 科,Gogg,2244,YLK,唔難,🍎,編號係咩？唔太記得,1,4,,,,,
試過問住hall踢拖女可唔可以俾錢啜佢腳趾,😩,試左未？,🐡,咩Hall,🌶,傾到800蚊,1,5,,,,,
放pfs 3048 A- source,😵,放A- source,🐎,Dm,,,,,1,2,,,
有無機會有1st hon...,⛹,Thank you,🍞,Programme Handbook,,,,,3,48,,,
甜soc又柒,🍟,咁都叫靚？,👿,佢真人完全唔掂喎,😁,真人同ig相差唔多 不過唔靚囉,1,23,,,,,
🌝,🐮,😱,🦂,咁你真係做得好,🦄,我又唔覺🤣女local gei4003 A-,4,11,,,有冇人覺得Bibi Tayyaba比分好唔公平？🥲,,
Library 啲hon pro,🐦,+1,😑,最少A-,😷,好似一定要係A range,1,4,,,,,
除咗glef，去exchange仲有咩資助可以申請？,😮,屬於一帶一路地區嘅都有資助,🐼,Roa,,,,,1,2,,,
