参数1_文本,参数3_文本
"講得中性格
同師傅傾完之後對將來條路冇咁迷惘",八字 命理 問事
支持樓主,八字 命理 問事
師傅好有耐性咁解答. Detail 咁問咗d問題都答哂,八字 命理 問事
thanks,八字 命理 問事
Thank you OP!,八字 命理 問事
"Thank you你
希望承你貴言",八字 命理 問事
Thank you 樓主 希望成真啦,八字 命理 問事
感謝師傅支持你,八字 命理 問事
"樓主講得好詳細又好有耐性解釋，而且好有心提點我講中咗我嘅性格背景，又教咗我點避免之後嘅事
感謝樓主～",八字 命理 問事
"師傅好詳細答曬我所有嘅問題
而且對盤講我性格背景都好準
好有耐性 仲好鼓勵人
多謝你呀師傅",八字 命理 問事
多謝詳細講述，了解甚多。,八字 命理 問事
多謝詳細講述，了解甚多。,點解五十年代香港冇受到反殖浪潮波及
"當時成個世界都反殖
香港又咩勢力都有好唔穩定 只要有啲大型混亂都可以影響政權
但點解香港唔似其他殖民地咁最後仲安然冇事",點解五十年代香港冇受到反殖浪潮波及
"有
咪有67暴動囉",點解五十年代香港冇受到反殖浪潮波及
因為中國唔俾香港獨立,點解五十年代香港冇受到反殖浪潮波及
因為中國唔俾香港獨立,搭飛機果陣、比條空姐串我唔識讀「Thread」！！
"今朝搭飛機去旅行，諗住問空姐買wifi係機上面 用啦
點知

我：唔該，想問架機係咪有Wifi提供架？

飛雞： 係呀，你係咪要買？

我：好呀、想問個wifi 上唔上到 呢個新App 「the read 」架？？

飛雞：What ? What read?

我： 指個app 「thread」比佢睇

飛雞： 哦、Thread 下話

之後就走左去
仲比我聽到佢同班飛雞同事大大聲喺度笑： If u can’t say “Thread” , you can’t have it , Haaaaahaha!

都係果間airline囉",搭飛機果陣、比條空姐串我唔識讀「Thread」！！
"雖然19年開始都唔應該搭果間野

但冇計",搭飛機果陣、比條空姐串我唔識讀「Thread」！！
"抵啦
港仔唔識英文就上大灣區進修下英文先",搭飛機果陣、比條空姐串我唔識讀「Thread」！！
中學雞就算未見過應該都拼到啦 點解咁多人唔識,搭飛機果陣、比條空姐串我唔識讀「Thread」！！
我黃,搭飛機果陣、比條空姐串我唔識讀「Thread」！！
"食屎啦
好多中學手足架",搭飛機果陣、比條空姐串我唔識讀「Thread」！！
我地全中國都係黃皮膚,搭飛機果陣、比條空姐串我唔識讀「Thread」！！
姓黃關上大灣區咩事,搭飛機果陣、比條空姐串我唔識讀「Thread」！！
"當初啲人玩膠接龍嗰陣
明明句嘢係This thread is gay
接接下都變咗做就咁This is gay
香港人英文廢你估第一日?",搭飛機果陣、比條空姐串我唔識讀「Thread」！！
"手足唔會返中國
係中國唔係大灣，大陸，正視聽",搭飛機果陣、比條空姐串我唔識讀「Thread」！！
"香港人
世一呀，乜呀物呀",搭飛機果陣、比條空姐串我唔識讀「Thread」！！
"你而家咪係中國
分裂國家,準備坐監啦你",搭飛機果陣、比條空姐串我唔識讀「Thread」！！
邊間？,搭飛機果陣、比條空姐串我唔識讀「Thread」！！
好多手足著草（移民）去英國果間,搭飛機果陣、比條空姐串我唔識讀「Thread」！！
又捉一隻藍屍,搭飛機果陣、比條空姐串我唔識讀「Thread」！！
"明明係讀fuck
識讀就可以去廁所fuck空姐",搭飛機果陣、比條空姐串我唔識讀「Thread」！！
班飛雞要唔要攞carpet,搭飛機果陣、比條空姐串我唔識讀「Thread」！！
"諗住你後生仔唔識世界放過你
點知你死性不改
下世睇路做人",搭飛機果陣、比條空姐串我唔識讀「Thread」！！
漏咗個 s 呀柒頭,搭飛機果陣、比條空姐串我唔識讀「Thread」！！
唔怪之得,搭飛機果陣、比條空姐串我唔識讀「Thread」！！
唔怪之得,基督教連登堂2023年7月2日主日崇拜：主啊，主啊！
"歡迎各位巴打絲打參加今日既崇拜。
請用一分鐘安靜自己，預備心靈，迎見主耶穌。












（一）呼召

羅馬書6:4
//6:4 藉著洗禮，我們已經跟他同歸於死，一起埋葬；正如天父以他榮耀的大能使基督從死裡復活，我們同樣也要過著新的生活。//

我們同樣也要過著新的生活。










（二）默想

讓我地默想使徒信經兩次。

//我信上帝，全能的父，創造天地的主。

我信我主耶穌基督，上帝獨生的子。因聖靈感孕，由童貞女馬利亞所生；在本丟彼拉多手下受難，被釘於十字架上，受死，埋葬；降在陰間；第三天從死人中復活；升天，坐在全能父上帝的右邊；將來必從那裡降臨，審判活人死人。

我信聖靈。我信聖而公之教會。我信聖徒相通。我信罪得赦免。我信身體復活。我信永生。阿們。//











//我信上帝，全能的父，創造天地的主。

我信我主耶穌基督，上帝獨生的子。因聖靈感孕，由童貞女馬利亞所生；在本丟彼拉多手下受難，被釘於十字架上，受死，埋葬；降在陰間；第三天從死人中復活；升天，坐在全能父上帝的右邊；將來必從那裡降臨，審判活人死人。

我信聖靈。我信聖而公之教會。我信聖徒相通。我信罪得赦免。我信身體復活。我信永生。阿們。//












（三）祈禱

愛我地既主耶穌基督，多謝你呼召我地進入到你既生命，又多謝天父揀選我地活出你既樣式，又多謝聖靈每刻既帶領，我地能夠認識你全部都係你既恩典。主啊，主啊，陪我地行天國既路，我地就可以認識你。奉你既聖名，阿們！











（四）詩歌

請敬拜小組。

https://m.youtube.com/watch?v=Oljjte6kSlg&pp=ygUP6Zm26YCg5oiR55Sf5ZG9











（五）讀經

今日要宣讀既經文記載係 創世記18:16-33，馬太福音7:12-29。請方便既弟兄姊妹起立。

創世記18:16-33
//18:16
亞伯拉罕為所多瑪哀求

後來，這些人離開那裡，到了一個可以俯視所多瑪的地方。亞伯拉罕也跟他們走，送他們一段路。
18:17 上主心裡想：「我不要向亞伯拉罕隱瞞我要做的事。
18:18 他的後代將成為強大的國家；我要藉著他賜福給萬國。
18:19 我揀選他，是要他指示他的兒子和後代服從我，主持公道，伸張正義。這樣，我就實現對亞伯拉罕許下的諾言。」
18:20 於是，上主對亞伯拉罕說：「我聽到許多指控所多瑪、蛾摩拉的話；他們惡貫滿盈。
18:21 我一定要下去看看所聽到的控訴是不是確實。」
18:22 那兩個人離開那裡，往所多瑪去；但亞伯拉罕仍然留在上主面前。
18:23 亞伯拉罕上前，對上主說：「你真的要把無辜者跟有罪的人一起消滅嗎？
18:24 如果城裡有五十個無辜的人，你還要消滅全城嗎？不會為了救這五十個人而饒恕這城嗎？
18:25 你一定不會把無辜者跟有罪的人一起殺掉！一定不會！你那樣做，無辜者就跟有罪的一起受罰了。一定不會！世界的審判者一定是公正的。」
18:26 上主回答：「如果我在所多瑪找到五十個無辜的人，我就為了他們饒恕整個城。」
18:27 亞伯拉罕又說：「我主啊！我只是一個微不足道的凡人，求你容我大膽向你請求。
18:28 也許城裡只有四十五個無辜的人，你會因為少了五個而毀滅全城嗎？」 上主回答：「如果能找到四十五個無辜的人，我也不毀滅這城。」
18:29 亞伯拉罕又說：「假使只有四十個人呢？」 他回答：「要是能找到四十個，我也不毀滅這城。」
18:30 亞伯拉罕說：「我主啊！請不要生氣，我要繼續求你。假使只有三十個呢？」 他回答：「要是能找到三十個，我也不毀滅這城。」
18:31 亞伯拉罕說：「我主啊！請你容我大膽地繼續求你。假使只找到二十個呢？」 他回答：「要是能找到二十個，我也不毀滅這城。」
18:32 最後，亞伯拉罕說：「我的主啊！請你不要生氣，容我再求一次！如果只找到十個呢？」 他回答：「即使只有十個，我也不毀滅這城。」
18:33 上主與亞伯拉罕說完話就走了；亞伯拉罕也回家去了。//

馬太福音7:12-29
//7:12 「所以，你們要別人怎樣待你們，就得怎樣待別人；這就是摩西法律和先知教訓的真義。」
7:13
窄門

「你們要從窄門進去；因為那通向滅亡的門是寬的，路是好走的，朝著這方向走的人很多。
7:14 那通向生命的門是多麼窄，路是多麼難走，找到的人也很少。」
7:15
樹和果子

「你們要提防假先知。他們來到你們面前，外表看來像綿羊，裡面卻是凶狠的豺狼。
7:16 你們能夠從他們的行為認出他們。荊棘不能結葡萄，蒺藜也不能結無花果。
7:17 好樹結好果子；壞樹結壞果子。
7:18 好樹不結壞果子；壞樹也不結好果子。
7:19 不結好果子的樹都得砍下，扔在火裡。
7:20 所以，從他們的行為，你們能夠認出假先知來。」
7:21
我不認識你們

「不是每一個稱呼我『主啊，主啊』的人都能進天國；只有實行我天父旨意的才能進去。
7:22 在末日來臨的時候，許多人要對我說：『主啊，主啊，我們曾奉你的名傳上帝的信息，也曾奉你的名趕許多鬼，行許多奇蹟。』
7:23 那時候，我要公然地告訴他們：『我從不認識你們；你們這些作惡的，走開吧！』」
7:24
兩種基礎

「所以，所有聽我這些話而實行的，就像一個聰明人把房子蓋在磐石上；
7:25 縱使風吹，雨打，水沖，房子也不倒塌，因為它的基礎立在磐石上。
7:26 可是，那聽見我這些話而不實行的，就像一個愚蠢的人把房子蓋在沙土上，
7:27 一遭受風吹，雨打，水沖，房子就倒塌了，而且倒塌得多麼慘重！」
7:28
耶穌的權威

耶穌講完了這些話，群眾對他的教導都感到十分驚奇；
7:29 因為耶穌的教導帶有權威，跟他們的經學教師不同。//

阿們。呢D係神既說話。
多謝神。

請坐。",基督教連登堂2023年7月2日主日崇拜：主啊，主啊！
"（六）信息分享

今日講主耶穌講既天國，又叫神既國。耶穌既國係邊度？就算有人話你知都唔好信（馬太福音24:23）。天國既人叫耶穌做主，但係唔係所有叫耶穌做主既人都入天國。
我地今日睇下山上寶訓，睇下天國入面既人係點既。

（1）山上寶訓簡介
馬太福音5-7 章係山上寶訓，重點講天國既倫理：神既子民點樣過生活？

5:3-10 論福：8類人睇落唔算有福既人，因為天國就成為有福。
5:11-16 論門徒特質：會被人迫害、會好似鹽咁（防腐，指對真理）、會好似光咁（照亮世界）。
5:17-48 論成全律法：耶穌黎係成全律法，遵行同教人遵行律法（指向）既義就係天國算大。要學耶穌，好似天父咁成為完全。6個例子如下：
「5:21-26 論殺人：律法禁止殺人係唔想人對其他人懷恨，被恨既都應主動和解。
5:27-30 論通姦：律法禁止通姦係唔想人對其他人有淫念，有少少都應激進咁去除。
5:31-32 論休妻：律法同傳統提過寫休書，但離婚同令人犯通姦罪一樣，除非先有淫亂。
5:33-37 論起誓：律法同傳統提過起誓，但最緊要係實話實說。
5:38-42 論公道：律法提過討回公道既限制，但其實唔洗為自己討回公道。
5:43-47 論愛人：律法同傳統提過愛鄰舍，但其實應該愛每一個人。」


6:1-18 論虔誠：所有野都係為神做，無野要特登做比人睇，3個例子如下：
「6:2-4 論施捨：唔好特登比人知。
6:5-15 論祈禱：唔好特登比人知，唔好為自己需要，而應該求天父旨意成就（即係天國），包括：神供應（食物）、神免去罪債如同我地免人罪債、神唔帶我地入試探反而救我地脫離惡。（主耶穌教既禱文，唔係好準確地簡稱 主禱文）
6:16-18 論禁食：唔好特登比人知。」

6:19-34 神與金錢：錢應該放係天（國）果度，錢係邊心就係邊，拜金就當唔到神係神，神知人需要亦都會供應，係求就求神既國（又叫天國）同神既義。

7:1-6 論評斷：你用咩態度睇人，神就用咩態度睇你。都要適當分辨人係點。
7:7-11祈求、尋找、敲門：搵天父就有好野（聖靈，就係佢自己）比你。
7:12 總結律法：想人點對你就點對人。

7:13-14 兩道門兩條路：滅亡既門好闊，去既路又易行；生命既門好窄，去既路又難行。
7:15-23 兩種人：人同神既關係會自然流露，好似樹結果子咁。耶穌認識既，係遵天父旨意既人。
7:24-27 兩種根基：聽完耶穌吩咐照做既人就係醒，佢地穩陣到好似起屋係大石上面唔驚風吹雨打。聽完唔做既就係蠢，好似起屋用沙做地基咁，一有事就冧。


（2）天國與王權

天國係神行使主權既地方。當時既猶太人聽到個字諗起既唔係地區，而係王權。
呢一段7:22對天國既解釋：「遵行天父旨意先入到」，神係你身上有主權你就係天國入面。

主耶穌教導既禱文對天國同樣解釋：
馬太福音6:10
「10 願你的國降臨，
願你的旨意成就在地上，
如同在天上那樣。*」

因為天上面，神既旨意毫無攔阻。

（3）天國與律法

7:23見到，天父既旨意，係人遵守律法（舊約聖經教導）背後既愛，而唔係律法既條文本身（參考上面5:17-48果段山上寶訓簡介）。耶穌就係5:17講過佢自己成全律法（即係跟足耶穌就得），就係愛得罪自己既人甚至為佢地死。

（4）天國與關係

7:23提到天國係同耶穌既關係。認識耶穌既人入天國，唔認識耶穌既人唔入天國。馬太福音另一段，耶穌就同樣講到邊個跟住天父既旨意行事為人，邊個就係耶穌既親人。

馬太福音12:46-50
//12:46 耶穌還在跟群眾說話的時候，他的母親和兄弟來了；他們站在外面，想要跟他說話。
12:47 有人告訴耶穌：「喂，你的母親和兄弟站在外面，要跟你說話呢！」
12:48 耶穌回答：「誰是我的母親？誰是我的兄弟？」
12:49 於是他指著他的門徒說：「你們看，這些人就是我的母親，我的兄弟！
12:50 凡實行我天父旨意的，就是我的兄弟、姊妹，和母親。」//

（5）天國與行為

7:21-22講過兩次「主啊，主啊」，主係奴僕對主人既稱呼，奴僕即係100%完全聽話照做既人。口叫耶穌做主，又奉耶穌既名行好多偉大既事，唔代表同耶穌有關係。

同時，「主」呢個字係猶太人對耶和華既避諱，耶穌講緊人會叫佢做耶和華神，可惜偏偏又唔真係守佢自己透過摩西教導既律法。

約翰福音就講到，邊個遵行耶穌既吩咐，就係神自己既吩咐，就係佢既朋友，係知道佢做咩事既人（亦都係認識佢既人）。

約翰福音15:13-15
//15:13 人為朋友犧牲自己的性命，人間的愛沒有比這更偉大的了。
15:14 你們若遵守我的命令，就是我的朋友。
15:15 我不再把你們當作僕人，因為僕人不知道主人所做的事。我把你們當作朋友，因為我已經把從我父親那裡所聽到的一切都告訴了你們。 //


（6）天國與終局

7:22「那一天」，指耶穌再返黎既世界終局，舊約都有講「耶和華的日子」，屬神同唔屬神既人要分開。
7:23「離開我吧」代表唔再有機會去到耶穌果度。呢個係對比緊當仲有機會既時侯，耶穌係講「來吧」。

馬太福音11:28-30
//11:28 「來吧，所有勞苦、背負重擔的人都到我這裡來！我要使你們得安息。
11:29 你們要負起我的軛，跟我學，因為我的心柔和謙卑。這樣，你們就可以得到安息。
11:30 我的軛是容易負的；我的擔子是輕省的。」//

呢段係成個登山寶訓既最後一大段中間（7:13-27），耶穌用左唔同比喻解釋兩類人既分別，只有凡事遵行主耶穌既教導，先能夠認識佢，進入生命。

唔聽耶穌教導既人，或者聽左但係唔跟住做既人，行既係最終使自己滅亡既大路，係神既屋企冇份。

（7） 反思

我地想唔想入天國？
我地而家係天國入面定出面？
我地做左D咩，令到自己覺得遵行緊耶穌既吩咐？
又做左D咩，係比自己知道自己跟緊世界黎行？
其實，神既吩咐係咩，我地又有幾清楚？
講到尾，神想我地做既，我地想唔想知？

求主憐憫。阿們。











（七）報告

請各弟兄姊妹為到慕道既朋友代禱，願神同佢地相遇。

本會無意取代地方堂會，同時鼓勵各位巴打絲打參加實體崇拜。

散會之後，歡迎大家留低圍爐，分享見證，或者討論。如果有野唔想公開講，歡迎email 去lihkg.church@gmail.com，我好樂意為你地代禱，或者深入探討信仰同生命既問題。











（八）祝福

希伯來書13:20b
//願這位賜平安的上帝，在你們所做的各樣善事上成全你們，使你們能夠遵行他的旨意！願他藉著耶穌基督在我們身上成就他所喜歡的事！願榮耀歸於基督，世世無窮！阿們。//

崇拜正式結束。以下有詩歌分享，歡迎留步欣賞。











（九）詩歌分享

呢一首，我未認識主耶穌就聽過，雖然唔明想講神點樣，但係我感受到同一般流行曲好唔同。

https://www.youtube.com/watch?v=e3zfYjOhe5E

歌詞中譯：

1:
當生命有時很痛苦
而風暴又翻天覆地
在這煩惱悲傷之時

彷彿太陽不再升起
全日只有黑暗停留
連早晨都再無日光


Chorus.
正正就在這些時侯
如果真的不再行了
讓我察覺讓我感受
你真真正正地存在

你的膀臂圍繞着我
你的慈愛環抱着我
到我回頭我將見到
原來是你拖帶着我


2:
當我帶一切疑問來
帶我困惑帶我痛楚
帶我惶恐不安全感

天空偶爾像銅一般
沒有禱告可以穿透
我就窒息在疑慮中



Bridge:
主啊你想幫助我嗎
當我疲累或是迷茫
使在我頭腦的信仰
也要活在我的心中",基督教連登堂2023年7月2日主日崇拜：主啊，主啊！
"報到
又一星期啦！各位弟兄姊妹午安",基督教連登堂2023年7月2日主日崇拜：主啊，主啊！
"個flow係正正常常嘅
我唯二有意義嘅地方：一個係使徒信經。使徒信經係畀我哋表明信仰嘅根基,佢唔係聖經所以唔需要默想,而係頌讀
第二係講道,你一路都喺度講經文引用經文,但咁樣只係查經唔算講道。通常全部人都會講下生活例子、個人見解,如果唔係我睇聖經得啦,使乜聽你講


你做呢樣嘢幾有意義,求主保守,阿門",基督教連登堂2023年7月2日主日崇拜：主啊，主啊！
膠門,基督教連登堂2023年7月2日主日崇拜：主啊，主啊！
信經係對上帝話語嘅回應/認信，應該擺喺講講道之後。,基督教連登堂2023年7月2日主日崇拜：主啊，主啊！
弟兄姊妹平安。,基督教連登堂2023年7月2日主日崇拜：主啊，主啊！
願各位平安,基督教連登堂2023年7月2日主日崇拜：主啊，主啊！
"非常多謝你既詳細意見。

使徒信經：好同意係表明信仰既根基。
除左「下到陰間」同「大公」可以有D爭議之外，其他都係聖經既內容，對於我自己而言有默想既價值。例如一開始「全能的父」，同時表明神係以色列祖宗既神（創17:1），又係全人類既天父（太5:45），兩方面都意義深遠。唔知你地又點睇？

講道：你講得好啱，其實呢個係我既弱點黎，可能暫時要靠大家參與黎補足下。
其實掉返轉頭，生活例子自己諗都得啦，又使乜聽我講。（呢句係想刺激思考唔係想拗）
不過我好清楚，的確全部人講道都係你所描述咁既。
至於個人見解，可能我去到咁上下會講左D好反傳統既野都唔出奇，因為一般我都係諗得好唔明先特別查下聽下人點講。

關於生活，我或者可以先分享下。我而家都算係奉耶穌既名傳神既訊息，呢段對我自己尤其有提醒。
對住唔同既人，好容易放低警覺，因為佢地唔識我個人既一大部分，但係我點對佢地，我當佢地係咩，其實神既要求係一樣。

另外時間方面都係一大挑戰，原本諗住隔離個你問我答post 冇咩長問題，先開始呢邊崇拜，點知突然之間有一位朋友出現（代禱事項），佢又受到不信者連番攻擊，我決定左優先為佢查下經（今個同上個星期既「講道」內容都基本上係果度出黎），夾埋訓都唔夠訓先啱啱夠出，如果大家有感動不妨過去你問我答post 參觀下，或者情況許可我可以專心講埋想講既道（如果有資格咁叫），包括大衛認罪、咒詛詩、撒下18章無名小卒。",基督教連登堂2023年7月2日主日崇拜：主啊，主啊！
"多謝指出。
我自己曾經參加過禮儀性既教會，但次數極少。
又想請教下，先讀信經向上帝認信，然後確定左對象再係其餘程序敬拜佢，又講唔講得通呢？",基督教連登堂2023年7月2日主日崇拜：主啊，主啊！
報到！Sor遲到咗一日嚟聚會,基督教連登堂2023年7月2日主日崇拜：主啊，主啊！
有冇小醜神,基督教連登堂2023年7月2日主日崇拜：主啊，主啊！
"個flow係正正常常嘅
我唯二有意義嘅地方：一個係使徒信經。使徒信經係畀我哋表明信仰嘅根基,佢唔係聖經所以唔需要默想,而係頌讀
第二係講道,你一路都喺度講經文引用經文,但咁樣只係查經唔算講道。通常全部人都會講下生活例子、個人見解,如果唔係我睇聖經得啦,使乜聽你講


你做呢樣嘢幾有意義,求主保守,阿門非常多謝你既詳細意見。

使徒信經：好同意係表明信仰既根基。
除左「下到陰間」同「大公」可以有D爭議之外，其他都係聖經既內容，對於我自己而言有默想既價值。例如一開始「全能的父」，同時表明神係以色列祖宗既神（創17:1），又係全人類既天父（太5:45），兩方面都意義深遠。唔知你地又點睇？

講道：你講得好啱，其實呢個係我既弱點黎，可能暫時要靠大家參與黎補足下。
其實掉返轉頭，生活例子自己諗都得啦，又使乜聽我講。（呢句係想刺激思考唔係想拗）
不過我好清楚，的確全部人講道都係你所描述咁既。
至於個人見解，可能我去到咁上下會講左D好反傳統既野都唔出奇，因為一般我都係諗得好唔明先特別查下聽下人點講。

關於生活，我或者可以先分享下。我而家都算係奉耶穌既名傳神既訊息，呢段對我自己尤其有提醒。
對住唔同既人，好容易放低警覺，因為佢地唔識我個人既一大部分，但係我點對佢地，我當佢地係咩，其實神既要求係一樣。

另外時間方面都係一大挑戰，原本諗住隔離個你問我答post 冇咩長問題，先開始呢邊崇拜，點知突然之間有一位朋友出現（代禱事項），佢又受到不信者連番攻擊，我決定左優先為佢查下經（今個同上個星期既「講道」內容都基本上係果度出黎），夾埋訓都唔夠訓先啱啱夠出，如果大家有感動不妨過去你問我答post 參觀下，或者情況許可我可以專心講埋想講既道（如果有資格咁叫），包括大衛認罪、咒詛詩、撒下18章無名小卒。
有個渠道互相分享下代禱係好，不過嗰位朋友要注意，連燈感覺上仲危險過tg，太私人嘅野就避免分享好d",基督教連登堂2023年7月2日主日崇拜：主啊，主啊！
"你講得好啱。

今個post 入面提到既代禱，就係為左果位入左你問我答post 戰場既朋友，可以認識到神，不過呢排比人洗版未必咁易搵到佢姐。",基督教連登堂2023年7月2日主日崇拜：主啊，主啊！
"要將神同小醜放埋一齊，我暫時諗到成本聖經最接近果句係

哥林多前書1:25
//25 因為神的愚拙比人有智慧，神的軟弱比人還剛強。//",基督教連登堂2023年7月2日主日崇拜：主啊，主啊！
願主祝福你師兄！願你嘅熱心同忠心鼓勵同感動到大家！加油～,基督教連登堂2023年7月2日主日崇拜：主啊，主啊！
阿門,基督教連登堂2023年7月2日主日崇拜：主啊，主啊！
都唔一定 中華基督教會（香港嘅長老會）嘅一啲崇拜程序擺喺好前邊,基督教連登堂2023年7月2日主日崇拜：主啊，主啊！
"仲有另外一個信經基督新教比較少用
就係大家一齊開過大公會議嘅尼西亞信經
好多教會嘅聖詩集都有收錄 例如全香港第二大嘅新教教會嘅聖詩集",基督教連登堂2023年7月2日主日崇拜：主啊，主啊！
"好正，討論區上嘅教會
雖然我未返過教會",基督教連登堂2023年7月2日主日崇拜：主啊，主啊！
"有冇諗過採用RCL Revised Common Lectionary 經文表 三軸經文 同埋詩篇

呢個表有一樣好嘅 就係連嗰一日嘅祈禱意向都有寫埋（喺聖公會同天主教會叫做Collect 當然事實上佢哋並唔係用裏面嘅祈禱文）
如果喺一般教會 應該係主席帶祈禱嘅時候可以讀 而連登堂大多數應該係走自由教會 Free Church 路線 所以唔使好似禮儀教會咁照本宣科讀出嚟 但當使用經文表嘅時候 應該盡量參考 事關禱文同嗰一日嘅經文通常有關

所以係實際層面上 主領需要先睇吓RCL 嘅祈禱文 先做定一啲預備 到時再根據自己嘅感動 整合埋一齊祈禱
結束嘅時候可以用主禱文",基督教連登堂2023年7月2日主日崇拜：主啊，主啊！
"有冇諗過採用RCL Revised Common Lectionary 經文表 三軸經文 同埋詩篇

呢個表有一樣好嘅 就係連嗰一日嘅祈禱意向都有寫埋（喺聖公會同天主教會叫做Collect 當然事實上佢哋並唔係用裏面嘅祈禱文）
如果喺一般教會 應該係主席帶祈禱嘅時候可以讀 而連登堂大多數應該係走自由教會 Free Church 路線 所以唔使好似禮儀教會咁照本宣科讀出嚟 但當使用經文表嘅時候 應該盡量參考 事關禱文同嗰一日嘅經文通常有關

所以係實際層面上 主領需要先睇吓RCL 嘅祈禱文 先做定一啲預備 到時再根據自己嘅感動 整合埋一齊祈禱
結束嘅時候可以用主禱文",基督徒人數係點計出嚟？
2023世界人口報告（2023 World Population Review），全球基督徒（包括：天主教徒、新教徒、東正教徒）約有23.8億人為世界最大宗教；美國佔首位約2.3億、香港約80萬教徒；最少基督徒國家在撒哈拉沙漠西部，只有200人。,基督徒人數係點計出嚟？
係神話比我地聽,基督徒人數係點計出嚟？
唔識鳩估 係咪教會d受浸名冊？,基督徒人數係點計出嚟？
唔識鳩估 係咪教會d受浸名冊？,CFA level 1AUG & NOV 2023 討論區
連登考生一齊入黎討論下,CFA level 1AUG & NOV 2023 討論區
考左啦 好易過 個排請假兩日都温得掂,CFA level 1AUG & NOV 2023 討論區
11月level 2,CFA level 1AUG & NOV 2023 討論區
下星期考有冇人傾？,CFA level 1AUG & NOV 2023 討論區
今個星期考？,CFA level 1AUG & NOV 2023 討論區
巴打你之前溫左半年？,CFA level 1AUG & NOV 2023 討論區
點解要温半年？你唔識由頭學起咪半年囉 半年學珧算快,CFA level 1AUG & NOV 2023 討論區
"我溫左成個月lv1
但d野溫完唔記得
溫到就嚟喊
仲有幾日考，點算",CFA level 1AUG & NOV 2023 討論區
"8月level1留名
買咗K字頭嗰五本野但係掂都未掂過",CFA level 1AUG & NOV 2023 討論區
charterholder lm,CFA level 1AUG & NOV 2023 討論區
可以救救me?,CFA level 1AUG & NOV 2023 討論區
Aug lm,CFA level 1AUG & NOV 2023 討論區
8月level 2留名 好撚難救命,CFA level 1AUG & NOV 2023 討論區
幾時考lv1?,CFA level 1AUG & NOV 2023 討論區
有冇level 2 study group,CFA level 1AUG & NOV 2023 討論區
8月level1揮手區 未開始溫有冇study grp,CFA level 1AUG & NOV 2023 討論區
上年8月,CFA level 1AUG & NOV 2023 討論區
真 救命,CFA level 1AUG & NOV 2023 討論區
"馮盈盈都考到唔會好難既姐
大家加油
利申:CFA charterholder",CFA level 1AUG & NOV 2023 討論區
https://t.me/CPALEVEL1,CFA level 1AUG & NOV 2023 討論區
ching 有冇興趣夾份share,CFA level 1AUG & NOV 2023 討論區
好難,CFA level 1AUG & NOV 2023 討論區
"你幾多月考
如果8月考不如直接衝去做練習邊做邊學
果5本野夾埋都千幾頁
cfa官方應該有網上練習
本身官方書每課最後都有練習

邊做邊查書會快手好多",CFA level 1AUG & NOV 2023 討論區
8月,CFA level 1AUG & NOV 2023 討論區
8月,限時抽牌
"限時免費抽牌一張
如想追牌 就以whatsapp 或 signal 聯絡

名額9位
以留言時間最快起計

有興趣 可留下
名：
問題：",限時抽牌
"名：K
問題： 今年讀唔讀到想入個科？",限時抽牌
"名：李高超
問題：今年Hello香港成唔成功？",限時抽牌
"名：L
問題：請問應唔應該轉工？",限時抽牌
"名：F
問題: 幾時先可以還囇負債",限時抽牌
"名 光
問 究竟我做緊嘅嘢啱唔啱",限時抽牌
"名 Y 性別 男
想知道同女朋友仲行唔行到落去",限時抽牌
"名：李家俊
問題：藍眼晴洋腸會唔會搵番我？",限時抽牌
"名：Six
問題：想知同個絕左交既人會唔會再見返？唔該",限時抽牌
"機會係大既
但你自己想入個科 係咪仲有野糾結緊？想係自己真心想 定關乎於其他人",限時抽牌
"唔係
你男人黎",限時抽牌
"轉工係可以
但你想要既工作模式都要諗一諗",限時抽牌
"你好似好多事要你去照顧 未可以放低 暫時你仲係要辛苦d 頂硬上
過多段時間會有人幫你",限時抽牌
"如果你身邊的人都有做咁的野，食咁的野，放咁的野，你點解會諗自己啱唔啱呢？
當然你知轉環境轉地方，可以幫你過就去做",限時抽牌
如果你哋有距離，令你難受，你係可以選擇分手的，但你真心已盡你能力，咩叫遠咩叫近，咩叫平淡，只要每個當下你哋一齊有珍惜過，開心在當下下，一切順期自然,限時抽牌
謝謝,限時抽牌
謝謝,[中國智慧] 你講大陸任何嘢，我都講到中國點贏
請出招,[中國智慧] 你講大陸任何嘢，我都講到中國點贏
電腦大爆炸,[中國智慧] 你講大陸任何嘢，我都講到中國點贏
動態清零,[中國智慧] 你講大陸任何嘢，我都講到中國點贏
北京核爆,[中國智慧] 你講大陸任何嘢，我都講到中國點贏
汶川大地震,[中國智慧] 你講大陸任何嘢，我都講到中國點贏
體現中國香港人嘅大愛精神,[中國智慧] 你講大陸任何嘢，我都講到中國點贏
天津大爆炸,[中國智慧] 你講大陸任何嘢，我都講到中國點贏
多得佢蛋炒飯先咁出名,[中國智慧] 你講大陸任何嘢，我都講到中國點贏
多難興邦,[中國智慧] 你講大陸任何嘢，我都講到中國點贏
北京大屠殺,[中國智慧] 你講大陸任何嘢，我都講到中國點贏
鎖鏈女,[中國智慧] 你講大陸任何嘢，我都講到中國點贏
,[中國智慧] 你講大陸任何嘢，我都講到中國點贏
"減少非生育人口
提升生育率",[中國智慧] 你講大陸任何嘢，我都講到中國點贏
who？,[中國智慧] 你講大陸任何嘢，我都講到中國點贏
