参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
可Check Turnitin plagiarism同 AI,🍈,淘寶大把,英俊瀟灑令孤沖,GPT zero+plagiarism checker 網上都有啦,🐯,千祈唔好信！,2,6,,,,,
招下sem HALL C RM(女),生活需要一點甜,我發左邀請俾你,🍏,How to pm😹😹,生活需要一點甜,pm,2,4,,,,,
CLE9032,🐰,同問🤯,🌞,有冇人識做份individual asm🙏🏼,,,,,1,2,,,
暑sem 搵男roommate,天水圍林宥嘉,Pm,🐣,本身住hall E,,,,,1,2,,,
情侶房 暑sem,🕵,Pm,🍻,Pm,🦁,有意pm,1,3,,,,,
暑sem情侶房,🍬,Pm,🍬,Pm,🐌,pm,1,4,,,,,
Sem2 Finland exchange揾隊友,🌷,有冇人一樣🫠🙏🏻,,,,,,,,,,1,1
Exchange還錢,☺️,"Thx, 正常係scholar先有credit requirement, 我financial aid同scholar都有, 聽到你咁講起碼安心啲, 不過最後都要睇返oge點搞🤞",💁,trans得11.25 咩事都冇 但我剩得scholar,☺️,"推, 有experience嘅麻煩dm我",2,5,,,,,
尋暑Sem roommate 女 HallE,🐘,hi,生活需要一點甜,pm,,,,,1,2,,,
搵mkt3203consumer behavior同學仔,🌰,想問下final exam tips🙏,,,,,,,,,,1,1
想問下大家平時做asm邊度揾資料,👷,"Google scholar  ,lingu database",🎄,想問下有時用lingU 圖書館search article  都要入Proquest 到開 但成日都login in唔到lingnan個acc 係咪得我一個咁😞,,,,,1,2,,,
政府intern 學校nom曬未？,👧,有無人都nom咗IRD take唔take offer?,🍡,Nominated,,,,,1,2,,,
有冇男住暑sem🙈🙈,燃,Pm,😚,Pmpm 🙈,,,,,1,2,,,
🌝,🤕,就deadline la求求大家幫幫手T_T,🤕,pushpush,🤕,Thank you!!~,2,7,,,CCC8013 research project,,
有無人9022上年拎A可以些牙上年exam ans,☠,Cle?,🍆,冇呀on99,🙇,take home?,2,4,,,,,
暑sem情侶房，住到8月頭，有意就快快pm我🙏🏻,🐧,Pm,🙈,pm,🙈,Pm,1,9,,,,,
好多hall既野想放‼️‼️‼️,🍎,收電腦mon,Djdkkdjdjdj,Pm,🍍,.,1,26,,,,,
搵下年whc二人房 rm,🍓,hamster,🙃,有咩寵物先,🍓,3-4點,1,6,,,,,
想問宿舍deposit,😣,收到,🍡,OSA話gra左之後先會退翻比你 想問大家有無收到？,🍡,想問有無gra左嘅同學仔係收到學校退比你嘅deposit ？,1,3,,,,,
PSY 嘅同學求求你地幫手做CTLE🙏😢,😅,Coun psyPersonality & individual diffSocial psy 🙏🙏🙏拜託了🙇,😅,見到好多psy 都唔夠50%唔想派Early Grade 個陣囉囉攣要等多2個禮拜😖😖,,,,,2,2,,,
沉浸在Lue4001地獄,🙄,A3 Done,🐵,除左個cv有啲用之外其他task都係廢的 理實世界做野唔會咁處理 (你讀落就知 even冇出過嚟做嘢都會覺得好怪唔合理),,,,,1,20,,,
係咪停電,🍺,是,🐨,好似係,Andy1999,yes,3,3,,,,,
$300收password test part b位,😕,Pm,,,,,,,,,,1,1
有冇人rm好靜好早瞓,adorable,"大家可以一起reg hall,走食煙飲酒走party lover 🙏",adorable,有冇女仔可以一起，安靜愛乾淨，12點之前訓覺,🐈,可以每晚同佢不眠不休,3,58,,,,,
小型acct公司intern易唔易入,🙍,non big 4入黎無癮,🍰,廢極都shinewing你話呢,🍗,Easy Aim 高啲 起碼大local  2 tier big4,1,5,,,,,
徵求23/24早瞓室友,👽,同我差唔多😂,😪,pm,😑,Push,1,6,,,,,
富泰宵101 你的pick是..？,💁,agger arrr✊🏻✊🏻,🐊,但係咁加價 就食唔起鳥,🐊,粟米餅😭😭😭我愛粟米餅😩❤️‍🔥❤️‍🔥,3,33,,,,,
jy/hc有無nds情侶房,jy一女換宿搵舍友,pm me,🍔,jy/hc有無nds意向情侶房（只是nds方便交流，無惡意🙏）,,,,,1,2,,,
🍥,👻,可惜了,😗,屎,😈,No:(,1,3,,,Canteen仲有冇壽喜鍋,,
英文系又搞乜,👶,斷咗咁多年 dept同學生唔close都唔出奇之後一兩年keep到有莊嘅話活動氣氛應該會好啲、開番個傳統,👽,但係連head都冇去喎，都唔知係佢哋冇邀請定prof 唔想嚟,👽,英文系本身少人，計落其實真係幾多😂,4,15,,,,,
IELTS Lingu考 5月會唔會有期,🙄,前年1800,🍱,1400 only🥲,🙆,Claim到幾多,3,7,,,,,
七日情侶計劃,😨,21 ba,🍙,星期戀人（？）,🌴,😂😂😂😂,1,32,,,,,
CDS3008 assignment 2代做有酬￼,🙂,Pm,🐄,Push,🐄,有意者PM🙏🏽🙏🏽,2,3,,,,,
韓文final test,💃,其實會點考 係咪好似TOPIK咁？,,,,,,,,,,1,1
🌞,🐺,有意pm,,,,,,,,,有冇人本身住hall E調 暑sem 情侶房？,1,1
HE情侶房,😺,有意pm,,,,,,,,,,1,2
有冇人已經收到北大GLOBEX津貼回復,🙂,就快交錢都未有回信,,,,,,,,,,1,1
CCC8013 Research Project究竟要點做？,😘,Pm ask any questions,🐦,Ys ， 我有提早做 然後有send小小問卷出去，作咗八成，A,😆,真，我個陣自己作data都有A grade,1,5,,,,,
CLB9001 Lec attendance,🍈,不過你都啱既 name list有樣,🍈,Tut 唔係秀英老師教,🙌,少年你太年輕了 name list 可以有樣的 加埋有 present 怎可能唔知,1,14,,,,,
有冇讀過lue3003可以賣個sc3個ppt,🙏,pm,🙏,3003 ATg： plWjckru,🌮,唔知個ppt點做,1,4,,,,,
TRA 4307連reading week都冇就要人考試,🙇,有無人可以分享下,🙇,真咩,🐡,想確認多次係咪有醫生紙就可以補考,1,13,,,,,
暑sem搵rm 女,🍊,乾淨 夜瞓我平時會開mic打機希望搵到一個差唔多嘅唔介意對方開mic打機（當然瞓覺就唔好打擾對方,,,,,,,,,,1,1
🐲,🍖,Up,,,,,,,,,有無人會take IRD offer,1,1
有冇whc情侶reg 情侶房？,😆,Pm?,💩,差唔多情侶 等到9月尾先有得調 調得黎都10月中...,,,,,2,12,,,
🦄,🍇,Push,,,,,,,,,Hall C調情侶房,1,6
Hallc 2樓啲赤祼男可唔可以收歛下,😦,是我啦嘰嘰,🐢,唔知被人話緊嗰兩個見到post 會唔會收歛吓🤫算啦佢兩個咁摺點會睇goop 就算睇到都唔知係話緊自己,🐛,小妹冇j的,1,16,,,,,
有無人試過富泰新開間速剪？,😟,Ok,🍼,ok,😁,有冇人試過o唔ok? 唔太差ge話想慳下錢,1,3,,,,,
有冇人可以夾暑sem情侶房？,😌,我pm唔到 你pm我？,🍦,Pm,😌,pm,1,8,,,,,
sem1。jy/hc情侶房有無,👮,push,,,,,,,,,,1,1
嶺南有冇行銷學讀？想學,🐖,Marketing 啲courses,🐛,想問係邊一個course?,🐖,有,1,3,,,,,
學校考Ielts有冇文具提供？,🐒,是,🍈,thxx,😥,考之前會派鉛筆擦膠,1,7,,,,,
中三上門 補習屯門,🙍,🐈‍⬛?,🐱,你中三？,🐻,屯門邊度？,1,7,,,,,
嚟緊幾時派grade,🐘,考都未考🥲,🍷,🙃,,,,,1,2,,,
cle9012 fin mkt cheung wai wah,🐨,有冇人知groupproject做咩？,🍈,push,🍈,佢教得好唔好 ？ 呢科點？難唔難？,1,3,,,,,
IT test,🐋,即係part B每題copy喺YouTube睇點整？,🍓,youtube有片教點做,,,,,1,6,,,
有冇人知南宿對面起緊D咩,👧,驚學生壓力太大，起左之後俾啲人去chill,👧,好似話會起個bar,😑,hub,1,4,,,,,
Lue1002essay請槍,🍂,可whatsapp交流？,🍂,400,😑,可,1,5,,,,,
🙏🏻唔該幫幫手做問卷 好快搞掂🥺,🐡,Done,🦁,Pushhh,🦁,Thank you,1,5,,,,,
做CTLE啦！,🌜,Pushhhh,🍌,‼️‼️‼️‼️想要early grade,,,,,1,2,,,
Final year tran,😬,FYP b range 難？,,,,,,,,,,1,1
password test,🍷,No,🐣,想問year 1洗唔洗一定考一次password test,,,,,1,2,,,
點解可以成日見到佢房門口有蚊有曱甴？,🍞,Who,,,,,,,,,,1,1
想問吓有冇人執到銀包￼,唔係太好,好似係證件,食物好食,想問吓你執到嘅係一個銀包定係證件嚟 🙏,唔係太好,"放咗成龍體育館個更亭, 去睇下係咪你嘅",1,4,,,,,
最應該炒嘅人,🐵,一定係 Moono,👰,moono,,,,,11,,,,
想問暑sem有冇得late drop🙆‍♀️,🍤,有,,,,,,,,,,1,1
Minor CUS,🍞,改左concentration,🐟,想問改左d咩?,😐,真,2,7,,,,,
最應該摺嘅department,🌼,CEAL成日轉人,,,,,,,,,,1,4
有冇人今晚一齊出嚟飲酒？,🍂,你係巴？,😖,Can,🍂,Ba?,1,4,,,,,
有冇人exchange 緊想一齊歐遊,🐧,Push,🐧,Pm?,😞,pm,1,13,,,,,
3004 Past paper practice要自己搵？,🐦,.,🐦,moodle好似冇,,,,,1,3,,,
學校Wi-Fi 又壞咗？,🐆,今日Wifi 係咁斷線,😚,LU 同LU advanced 都連唔到 垃圾,,,,,1,6,,,
入到LingU portal?,🌜,自己睇email oa,🌜,Banner system update ar,🍲,direct moodle login la,1,4,,,,,
林護渣男,🐯,我Daddy買嘅🥰,,,,,,,,,,10,12
有冇人真係諗住quit?,🐳,Bye,🐅,唔交學費咪自動quit …,🕵,你同佢講話再讀落去就會有🙏🏻,2,14,,,,,
有冇人去緊exchange 會想一齊去旅行,🐡,Ok,🐡,Ok,🍣,Pm,2,11,,,,,
嶺南出名gay巴,🌞,translate year1 強記,👵,樓主最出名,😥,你知黎做咩,1,5,,,,,
有冇人喺MBG10執到把黑色嘅遮,⛑,Push,🌰,Push,🌰,Push,1,5,,,,,
🐀,😎,Jamie 世界第一,🐜,meiling先係,,,,,26,53,有冇人覺得Evelyn以前D相同而家差好遠？,,
林護堂今日都幾精神,🐧,林護霸氣,🐧,Give me a H,,,,,2,13,,,
Hall D 一女調 Hall H,🍈,Push,🍈,Push,,,,,1,5,,,
TRA3327 Assignment 4,😅,做到了唔該晒你🙆🏻,😆,同學你最後做到了嗎,😆,寫番個由動物開始 的poem,1,11,,,,,
思,,,,,,,,,,,林護堂討論區,,
FM求問password test🙇🏻,🤐,3月頭做好似3月中尾就有,🍥,照計應該出咗好耐,🍰,請問10月考嘅password test宜家仲未出result係咪正常🙇🏻,1,3,,,,,
password test 一問,🐊,Website 有,🐊,要睇faculty 中文系就6.5 英文/translate都要7 即係滿分,🙌,Overall,1,21,,,,,
3rd hon grad點算,🐽,收效甚微,共產黨員,不如問埋去旅行？,🍚,How about exchange? Can it help?,3,38,,,,,
雪櫃store方法,😾,新宿可以點🥺,🙉,照落去下面hall庄度store,😾,想向各位請教sem之間大家會如何store雪櫃感激各位,1,3,,,,,
想問plagiarism,⛑,okok唔該曬,😚,我都想知 要問番學校 唔同case可能都唔同,⛑,我明 但當初冇話要見任何professor 同學校既人 以為係口頭警告下 想問如果已經有case no.會唔會落成績表？,2,14,,,,,
ccc asm2 help,🦃,我最後幫埋呢個同學🙏🏻因為我太忙啦對唔住大家🙏🏻🙏🏻希望我幫過嘅同學多d幫下其他人，而唔似得有啲人下下講錢🙏🏻,😤,Need help😢🫶🏻,😏,Need help too..,1,11,,,,,
學校gym room睇完片要等第二 日先可以做,🐶,Great!,🍛,專登九龍灣過黎以為可以睇完即刻做 dklm,,,,,1,2,,,
求上年或之前Hrm 3201 individual 功課有酬,🌾,你extend chat,🐥,Pm,🌾,.,1,6,,,,,
留低 CGPA 幾多攞 1st hon,😄,3.47 聽講緊緊得？,😄,ys siu4 me,😄,Thanks for the info!,1,62,,,,,
新宿🀄️有冇 -2,🍫,10番128,,,,,,,,,,1,1
🐂,🐺,可以一試,🤖,正,,,,,16,18,如果搞個舞會有無人join?,,
HRM Fyp,🙀,想請問HRM有冇fyp要做？,,,,,,,,,,2,1
🍝,🍝,樓主係邊撚到 我要食評,🐏,圖定老母,,,,,11,15,Hall A有呵雞,,
Wang Yuan Yuan (教Hr),🍛,點解會有人投佢好好人,🍛,"人哋話唔check email架 理撚得你死🫶🏼做野冇planning 科科都俾人投訴係呀教3科好忙 仆街我地讀5,6,7科係咪仲忙啊年中都冇乜功課要你改啦 你忙乜柒啫",,,,,1,3,,,
出周杰倫演唱會飛,🌽,仲有？,ccuu,想要,16,pm,2,14,,,,,
LEO ambassador ceremony?,😌,諗住唔去,😌,同問,🐝,Push,1,7,,,,,
23-24hostel,🐧,E F,😭,好彩嚇死我以為miss咗😂😂thxx,☺️,未Summer hall都未出,2,4,,,,,
學校電腦有冇得用photoshop/illustrator,🐆,圖書館都有,🐛,好似係，我之前試過得,🍲,想問係咩用學校email就可以用🙇🏻‍♂️,1,5,,,,,
今晚有冇富泰宵？,😑,有,💃,今晚有冇開,😾,今晚有無雞軟骨,1,6,,,,,
Year one 係咪一定要考password test,🍀,畢業前考到就得，IELTS仲可以apply exchange,🍀,Year3先考IELTS+Password Test,🐯,如果year one 唔考遲啲係咪可以用ielts 嚟代替,1,3,,,,,
🌝,😅,Book 到再算,,,,,,,,,牙醫伏唔伏？,1,1
谷project要人做問卷🥹謝謝大家,😻,推,😻,推,🐶,推推,2,14,,,,,
有冇人gpa￼低過2.5但去到exchange?,🕴,無,,,,,,,,,,1,1
有冇人呢兩日係Hall用唔到Lan線Wi-Fi？,🙊,重開機用得返,🍹,插咗lan線都連唔到wifi 搞乜,,,,,1,2,,,
有冇人係HK Housing Society (LSIP),🌭,準備要個nomination,🗿,🥹,,,,,1,3,,,
大學生存款統計,😓,攞唔到錢,🕵,銀行存款等如0,,,,,1,4,,,
Minor一問,🐘,Thanks🙇🏻‍♂️,😾,Cluster + minor 唔可以double count,😾,你要讀多個CLC,2,5,,,,,
🌱,🐝,做乜,,,,,,,,,有冇人下sem 1去日本 Yamanashi Gukuin?,1,2
點解academic advising 唔覆電郵😊,🍉,不過academic advising 唔係過左好耐啦咩,🍔,Thanks thanks 我打咗左department 佢話試下幫手forward個email 俾佢,🍔,都sd咗😵‍💫,2,20,,,,,
暑sem一問,🍫,計total但係記住每年最多33cred,😃,計total,🍱,"想請問下假如我今年唔夠cred,唔讀暑sem下年假設夠cred,然後再讀暑sem可唔可以將暑sem嘅cred tran返去上年(?)定係佢計total cred,總之畢業前有120cred就得謝謝各位解答🙏🏻祝大家過三爆四🙏🏻🙏🏻",1,3,,,,,
pw test 要考幾多分先fulfill到,😼,Sor lor 我冇,🍇,有手有腳都6.5,😔,大部分6.5,1,5,,,,,
CLE9022 midterm有冇open book?🙏,😏,cls係咪一樣你都要溫架啦 萬一唔係你咪趴街,🎃,之前要上網搵資料 所以有Open book,🐳,搭單問佢考嘅題目係咪relate toD revise exercise 定直情一樣,1,4,,,,,
上個暑Sem嘅dean list宜家仲可唔可以攞？,🍩,Ok thanks,🐡,gpa過3.3就有,🌶,dean list算topxx%？,2,17,,,,,
跪求今日1330-1530ilp link🙇🏻🙇🏻,🍟,同求 差兩分🥺,😃,Mbg22既ilp🙇🏻🙇🏻💕,,,,,1,2,,,
求bus2206 mid term卷,🙇,如題，求各位打救小弟，萬分感謝,,,,,,,,,,1,1
CCC8012 reflective journal 遲交,🌱,你邊個tutor啊,🎄,:(,🍸,我知錯了：（,1,9,,,,,
喺學校泊單車使唔使申請？,諗唔到點算,免費的填完幾日就會打比你叫你去攞,諗唔到點算,成龍同佢講填單車牌表,諗唔到點算,要,1,3,,,,,
想知HR major好唔好讀？,🍇,我自己作為過來人就覺得如果你本身係對數學唔敏感嘅話 揀HR 會幾啱你 因為冇乜數要計 大部份時間都係寫文同case study 我自己就覺得幾好讀,🍇,下 我A咗,🙆,可能係呢一科嘅問題,1,8,,,,,
ILP 出席率,😷,1次,🐡,當1掛,熱可樂,想問如果我一個ilp 8堂，我冇去4堂 即係唔夠出席率啦，咁佢係計我冇去1次ilp定冇去4次ilp，因為聽講唔去3次ilp下個sem冇得reg？,1,3,,,,,
有冇人喺hall已經開緊冷氣,🙉,好濕 開緊冷氣,🐺,热,🤑,好凍 開緊暖爐,1,4,,,,,
CLE9012 Cheung Wai Wah,🐐,我得22分,👼,mt已含,🐐,真！up what,1,13,,,,,
有冇人知￼Wang yuan yuan 教成點￼？,😔,同學 我同你唔同科 但我深深感受到你既怨氣 建議email department 為我嶺出一分力,🎍,大家一齊填ctle 啦,😓,佢真係cls 可以poor management 到搞到啲學生為左有present時間要爭櫈仔咁款，爭到當住佢面嗌曬交，我哋係電腦前面嘈左5分鐘，佢全程都望住我哋食花生。明明argue個位係因為佢問題先發生，佢可以5分鐘之後先施施然講咗一句帶過就算。make 全部 arrangements之前，完全冇clear instructions ，啲嘢想點改就點改。本身講好咗份嘢可以optional 交，無啦啦變咗necessary。本身遲一個禮拜先mid term，佢自己記錯時間無啦啦改組左一個禮拜，然後佢做嘅嘢唔係同我哋say sorry，或者改返去下一個禮拜，死都唔肯認錯，直接改moodle schedule 👍🏻叻女 勁到可以有學生，完全唔知嗰一堂要考試。本身每人present 20分鐘，佢夠膽死比30分鐘五條友present，然後叫我哋自己搞掂啲時間佢，wtf? Are all students a joke to you?,2,29,,,,,
Cle 9022,🌰,上堂考？,🍚,唔識溫放棄了,🍠,Mid term 點樣溫 ppt睇唔明,1,14,,,,,
究竟ilp有冇得walk-in?,🍙,係,🐛,有冇人試過,🐛,想問係咪冇reg 但係scan 咗佢個check in check out qrcode 都會收到form 同有分,1,3,,,,,
想問Cle9022midterm係咪背題目就得,🍨,佢係咪話會出返revised questions,,,,,,,,,,1,1
學校附近有冇理髮店推薦？@@,😵,好 thx,😨,如果唔嫌遠嘅話安定商場有間速剪都幾好 有嗰銀白色剪髮嘅叔叔幾好人 好細心咁樣剪55蚊,😵,❤,2,8,,,,,
Muso嘅show有無人睇過？,🍫,上次以前請邊個神秘嘉賓,🌱,有,🐟,📷,1,4,,,,,
Clc 9017 presentation,🙈,佢係咁,👵,push 個prof.都唔清楚咁,🐛,我都想知,2,4,,,,,
有咩SL唔麻煩又好讀？🙏🏻,🐡,唔係要去耕田㗎咩,beeeeeecfg,Cld9001,🐶,但係說話好先好揀,3,7,,,,,
有冇人做咗MTR video interview？,😞,"Questions are all on Glassdoor and lihkg, btw, u have only 1 day left to finish the vi, good luck",🍼,Lm,🐡,想知會問啲咩,1,5,,,,,
小弟依家year 1 唔太理解Free elective係點,🐄,收到你 thx,😅,係因為你冇辦法轉到major cred的話，就會用到free elective，最好就留低15 FE,🐄,想問free elective嘅意思就係讀其他科嘅course？咩科都得？同埋上網睇話遲啲exchange會用到free elective嘅cred又係咩意思🙇‍♂️🙇‍♂️,3,3,,,,,
Pgde,🍥,有冇人收到pgde offer?,,,,,,,,,,1,1
Exchange pending,😮,好的 Thx 🙏🏻,🍮,叫佢approve,🍮,要搵返相應ge prof,1,4,,,,,
點先可以上到award ceremony ?,🍰,有award咪得,,,,,,,,,,1,1
Minor,🍼,Minor & Major,🍼,學校啲文件會出錯話可以，但其實都唔得,🐱,不可以,1,13,,,,,
Password 出左分,🤑,有四份卷但無overall,😇,點會,😇,Sls,1,4,,,,,
中文系去exchange入,😣,不如pm,😱,請問去台灣要幾多gpa?,😣,台灣呀,1,21,,,,,
SOC2101 essay1一問,🐥,我知道係3點😂不過好多人都冇睇到係3點，以為跟正常規矩係12點deadline,😗,Um 咁佢寫到明 13 March 15:00最多咪只可以怪自己睇錯😂😂,🐥,outline少伏，佢寫今日deadline，不過係3點😂,1,15,,,,,
BUS 2107 MT,🍚,第二題應該係點 告唔告前夫同大仔😭😭,,,,,,,,,,1,1
CLc 9017 RBE,🐖,嚟緊份present 係做咩,🐊,吹水，真心,😇,靚grade科 吹水就得,1,7,,,,,
BUS2107 MIDTERM,😭,我上個sem冇規定,😝,有無規定,😝,Print material 規定幾頁,1,3,,,,,
有興趣經營插畫page或者鐘意畫畫嘅一齊交流下🙈￼,😷,鍾意畫畫+1 但畫得一般,runrundog,Hello,,,,,2,18,,,
求救 CLB9035上堂教咗咩,😲,🙏🏻🙏🏻😅,😲,不如咁問有冇人知成科講咗啲咩,🍕,上堂唔舒服無返，有冇好心人士話我知佢講咗咩🙏🏻,1,3,,,,,
Bus2107 mt,🌜,*印,🌜,Mt 冇past paper ga你記得自己引返啲notes同埋做好time management已經好夠做,😞,有冇人知要點樣溫…有冇以前mt ge past paper🥲🥲,1,3,,,,,
Ccc8013,😑,正係做呢樣野？,🙏,Week9 tut folder,🐻,想問下係邊個位？,1,7,,,,,
有冇人要夾Netflix?!,九宿,招人夾,⛄️,Full 咗啦,🐤,Pm,1,11,,,,,
Hall C五樓擺錯嘢,😐,Pushpush 見到部分物資就快過期了🙇🏻‍♀️,😐,如果有嘅話 麻煩Pm番我！講埋其他擺係袋入面嘅嘢核實咗可以交收番🙇🏻‍♀️,😐,有冇人星期一擺錯咗一堆物資(一Pack麥精、一袋杯麵同一袋麵包)係Hall C五樓？,2,3,,,,,
Hall盞燈閃下閃下,🐉,https://www.hk01.com/%E7%AA%81%E7%99%BC/878205/%E6%85%88%E9%9B%B2%E5%B1%B1%E9%9B%BB%E5%A1%94%E5%86%92%E7%81%AB%E5%85%89-%E5%85%A8%E6%B8%AF%E5%A4%9A%E5%8D%80%E9%9B%BB%E7%87%88%E9%96%83%E5%8B%95-%E6%B6%88%E9%98%B2%E6%8E%A5%E9%81%8E%E7%99%BE%E5%AE%97%E5%9B%B0%F0%A8%8B%A2-%E6%9C%89%E7%89%87,🐉,我間房都有 3樓,🐻,今日咁啱睇完鬼片😵😵,1,10,,,,,
ChatGPT 做predicate logic,mantik,處理咩題目,🍭,兩份assignment得15%，不過唔識嗰時有得問都係好事嚟嘅,mantik,不過 讀哲學既同學們 呢個AI係恩物黎 好好用 問題可以問得好細 佢都答到既,1,8,,,,,
Password Test 要幾耐出Result?,☺️,咁當然你同時間都會知自己fulfill左你個major既requirement 未啦,☺️,考試結果需要等待大約三星期先會知 你可以去degree work 個 password test度睇 佢會一次過show曬4份卷既成績,😑,佢係一次過有result?,3,12,,,,,
一人一個讀暑sem嘅原因,🐤,應該可以 你唔夠的話佢呢度應該係講你讀夠可以畢業嘅情況下就唔計入去,🍋,佢話not included in the degree study 咁姐係唔可以當fulfill credit 嘅grad requirement?,🍋,如果唔夠cre 呢,1,19,,,,,
有冇人聽唔明Sterk講嘢？,🌛,Ctleeeeee 有用,🐁,完全認同🥲,🐁,珍🥲,1,22,,,,,
8013,🐇,8013 grade A sample of the independent research reportPmOrTg:Appledgllrpqc,,,,,,,,,,1,1
Phyllis AU比分點,🐐,上個sem就係臨尾走堂走得有啲多所以衰收尾🤡差4% A-,🐐,你上堂比下反應佢對你印象唔差龜自然靚,🐐,想hea唔好揀想走堂都唔好揀啲assessment 要自己摸索啲做，佢好鍾意講一大堆嘢但係唔係好知佢噏乜,1,10,,,,,
CCC8011 (CRN:81),🐩,好感謝大家！,😎,應該未去到分組個part🤡,,,,,1,16,,,
ccc 8012 reflective journal,😭,4月1,burh,其實份野幾時要交?,🎃,自己再paraphrase啦,2,12,,,,,
想參加ESG活動擦CV入,👩,有意參加就快啲報名,👩,Sure,👩,1. 低碳想創坊 第四屆青年氣候倡議培訓20/3 截止2. 珍古德協會 ESG領袖培訓計劃30/3截止,1,3,,,,,
係咪可以有多過一個Minor,🍛,Yes,😥,讀夠credit就可以minor嗎,,,,,3,5,,,
exam timetable大概會幾時出,⛑,thanks,🐭,3月21呢度睇：https://www.ln.edu.hk/reg/undergraduate-programmes/important-dates,🐜,FM想問下上年sem2大概幾時出exam timetable🙏🏻,1,3,,,,,
想知去西班牙/韓 國exchange 嘅budget 同感受,每日頭場角大,有 如果你係釜山exchange就可以搭船過日本福崗玩,🍺,宿舍自己租人哋hostel 人哋貴過LingU唔少之後歐遊唔使錢？你又覺得歐洲使費平？,🍕,一個月洗5萬？日日去叫雞都洗唔到喎,2,9,,,,,
🍻,🍸,Ok thx~,😣,要,🍸,如果我下年year 4 sem1 想去日本 洗吾洗考ielts/tofic?,2,6,,,Exchange,,
Ada好唔好讀？,👼,理論嘢難靚grade（難A），production嘢要問多啲意見先有機會靚,🙂,ada 1字頭嗰啲都簡單,👾,好詳細，Thank you so much🥹,1,11,,,,,
JRP mid term report 點寫…,🐮,"啱, 上sem做個supervisor同我講話交份之前consult比過佢睇嘅literature summary就得",👷,睇Professor 個個唔同,🍲,lm,4,6,,,,,
好心係拉把就唔好講野咁大聲啦Ching,🙎,認同,🐮,就係想靜先來摺拉把結果全部人就聽住你地又爆粗又大聲狂笑傾計身為香港人可唔可以俾返啲尊重來 唔好咁失禮,,,,,2,3,,,
Year4唔夠ILP可以點,🍯,大學生每日check下email la,🍯,Talk email咪有lol,👽,同問,1,8,,,,,
summer term一般選咩課輕鬆一點，,😚,Cluster/1字頭courses,🌛,Intro to xx,,,,,1,2,,,
cld和cle中有推荐的课程嘛 比较轻松一点的,🐆,CLE9002,,,,,,,,,,1,14
Rim2200考邊,🎂,依家邊個教😂,👽,請問佢嘅mid term範圍係咩？,🍨,可以唔使溫,1,5,,,,,
點解Hall G啲水喉水係米白色？,🌽,水衝力大咪白色,🐑,好似係正常嘅，擺埋一邊放置一陣就會變番正常透明色,😸,有冇人一樣？,1,3,,,,,
Translation FYP,😫,"想問知吾知係咪通常都吾會太差個grade, as long as 有努力做😲",,,,,,,,,,1,1
Course prerequisite 一問,😗,Oic thx!,👺,"LUE elective就可以同一sem讀, 但之前我試過未讀1002就reg咗3002, 佢最後都冇drop到我, 我諗真係睇prof肯唔肯畀你讀",🍇,之前試過 最後要入紙轉course,1,10,,,,,
FM求問Academic Advising🙇🏻‍♀️,🤔,yes,😓,睇prof有啲主動約你就要見，hea嘅只要你講一聲就會幫你lock,🐡,我今年都係email就得,1,15,,,,,
Lue4003個Job Application Portfo,⛄️,Thanksss❤️‍🔥,🍩,每24小時可以check 3 次similarity,🍩,3,2,5,,,,,
今日新宿試鐘 定點？,🐭,試鐘,,,,,,,,,,1,1
有冇師兄知道fyp膠圈釘裝邊度整,😟,+852 6530 4445屯碼影印店 老闆好nice，可以去問問價,悉尼老鼠,係咪通常自己出面揾人整,,,,,1,2,,,
讀過LUE4003既人請入￼😬,🙎,要食嘅屎都係要自己食㗎啦,🐑,上堂啦,😈,上堂啦,5,,,,,,
點解我覺得學校oge咁廢,🌬,都係睇人㗎啫,😔,讀得嶺南咩質素大家都知啦,😔,Oge班友咪係你啲師兄師姐,1,31,,,,,
申請讀Minor 一問,🍩,係,👺,搭單一問，係咪填咗digital form就ok，冇其他手續要做？,🤖,限期之前隨時可以交 最好就早啲交,3,22,,,,,
LCC Go Chinese $10一課即日搞掂😘,🤐,做到啱晒為止,🤐,Of course la,😪,包唔包靚龜🤓,1,7,,,,,
CCC 8011 assignment 1好難 巨含,🤑,8011好撚難,🍒,咁你幾大穫,🐻,求腥,1,5,,,,,
minor d courses 個個sem都唔offer,⛑,寫email同department & registry溝通,🍙,點搞,🙇,下年一個requiremen couse都冇,1,8,,,,,
放補習,🦄,Pm,😲,冇嘢下話依家小學英文專科市價都150-300😅,🐄,星期日晚嘅話可以?,1,6,,,,,
🍩,🐉,有,,,,,,,,,有無人夾youtube premium,1,1
🍷,🍮,一開窗就有蟻😂,🎉,垃圾太多都會有,🍺,開大窗都無喎,8,8,,,大家間房有冇啲飛黎飛去既蟲仔 好核突,,
Eng3009 求救,🍕,Thankyouuu,做乜膠,我冇加aocrec🤡我都係第三人稱,🍕,Eng3009 求救🙇🙇🙇想知asm1 使唔使加埋寫邊度係aocrec落去🙇同埋係用第三人稱寫？🙇🙏🏻,1,3,,,,,
CDS2002,😪,有冇人識做Asm 1 既第二題，我點都睇唔明要點做😢,,,,,,,,,,1,1
