参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
假如聽日林鄭話所有訴求都答應，除左雙普選，你收唔收貨,🦁,但係得26%嘅人係唔肯🤔,🍻,雙普選係本 其他都係標 五大訴求缺一不可,🍎,當然有雙普選都未必保證乜但無雙普選就一定唔得,3,4,,,,,
NURS N208F出左ocas,😪,出咗分,🍑,Thanks for replying,,,,,12,18,,,
巴士房外執到黑色USB一隻,🌶,Jcc 6樓,🍩,咩係巴士房,🌶,已交比電腦中心既staff,1,4,,,,,
🤔,🍧,有就好囉 可以exchange過去,🐢,ouhk好似成日用英國ou出d書做textbook,,,,,3,2,OUHK同英國間OU係咪有咩關係?,,
有冇人可以放mc locker？,🍡,校園管理部話仲有LOCKER可以申請,🍻,Push,🍻,想要一個😢嗰日要返工冇排隊，有冇人可以讓比我,2,3,,,,,
FIN 280叫春揮手區,🍐,之後每年又轉題型😴,🍐,係 past paper出過既佢都話重要,😦,佢講得好闊,21,158,,,,,
🍾,🐃,多謝你！ 🤗🥺,😿,白痴。冇exam midterm唔代表就好,👳,係，唔嚴 隨時簽番都得。記得番最尾果堂Lecture 就得,15,31,,,GEN A203BF 科幻電影 呢科點樣?,,
多宗自殺都無可疑？,👦,仲有朱殖雄個單 懷疑黑警拎電話 開wts 仲上lihkg開post 有埋上線時間 都無可疑 底黑警一世俾人話,👦,琴日上下半身分屍墮樓。。明明就係分屍後 新聞都可以話佢昏迷不醒重傷致死 重點係咪外藉人士都唔知,🐃,😞😞問題就係 明明就好可疑 但係無人知可以點做,3,4,,,,,
學生八達通申請表可以去邊度蓋印？,🐯,跳閘算啦,😔,Sao main campus block C 5/F,😦,八達通dum chop係sao做嘅 幾多樓就唔記得,6,6,,,,,
有冇人收到8大conditional offer?😭,🦄,可以上連登19/20 NON-JUPAS 專區度睇data大把野睇,🦂,想問Year 幾tran year 幾？Thx,😶,文科translation ！THX！,24,59,,,,,
突發!212 test過佐4個月終於肯出分,😁,以為好撚威,😁,79分打哂飛機咁,😁,唔比人越讀越勁咩,8,21,,,,,
各部門注意 香港人日程表,🙏,📷,,,,,,,,,,1,1
幾時肯出summer bba d 科既grade,🕴,我估係,😻,唉 366...,,,,,6,16,,,
雙,🐠,佩婷bb😍,⛄️,Cwfa 慕靈,🙍,求咩科可以Reg到佢科,66,103,,,ou有冇靚女miss,,
有冇人執到一隻銀色手鈪,🌽,已尋回,🌽,Push,🌽,📷,2,11,,,,,
OU不如整番個大合唱,👮,有得諗,😁,其實大家有冇諗過lecture 放break個時播香港國歌再一齊唱,😺,when,6,7,,,,,
BBA summer sem 幾時出成績,🐜,月尾掛,🎉,想知+1,🐞,想知,3,3,,,,,
揾定groupmates先,🐩,再試下，過咗期啊,🐩,Requested咗，你要accept,🐩,你今日上4至6 lecture？,4,13,,,,,
1點鐘，不見不散,😯,淨係識講假設性問題,😄,記得要理性討論啊,😄,📷,3,4,,,,,
ou附近究竟有乜好食,🌼,天馬？,RyanZcck,旺角女人街都多野食,🍵,啲咩*,11,13,,,,,
9月9日OU人鏈行動,🐘,加油呀，聽到唔小人嗌口號同人鏈了，加油公大，多你一個已經好多,🐿,人呢,😳,沒有大台，只有大眾,17,21,,,,,
Lecture note& tutorial係咪年年都一樣？,☺️,冇轉人就差唔多,☺️,如果轉咗人教咪會變好多,☺️,咩科呀,3,5,,,,,
MC地下中秋個活動係咩黎,🍁,免費雪糕,🐔,趕住上堂,🐔,太多人排隊睇唔到搞緊咩,3,3,,,,,
ou有冇7仔/ok,😪,何廣另一邊入口2樓有,🐈,何廣地下嗰間大嘅仲要執咗笠,🍻,冇呀，要去愛民/何廣先有,4,3,,,,,
😰,😉,HSBC 白金,🐄,唔知1800定2000 首年免年費基本上準時交卡數 信貸紀錄良好 之後打上hotline都waive到,⛑,年費幾多？？,25,25,,,讀OU嘅你有邊張信用卡？？？,,
有無mental人知yr3/4/5有無得揀PY出？,🤔,會 當然但都係個句 少囉,🐚,Yr 3/4/5 PY會不會有位給ou學生出,🤔,係就係但OU分到青山醫院既數目係還多於另一間我識人住九龍區都要出青山醫院,4,6,,,,,
聽講有個社伏組爸 問佢借錢唔使還,🐀,人哋拍拖拍到窮啦,🐪,淨係知曾經有句話社服大昌 富可敵國,🍧,篤灰？,15,15,,,,,
我部mac機連唔到學校WiFi,😩,下次我再連唔到再試下 唔該曬你😭,🐚,你要取消自動連接,😩,上3樓就連到🤣,7,17,,,,,
414 taxation 有咩好tutor推介？🙏🏻,👳,Gary教tax 拎a-,🐀,Gary如果仲係用緊佢啲舊notes的話，當中有啲內容可能會不在依家呢個lecturer嘅範圍,🐀,依家呢家新lecturer出卷的話跟女tutor得,5,7,,,,,
邊個major最多靚女？,🍕,我真係不能同意更多😂😂😂😂😂😂😂,🍀,金色頭髮 成個ABC咁,🌿,有咩,20,24,,,,,
Wong wai kun gary 教書得唔得,😅,有料又有heart，仲巧funny吖佢！,😅,👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾,👿,support Ken Yiu,7,10,,,,,
商學院係唔係以後唔洗上堂架？！,👵,係,🤒,你地遲入學？,😯,唔喺全部商學院都week 1 induction week? Week2先上堂咩？,8,7,,,,,
關於cgpa,🀄,利申翻 bba school,🀄,想問下有無人知fail既科會唔會計落cgpa?? Thanks!!,,,,,1,2,,,
有冇人報咗幼教year3仲未有offer?,🐚,仲等唔等好😔,,,,,,,,,,3,1
🌭,😍,認真呢,🐆,你試下4年都係食個d,🌺,JC Club好正啵！,5,6,,,如果帶飯番學⋯⋯,,
🎉,👶,自己估到先好玩😂,👶,呢d都問...,🌭,天外飛仙 我只服一人,10,12,,,奶茶咖啡同天外飛仙 點玩？,,
Sit 堂一問(急問),🐖,Ching係咪year 4架啦，咩科？,🐖,聽人講lecture 無乜用😂tutorial 比較重要，係咪真？,🐖,其實我淨係得第四個week想咁做，星期一同星期四個tutor 係同一個老師黎，同tutor解釋原因，咁會唔會易話圍啲？,2,8,,,,,
返嚟睇戲啦喂！,🙈,想問下邊個搞架？,🐆,📷,,,,,2,2,,,
Gen n203f 從統計學了解健康,🐑,次次唔同 佢有3題可以揀 佢幫你編埋,🍾,想問Essay關於咩?同埋考試要寫essay嗎？,😦,最後排隊出去簽,8,28,,,,,
網上申請locker,🌽,睇次輪,🙉,網上close左application仲有無得apply？,😚,"姐係四人一locker, $50@1",34,60,,,,,
yr4 retake econ a232,👽,依科做past paper啦 一定夠pass,🐤,"信我呢科唔難, 最重要係理解, 切忌死背",🍮,夜晚個喎,7,11,,,,,
有冇讀過Gen141f嘅朋友,🍡,Course name ?,⛄️,想知有冇伏，難唔難讀,,,,,2,2,,,
retake elective 問題,🐡,如果報咗2科又淨係讀1科都要交2科錢,🐡,系你老母 吾你老母,🍣,一定係上黎goop問啦😂😂,4,5,,,,,
求人放CCAA 207CF T01位,🐝,邊有人肯,🐝,冇人會換,😹,T03換T01？？？,2,3,,,,,
有冇興趣開返個OU TG Group？,🐔,有留個ID,,,,,,,,,,3,1
有冇人讀過ENGL A204/ENGL A203F,😉,Hitchcock好似幾好 但唔想做group pj,🍚,我見之前有人話伏科,🍚,同問 A204 選修揀淨,3,6,,,,,
有無人讀過新聞寫作概論,🌮,易唔易讀？有咩功課同有無exam？,,,,,,,,,,2,1
求IB B396F T09,👩,D朋友全部係T09🤦🏻‍♂️,🍑,既然時間一模一樣，咁做咩仲要調？😂,,,,,2,4,,,
Jc Canteen食評,☠,8月尾,🙉,你最近一次食係幾時？,🍣,但啲薯條要好睇好唔好彩 有時會又硬又凍,7,12,,,,,
有無人入唔到去reg科？,😽,thanks,🐭,時間表上面有檢視清單 㩒入去有講邊到上堂,🍊,Fm無知一問 咁姐係去邊到上堂,92,404,,,,,
誠邀各位加入編委會,🙈,"Hello 大家好,呢邊係負責人Natasha🙋🏻‍♀️見到反應咁熱烈,真係好開心,亦都多謝同我地講加油/留言/inbox咗我嘅大家.現時我呢支莊嘅人數已經夠人喇🙈但如果有需要,我哋到時候會再次開post招莊💁🏻‍♀️有興趣加入我哋嘅朋友可以繼續留意goop/fb ou secret😊希望大家繼續支持我哋啦🙇🏻‍♀️",🍠,當然會有公開招募😂😂希望到時大家多多支持🙇🙇,🙃,想幫手做攝影工作，想知會唔會有公開招募？,7,12,,,,,
😻,ouhkon99,佢話今個星期Psyc A324 tutorial 唔洗上,,,,,,,,,今日psycho Vera 打俾我😍,1,1
有冇人讀A211CF古代中國與日常生活？,☺️,我都係,😔,我都係,😡,大家t幾??我t01,10,10,,,,,
🌬,🐁,米8朦豬眼OPPA DAISUKI !!!!!!!!! 永遠內心留一席圍俾你💕,🙈,只要你繼續保持自信的微笑，就算再討厭的人，都不能撃敗你,😑,我愛你,22,28,,,一人一句對意中人/另一半既說話,,
Nursing dean list ceremony,😪,係利申冇去,🍬,其實10月個ceremony係唔係可以唔洗去,,,,,3,2,,,
ou丘比特第一集幾時出,🐳,預告嘅,🐟,出左？,👵,已經唔記得咗,3,4,,,,,
😛,🐛,以前玩過一排私服 不過人少冇以前既感覺,🐛,出現了,🙇,彩虹冒險,8,16,,,一人一個童年回憶online game,,
366 有冇人有清晰既tips?,😛,未溫完😵,😛,我都想問 個日聽到好辛苦,😩,個miss lecture revision 1999咁 啲topics 飛來飛去,1,3,,,,,
🕴,🍲,Bikini啊d(`･∀･)b,🌾,短褲,🎈,所有人都係着suit？,3,5,,,NURS人去dean's list ceremony着咩衫？,,
Cls 我00分入到去 選修全部full 晒？,🍣,必修又點會入唔到??3科叫你揀1科果啲味私調得囉,🌻,但B328F係必修，對方可以轉讀其他科咩？,🍣,你揾個B328F既人而佢又想轉去其他科，叫佢swap去其他科完你再swap去B328F,9,13,,,,,
N200 211 221幾時有t Timetable,😀,上年200好似31號先出,🍆,同問,,,,,3,2,,,
ou part time,😝,記得Yr 1個時有做過ceremony student helper，登入過個system...但之後又入唔到,🕵,好,😝,Wooooooooo~,10,24,,,,,
有無人acct & tax,🐬,冇人讀。。。,🐬,有無人讀呢科？難唔難？有冇gen？,,,,,1,2,,,
想問下Lecture 有冇得swap?,😦,但係一swap就要swap埋tutorial，當然你都可以自己sit想上嗰班,🍩,有,🌸,有科STAT A221F L01，佢重有班L02，想問下有冇得swap？,3,3,,,,,
saba ocamp,🐳,你最後果幾句係想表達啲咩 睇唔明,👲,Nursing都問左學校罷課安排啦啵 商科大嫂呢？可唔可以做下野 問學校兩句阻你幾分鐘姐,👩,9.2大專大罷課呀 希望你地係度講得咁大聲咁關心到時一齊係中銀參與 聚埋牌叫大家一齊罷課覺得啲soc廢既做唔到嘢 大家可以直接去ba個ig (ba_ouhk)留言直接講出意見先 再俾壓力你地所謂既宇宙大soc 咩as bms想學校反應利申：ba之外仲有大把系soc 兄弟爬山 共勉,34,164,,,,,
Nursing Pass 翻101 幾時可以讀211,🙍,佢renew 左個schedule,👽,211得autumn term先有得讀,,,,,3,2,,,
NursingN221&203 tutorial時間表肯出未,🎄,搵到曬嚟緊autumn 2019所有nursing堂上幾點喺邊度上 (唔計lab,🎄,其實可以google ouhk class schedule,🙎,今年有幾多人？,6,15,,,,,
有無人知 GEN科 resit 肥佬會點,👲,不過英文呢科阿sir好好人唔會kill人,😲,冇呀 不過 有小小可惡係指考試叫人温所有課堂內容,👲,畢業*,5,35,,,,,
⛑,💣,約定你,😝,推,😠,📷,7,11,,,92 大罷課,,
（緊急）實習中嘅nursing同學救命,🍝,賤種狗肯出黎講野未?,🍝,死賤種唔敢出黎🙊,🍙,唔好逼人啦，人地由3毛變1毛已經好慘慘豬啦，重要中共無錢過數，人地傷心緊啊🙊🙊,13,46,,,,,
ENGL E200F 難唔難,🍋,明白,🌵,有啲班會跟你係general 同mental分班分組,🍋,Nursing yr2,5,9,,,,,
nursing mental yr3 時間表係點,🤕,3罷之後都要上堂嫁,很醜的帥哥,902 3罷,,,,,2,2,,,
😭,🎅,咁係你叻姐,🐞,難條毛 基本英文通識咁款 背好d引用格式就掂,🎅,可以帶字典,3,8,,,黎緊讀ENGLA101F ，好怕怕,,
請問313f 有冇tips,🍵,🙏🏻🙏🏻🙏🏻🙏🏻感謝巴絲,,,,,,,,,,1,1
要resit但係無曬啲資料溫書點算,😯,感謝感謝,😿,https://ole.ouhk.edu.hk/COURSE1804/gena205bf.nsf,😯,Gen,6,17,,,,,
🍎,😵,祝好,😻,希望LQ救到我,😵,合到格？,18,27,,,208俾埋d好伏Tips🤷🏻‍♂️,,
我想知JC 7/F 發生咩事？,🦄,公大罷課意向調查：https://forms.gle/mddpS3ZrvXz62qKN7,😻,一年比一年差,😻,佢應該係相話假的，不存在的，p圖的。 5毛mode,34,106,,,,,
😽,🍡,Hemio俾tips準不準,😗,師兄 你啱啱開sem?,😵,笑左..,9,6,,,跪求203 tips🙏🏻,,
😽,👵,公大罷課意向調查：https://forms.gle/mddpS3ZrvXz62qKN7,🍧,Dllm,🌰,今年soc界molamola,265,865,,,有冇soc界花生？,,
收購ou source,🍲,Psy source please,😨,Anyone?,🐖,Looking for bba Please pm,7,6,,,,,
求Gen介紹,🎅,古代中國文化與日常生活算唔算好嘅ge course? 係project為主定考試？thanks,😱,基投 要做幾多份功課？ 係individual /group?,😴,基投都唔錯,15,9,,,,,
有冇人見到咁 想上SU,🎅,編委既可以pm我,🌲,有，有人組可pm我,🌯,組緊SU莊 不過大家上之前真係諗清楚自己承唔承受到好似BU P咁比人跟,14,16,,,,,
召集會計既同學仔係823 1230係中環見,👩,好多人呀，快出黎啦,🤑,商科最大喎,,,,,6,9,,,
一陣人鏈啊！,🎍,可以參考呢個統計,🎍,https://www.instagram.com/p/B1f6Q1uFbjt/?igshid=1du676o7v8kbi,🎍,入tg gorup，留意最新狀況,2,8,,,,,
🍢,🌭,Soc活動 罷課集會 搵我吹水活動,🌭,Pm me 利申bba仔,,,,,15,61,點樣識多啲fd,,
9月開學之後,😀,繼續推 想幫手既可以點幫 到底有冇人會組織啊 唔想開學之後發現原來得幾個學生罷課我想組織 但我好細膽唔敢企出黎 所以只可以盡力幫手啊,😶,幫推 我都想知,😀,推,3,4,,,,,
BUS b368f有冇tips啊😭,🍿,伏哂 section b全死,🍐,Section A唔出recommendation😭,😝,Part a 死左,8,20,,,,,
🌲,🌶,靚唔靚grade?,🐦,Thanks,🍑,得兩份assignment 9吹都得,6,6,,,Career decision making 有冇考試？,,
估唔到呢位博士係咁,🙋,唔係 正常大學都會你睇返歐美就知DBA EDD Phd 係同一個級數 只不過兩者擅長同研究方向唔同你望下CityU BU佢地都會,🍵,387個時都是咁，明明冇講過話要每星期交trading record 。結果過咗一，兩星期就老脾氣。全部扣晒分,😬,Karen Wong Ho Yan,16,45,,,,,
想問一個sem係咪要讀4個course,😉,暑sem多數讀既可能係retake人，yr3就intern人，課程趕啲，但有時都易啲，睇邊個教,💣,好似得bba先會開啲spring/autumn term都會有嘅科，其他school唔洗諗😂,🍵,通常開親都是多人讀既course,4,14,,,,,
咩Ge course 好讀？,😣,同問,🙇,Push,🌾,動漫好唔好讀,14,15,,,,,
點解我讀nursing 會計啲人會話讀咩科都可以玩會計？,🍕,花生開心share下,🐂,"咁又抵佢俾人做嘅，唔單止nursing, 總之唔係商科嘅都照收",😝,緊係啦 吾係點r啲靚仔靚女上莊,17,28,,,,,
有無Act B212F 考試tips !!!! 求救!! ,🌜,睇pp.,💀,麻煩大家幫幫手,,,,,3,2,,,
你地上堂前會唔會備課？,🐠,3 分鐘熱誠，但有會好過冇,🌼,上堂前查定唔識既英文字,😗,除非個科教得差，否則好少,7,6,,,,,
200炒粉區,😗,更何況我無,😗,有都唔比啦 🤭,🌴,有冇208tips,3,6,,,,,
🌚,🍊,幾悶，中規中矩，上緊佢教既summer sem,🐎,但係通常Econ/Stat嘅科，上邊一班tutorial都得，唔一定要上返自己Reg左嗰班,🐎,佢新嚟,17,93,,,Notebook喺咪必須品,,
跪求FIN B386F tips,😔,唔該晒ching🙏🏻🙏🏻,🦃,一半都是文字題 （如果是John出）,🦃,"最好睇下Supplementary materials, 對文字題好有用",2,6,,,,,
大家溫完200未？,👺,其餘就希望charlie 做好人賜我地不死,👺,Heart一樣,👺,Respi: 跟佢溫lab見過既野,6,26,,,,,
想知你地點識宜家班frd,👰,上gen坐隔離 傾傾下發現係同yr 同科,🍚,上堂R水吹就識,🍿,reg day識咗就frd落去,20,19,,,,,
B368f 有咩tips??,😐,真咩,🍑,仲有無呀 巴打？,🐰,背熟第3課,3,4,,,,,
睇完啲soc ig story真係得啖笑,⛄️,全香港人都唔應該係空閒嘅時候放鬆吓自己,⛄️,香港而家咁樣,⛄️,岩,11,20,,,,,
想問nursing student,😫,無就下年請早了,😫,Clearing round offer有就有,😬,想問吓今年nursing Fm係咪收曬？有Fd想入但仲係waiting list,6,9,,,,,
有冇FG做銀行？,🌷,ching以前做咩position ?,🍪,做過 quit 埋,🌷,有既話不妨留言吹下水,2,3,,,,,
求求大家818要人,🦁,辛苦哂,🐢,出左啦,😳,係時候出門口啦！,21,23,,,,,
華記消費呀keith喪禮,🍁,Reported,😁,Report!!!!!,🐴,屌佢老母,10,10,,,,,
唔夠credit升year3點算,🍻,"if yr3 sem1 炒左3科， sem2 all pass, 有冇過來人？",😿,我嗰科就60credits 可以打去問,🍻,同問,6,7,,,,,
Fin280邊個tutor好？,🎍,佢同Ryan 邊個好D?,👶,好,🎍,Ngan Yuk Man 好吾好?,9,23,,,,,
Nursing yr 2揀gen 一問,🎉,Summer term先讀，未咁快,🌸,（如題）nursing yr2 係唔係要揀gen，未試過揀所以好困惑要點揀。thx,,,,,2,2,,,
Ou會唔會送免費既office架？,☠,如果你唔想print notes 可以用電腦,🐘,Nursing 上堂會唔會多用電腦？,🐘,Ohh no😭,8,12,,,,,
😁,👮,T05,😶,t22 bm,🐝,T1,21,27,,,BBA 328大家邊班tutorial ?,,
Dllm ou,🐂,SocSc,🐂,我成個tutorial連lecture堂一齊調，顯示有位，最後轉換失敗,😫,其實唔係，不過就成個tutorial 咁swap,8,16,,,,,
Soc界人:大家共勉之,🌷,搶其他商科人都算啦 起碼都係同一個學院 家下nursing都收wo 雖然nur soc食唔曬啫 但點都未論到AS執二攤掛,🌷,呢加就話你知 如果as收番acct人 bms收Management saba收商科 咁點做9佢呀？,🍣,💩聽唔聽到ar,14,37,,,,,
☠,🐪,推,🌝,推,🐙,📷,6,7,,,反對政府取消DSE中文科聆聽及說話卷！,,
大家覺得天文會唔會比人滅,🐖,你吹唔漲吖嘛，不如你諗下如果天文班友轉倒名可以名正言順搞ocamp佢地會唔會搞暗O搏摺soc?,💁,其實ou比soc嘅嘢真係好少，本身個campus已經細，咁多支soc堆埋係7樓做嘢都好辛苦，之後又不停壓榨唔同soc，好多限制。reg day都比較遲，我地reg day個陣人地已經ocamp緊，就算冇大o都唔比撞大o期，搞到啲camp期積住曬,😜,講左咁耐 原來變暗o係因為現莊,22,19,,,,,
Bus b368 邊個tutor唔伏,🍎,Roy Teh 同 Barry Hung都好好,😢,唔該哂😄,🦃,368感覺就似考通識🤣,7,12,,,,,
TC food FYP 想搵人一組,🍥,Hi pm,🐚,仲爭兩個人😹,,,,,2,2,,,
想知有冇人同我同一個ocamp,🐼,我 扮新仔join得5得？,😔,有冇人同我一樣,😔,我報左nursing同羽毛球,2,3,,,,,
想問有冇人執到學生八達通？,🐬,去保安室問,🤒,係4樓電腦室唔見😭,,,,,2,2,,,
👶,🐰,食過一次，個飯底超渣,😲,狗也不屌,🐜,好難食 屌m就都唔屌佢,18,26,,,何廣翠河好食！,,
【英重量級議員 促給港人完整英國國籍】,🐒,【英重量級議員 促給港人完整英國國籍】// 英國下議院外交委員會主席圖根達特（Tom Tugendhat）呼籲，政府應給予香港人完整的英國國籍，作為與北京對峙的一種保障。（法新社）//👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻1分鐘時間幫幫手簽夠10萬個就有機會喺英國國會討論喺香港住嘅tick返Hong KongPostal code 就打0852British National (Overseas) Citizens should be given full British Citizenship.https://petition.parliament.uk/petitions/244402Q&AQ: 簽咗咁多聯署 / 英國佬唔會幫我地 / 英國佬講咗咁耐都冇做過嘢簽嚟都冇用A: 唔洗1分鐘搞掂又冇成本嘅嘢點解唔做咗先 六合彩咁難中你又買夠10萬個就有機會喺英國國會討論今次係有下議會議員帶頭講要俾full citizenship BNO holder10萬人都簽唔到叫人地點幫你啊我地要送子彈啊#kill#🔥⭐️Q: 好多97後都冇BNO 我地唔可以扔低佢地⭐️🔥A: 有BC又有幾多人會即刻走 反而有咗後路可以更盡情咁去抗爭同埋到時大量英國國民喺香港 可以增加英國嘅談判籌碼真係去到最壞情況都可以諗方法帶埋d細路走Q: 佢要tick Only British citizens or UK residents have the right to sign我 得 / 冇BNO簽唔簽得？A: 唔洗verify citizenship 自己諗簽唔簽只要提供 email address + 英文名 ＋選Location + Postal codeQ: Postal code 打咩好？A: 記住喺香港住嘅tick返Hong KongPostal code 成功例子參考852 0852 00000 000000再貼多次條Link:British National (Overseas) Citizens should be given full British Citizenship.https://petition.parliament.uk/petitions/244402,,,,,,,,,,1,1
社科嘅你 大家reg科reg成點,😽,+1 見到有位都唔比reg,😯,ou真係ou,👶,中文系都係咁,4,4,,,,,
b341 b441 b328 咩9都轉唔到！,🍜,328正常係轉唔到，琴日出左email,🌞,係咁架，因為你想簡嘅tutorial唔係for你major嘅人reg,😟,Yup🙄🙄🙄All full😪😪😪😪😪😪Don’t know why statuses are still so fucking green,4,3,,,,,
🐗,🙀,咩料,😑,好難喎 屋企關係差,🍧,入psy soc 送錢比你讀書,11,18,,,其實係咪要好窮先申請到loan?,,
請問點樣Reg科最快！唔想一嗰嗰揾咁揾笨,🌷,9點9開定個網 10點即入🤣🤣,🌷,10點,🍇,我想問幾多點可以開始reg😢,4,5,,,,,
（理性討論）如果公大日後將改名，你有咩好提議？,🐖,香港國立大學,👾,開大+1💩💩💩,🍍,CUClose University,19,19,,,,,
有冇人讀過A203BF 電影大師研究,🐑,Thanks！ 想問下如果冇sense讀呢科會唔會收皮同埋course難度如何,👽,俾Billy教過，本身自己都鍾意睇戲所以讀得幾開心，但係研究嘅戲全部都好文藝好哲學，幾乎冇商業味道，所以唔好expect入去有得睇復仇者呢啲戲。有group project叫你揀一套電影嚟分析，最尾嗰堂lecture有Quiz,🐑,Push,4,4,,,,,
🌝,😚,無啊 淨係得依個list,😎,Elective 科有冇？,😎,完全冇英文？咁應該唔洗reg英文wor,3,9,,,Reg eng邊科好啊,,
🐉,👶,Excon好似唔一定搞?,🍘,唔係冇excon咩佢地,🐘,搞小動作最撚叻係佢地😂,31,36,,,成為大soc好緊要咩？我地莊莊員好想成為大soc,,
請問ou nursoc去咗邊？應該企出黎！,🌿,其實見過好多nursoc嘅老鬼上前線 做到嘅野一定多過你個冷氣軍師,🍷,日後貴會有能力 我諗前線firstaids都需要醫療物資 即使自己冇能力集資(如果做到當然好) 都可以試下叫人捐d醫療物資比你地擺係soc房收集每次示威之前 應該會有唔少去做firstaids站前線既同學問你地拎 個人少少愚見 有能力可以試下,🍷,欣賞你地接納同學意見踏出第一步上莊就係就係要聽好多聲音 包括一啲好唔合理既聲音 但係點做就係你地去做請不要氣餒繼續加油,16,26,,,,,
有關天文學會迎新活動澄清聲明,咁Q麻煩既,係 可以放心🙏🏻,😀,係咪姐係同其他ocamp一樣🤔🤔🤔,咁Q麻煩既,本會在此強調學校賦予天文學會「 暗o 」 的意思是指是次迎新營將不受大學為各學會購買意外保險，而本會已經自費為所有參加本會迎新活動的新生購買保險。故此各位參加者可以放心，一切後果將由本會承擔，參加者將不會受到任何影響。,7,4,,,,,
社服伏唔伏？,😆,一味淨係話伏又無證據🤢想做人哋都做好啲呀,😸,下 今年好fit喎 想踩人都講好啲啊😂,,,,,9,8,,,
☠,🐉,邊個無咁伏🤢,,,,,,,,,有冇year4師兄讀過B396F/B341F?,2,1
其實係咪好少人讀finance😩,🍐,OU Finance 既數唔難,👵,數底唔好，想問d數易唔易搞?驚讀唔到，猶豫緊轉唔轉major...,🍐,"當然啦！以上係上年既assignment, 唔知今年有冇變",4,16,,,,,
OU人，今日機場見,🍷,11/8 警方事件簿：一、射爆女示威者眼球約晚上7點，尖沙咀，警察發射槍械擊中女示威者右眼，女示威者被送往九龍東醫院聯網急症，初步診斷右眼球破裂，眼皮撕裂。二、地鐵站內施放催淚彈約晚上9點，葵芳，防暴警察於港鐵葵芳站閘口施放催淚彈，葵芳站上下層及列車中皆感受到煙霧。三、警察假扮示威者被發現約晚上10點，銅鑼灣，多名警察於穿黑衫、戴豬嘴喬裝成示威人士，並聯同軍裝警拘捕示威者。喬裝警員其後登上旅遊巴離去。四、超近距離連續向人開槍約晚上11點，太古，警察於港鐵太古站內、以大約1米距離向示威者連續開槍，並於扶手電梯上向下追打、推撞示威者。其他：對人平射催淚彈、刻意阻礙記者拍攝、無預警下衝入人群毆打示威者、於制服示威者後繼續向示威者施以武力... etc.,,,,,,,,,,5,1
year 4 psyco 一問,🍈,你地應該有得簡,🍈,Economic growth and development,😭,Econ 329係咩？,4,10,,,,,
🌝,🍖,想知呢科得4個鐘Lecture有啲咩要做🙏🏻,,,,,,,,,CAMD A203BF 廣告製作與出版 讀啲咩？,3,1
垃圾到連 exchange system都冇💔,🎉,其實nursing有冇exchange?,🌸,😂任你up啦咁,🤓,"其實有exchange program ,只不過唔係公開,要gpa唔知過幾多先收到email問你有冇興趣",9,18,,,,,
Gen s201f testing 讀咩,🤔,其實邊個教都冇所謂既 最緊要唔好易肥佬就得😭,🤔,如果背書多就得啦😂我冇讀過chem其實驚會肥佬 唔該曬你！,😘,Sorry有點耐之前 唔係好記得details 😭😭,3,15,,,,,
Nursing Prerequisite,🍰,Fail好多科 /好多次都可能n+1 n+2,😆,師兄/師姐year幾？,😔,Practicum 唔可以fail多於兩次,3,7,,,,,
🦁,🎅,推,🎅,連儂牆真正的自由：你貼我都可以貼中國的自由：你貼我可以撕Ocamp真正的自由：你搞我可以唔報中國的自由：你搞我就屌鳩你、摧毀你明未？,,,,,11,2,唔俾搞ocamp=撕紙狗,,
🤖,🤕,想問109環境與健康難嗎,🐕,印象中好易姐,公大廢青,係,12,14,,,107/109出左quiz分,,
想問下nursing hd,🌭,一邊上堂一邊出實習？,,,,,,,,,,1,1
🌬,🍝,Class search有得睇,🐺,嚟緊year 3要揀1個Language Enhancement Course，請問係咪要自己reg？係咪14/8reg？邊到可以睇到有咩lecturer教？有冇善良俾靚grade既lecturer介紹？感激！,,,,,2,2,求大大教reg英文course,,
OU CLUB 仲播緊CCTVB,duib,📷,🦄,想問下，個部電視應該係OU嘅財產，咁我地係唔係應該問保安攞遙控而唔係問餐廳職員攞呢？同埋可唔可以申請now/有線，總知就唔想睇共媒,🐔,🌚,7,3,,,,,
幾時先有秋季timetable架,🐏,When will post next sem's timetable?,🐕,mc 5/f,🍹,另問有無得睇啲course邊個sem會開,4,4,,,,,
🍃,🌻,Btw我係入唔到a team🤣🤣haha,🌻,但a team應該可以幫你識到好多未來商界人，因為出到去比賽都係同其他U既商科生比賽,🐱,"ys, cheap labor",7,11,,,想知a team係咩嚟？,,
請nursing year2 同學一齊send email,😱,Support!!!,🍟,推!!!🔥,😆,但要留低4個鐘喎 如果想去集會嘅同學可能就去唔到 同埋朝早present嘅同學可能根本趕唔到返去，因為可能會好塞車,11,11,,,,,
⛄️,👽,Gpa 3.5+ plus ielts 7 or above,😕,Nice祝你前程錦繡,🐳,請問係邊兩科,9,11,,,TransU 有冇人可以講下係點,,
