参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
HSBC PB Case comp搵隊友,Pmed,pm,有興趣plz pm🙇🏻‍♂️🙏🏻,1,4,,,,,
PTH真係咁靚grade?,有拼音都好簡單啦，d rules兩隻手內數得曬，名副其實「拼」音,2703係咪主要考口試同聆聽冇乜拼音個啲？🙇🏻‍♀️,,,,1,3,,,
其實好嚮往開sem既生活,然後近midterm開始忙又會想放假,same🤣,其實同你中學小學時候想快啲結束暑假然後開學差唔多,1,10,,,,,
想知FN Szeto可唔可以用電子版書？,I have e copy too,￼me,Fn有英文電子版，不過邊度揾就唔講啦，尊重版權,1,10,,,,,
MKTG2010 waitlist 第7究竟有冇機會reg到,Justin等緊你入，XD,reg who?,MKTG2010 hold起曬啲位依家仲有15個位 我waitlist第7究竟有冇機會enroll到,1,3,,,,,
有冇人知兩個logic course有咩分別,明白😶,所以我估兩個course係一樣,問過department，uged1112可以轉code做phil1310,1,8,,,,,
逸夫賣宿 女,有無男宿有意賣 請pm,我有意買！求宿🙏🏻,求宿,1,29,,,,,
☺️,original 350now 150,,,,,,,有冇人需要ENGE1500 textbook,1,1
Finance多數計？數學lv.4夠唔夠做🤔,數學得lv4唔該去文科少少微積分 你已經收左皮,睇吓邊啲course，我覺得最普通嗰啲2010 3010 3080 數學要求都唔高,讀過兩個finance入門course 其實唔洗數底勁 某部份理論係需要用到微積分去解釋 但係數學唔叻都可以讀到,1,6,,,,,
ugfh andy yu 點？,識寫paper 有自己idea 就靚grade (P.s.sem 2 reg A ),功課麻煩,人幾好,1,4,,,,,
暑sem有冇得reg日文4,好齊全🙊感謝,Btw 我記得有,想知有無開，可以睇上面條link,2,5,,,,,
__,Why no halp la,Why halp la,"Cant ""halp"" your FYP sorry",1,4,,,Halp FYP!!,,
__,pm!,👋,有冇奧地利sem2 exchange 嘅朋友✋🏻,2,4,,,Austria exchange相認區22-23,,
有冇人讀過Fina4380,想Pm問下..,Ching 咩bg?,勁難,1,5,,,,,
大英ho chi ho,好好人 比grade唔算鬆手但都合理,grade靚唔靚？好唔好人？,,,,1,2,,,
NA書通到底讀乜,大推GENA2342 中西音樂文化欣賞 要交一份音樂會報告同埋考final final會翻炒pp 肯背就可以A到 有source出售😄,搭單問有冇人讀過 GENA嘅music cultute？,Thank you so much💓💓,1,21,,,,,
大中(二) Ng Ka Yi,真好人 態度好好,真,我係大中一跟佢 但應該都apply到落大中二 bless you,1,6,,,,,
LEE Yi Shan grade leng?,Whyyy ar,No,,,,1,2,,,
成個大學生涯都online class根本識唔到人,毒撚表示Online好舒服,其實一個人上堂好苦悶,要清零🌞🌞,1,14,,,,,
一路上zoom 堂一路俾男朋友插,又係你條毒撚？,未,小妹真絲,4,134,,,,,
CC五高徵男Roommate,Push,Push,有 男仔入宿時可以揀2-5樓TG再講？,2,5,,,,,
CC調宿 有￼酬 五高調新宿,Pushhh,價錢可議🙏🏻🙏🏻,,,,1,2,,,
Ugec 1271,B here,我得b+ lo,易唔易a range,1,6,,,,,
大中二 Leung Wai Sze leng grade?,大中一係佢 real nice 8半堂後尾9點上 準時落堂 最後A-,超好嘅professor,有冇人一樣嚟緊係 大中二Leung Wai Sze,2,7,,,,,
放fina2001 /rmsc2001 source,Pm,pm,rmsc plz,2,6,,,,,
ierg tutorial 幾時先會出？,ohic 以為仲未出時間嘅話 驚reg一科會撞咗時間,應該話佢地個tutorial係連埋lecture 所以計左入lecture個時間入面 無獨立嘅session,咁點解cusis話to be announced 嘅？,1,6,,,,,
"個個UGFN都for year 1, 2 only，未讀點算",係咪啫係到全世界reg晒先申請？,Thx a lot 🙏,要reg科後去uge個網填表(add course form)但係會變左last priority比你入,1,7,,,,,
__,寫兩篇文,都係寫文,形式 workload係點 感謝～,1,3,,,UGEC婦女史,,
ugeb2650material science好讀？,想知grade靚唔靚 大概做啲咩lec有冇得走堂,,,,,,,,1,1
__,仲有個英國史,但夠hea,一樣的,1,6,,,UGEC香港史,,
Any Comm2930？,Zoom嗰個,Comm2930A伏?,,,,1,9,,,
大中KWONG Tsz Wun點 被pre assigned,Good grading,,,,,,,,1,10
CC調hall ihouse調新宿/何宿/五高 $10000,借位問下🥲華連調五高/五低單人房 價錢可議🙏🏾,借個位問一下😢 出五低單人房，想調新宿，有意pm,咁關你咩事？你咁鍾意ihouse 不如我賣俾你？個宿對你來講咁寶1萬賣俾你。,1,14,,,,,
紫霞 搵女rm👋🏻,Pmmmm!,Hellooo! 如果未搵到rm可以tg我!😁😁 @ricefishball,pushhhhh,1,6,,,,,
UGEB2791求問⚠️⚠️🙏🏻,Pish🙏🏻🙏🏻🙏🏻,請問UGEB2791嘅workload同grade如何？Lecturer係Rebecca 請問佢份人點？萬分感激🙏🏻,,,,1,2,,,
CHLL有冇人想換班🙇🏿‍♀️,有冇人文獻星期三五 我係二四 想調,,,,,,,,3,20
有冇讀過UGEC 2821 嘅師兄姐,Push,想問下 workload大唔大？mid term/ final 嗰啲係點㗎？thank you,,,,2,2,,,
請問有冇人讀過UGEB 2364？🥺,Pushhhhh🙆🏻‍♂️🙇🏻‍♂️,想問下workload大唔大？同埋Grade靚嗎🙇🏻‍♂️,,,,1,2,,,
__,想請問UGEB2791伏唔伏,係咪用中文教🙏🏻,ugec各個歷史course,1,7,,,UGEB/C/D 推薦,,
想問下dean list/head list gpa 點計,要係自己major嘅NA學生入面頭10%,NA係點先有？唔該晒,,,,1,14,,,
__,Push,有無推薦的course thankq,對,1,3,,,請問NA year2係咪要自己reg course,,
COMM 1110 reg邊個好,今sem冇開😢,Most importantly leng grade,上堂有趣 講嘢貼地,1,14,,,,,
22-23 psycho fm 認識！,Pm?,Hi🥹,有冇人都係心理,1,3,,,,,
建議大家 咪撚入中大讀會計,想問PACC讀完有冇exempt部分澳洲試？,返緊份intern隔離啲anf閒閒地都揸住finance以外嘅minor，有啲讀興趣嘅有啲讀quant野，冇意思嘅人生攻擊就免啦好冇？,,,,3,47,,,
comm2590 全球電影好唔好,自問對電影唔算太熟悉請問讀呢科會唔會好難跟?,,,,,,,,1,1
請問swap大英要等幾耐先成功？,我最快一至兩個鐘,,,,,,,,1,1
comm2920/ugec2632媒介、性與暴力,grade方面我覺得佢都係有啲要求嘅 但唔會隨便爛人 正常咁做都會有正常嘅grade,但係有條理嘅,教得正常😂但佢講嘢冇咁起伏唔知你會唔會覺得悶,1,6,,,,,
__,五低 u ok?,文質想轉去cc任何宿，有意pm🙏🏻🙏🏻,same case😢 借個位問下，出五低單人房 想轉新宿。,1,4,,,CC 調宿,,
sem 2 exchange 有冇dean’s list?,冇,sem 1 讀好啲就有,,,,1,5,,,
Ugea2160,想reg wong yiu hong想問workload同grade點,,,,,,,,1,1
Ugea2100,B+…,佢d堂悶到仆街final俾分求撚奇奇,超級唔好gradecu第一次拎b-,1,6,,,,,
ugeb2240 natural wonders伏唔伏,想知伏唔伏 好少comment,,,,,,,,1,1
學思招rm🥲,Pushhhhhhh,Pm,我都係 求pm,1,13,,,,,
Cuhk secrets消失咗？,🥲,唉,https://hk.news.yahoo.com/%E3%80%90%E5%85%AC%E5%8B%99%E5%93%A1-secrets%E7%AE%A1%E7%90%86%E5%93%A1%E8%A2%AB%E6%8D%95%E3%80%91-ha-secrets%E3%80%81-cuhk-secrets%E4%B8%80%E6%97%A5%E5%85%A7%E5%85%88%E5%BE%8C%E9%97%9C%E9%96%89%E5%B0%88%E9%A0%81-140746718.html,3,12,,,,,
GEUC year2/3 core 求問,除左垃圾timeslot之外真係0 workload,你可以0參與 只要出席曬就一定pass佢講到明final report 你有寫就一定pass,之前上過geuc2101 黃幹知除左時間（最早9:15放）其他一切都叫ok,1,17,,,,,
想問吓日文chau Wang yeung好唔好,讀過佢暑sem日文一，上堂輕鬆，佢會講佢自己喺日本留學嘅趣事，仲請我地食佢整嘅包。暑sem會叫人每日寫日記，會用心幫你改(sem1/2可能週記？！佔小小平時分，間中唔寫都ok，無話一定要)我會覺得想無咁chur，但都ok學到嘢可以reg。當然有啲老師會chur嘅同時更學到嘢。grade方面日文好似考試/作文都唔係教嘅老師改。,,,,,,,,1,1
__,可tg?@aduckfall,pm,,,,1,5,招紫霞女roommate,,
有冇UC/Ihouse人收長蛇,女蛇 會準時交蛇費🫡乾淨 唔會亂帶人返房 真係好想有宿瞓😿留低tg我揾你傾！,,,,,,,,1,1
__,https://t.me/heyamicute 我都想搵roomate!! 可以pm傾下!!,幾時有學思招男roommate,可以了解下先!,1,5,,,招知行女roommate! NA,,
ugeb2161,Very light,想知workload點樣,吹水野 文科都讀到 grade好難講 睇運氣🥲peer review高分就leng grade 俾人評衰咗就bye bye,2,9,,,,,
__,ugec1302 Understanding Japanese Culture and Society Through Movies 想知workload大唔大？grade點樣？,,,,,,,ugec1302,2,1
UGEC course一問,2945得返34個位…yr3 reg唔reg到？🥲,1511 有econ底想屈grade都冇想像中輕鬆,Ching可唔可以講多少少本來想reg佢科2241（香港電影）有冇咩建議（利申：男）,2,28,,,,,
Fm 想問下五高點,有冇詳細dd嘅version,幾好冇咩問題😂想去放心去,想知下五高係間點嘅宿,1,3,,,,,
想買shaw宿！！,想買shaw宿，價錢可議,,,,,,,,1,1
收dsme2011 or stat2001 recordin,純for自修唔得閒take🫠要有recording或者zoom link,,,,,,,,1,1
GESC今個sem有邊科好讀?,2150,,,,,,,,1,1
讀到year3想轉科….,嚟緊先yr3仲可以試下trans 唔得咪yr4再諗grad咗讀master/second degree,你係嚟緊yr3定yr4?,Dm,3,14,,,,,
UGEA 一問,Thx 🙏🏻☺️,2236 Siu Kam Wah我係幾堂去一次 一次簽翻前幾堂嘅名… 佢十幾堂用同一張紙簽到,2150,1,7,,,,,
Reg科問嘢常犯錯誤廢文，又好似幾中，笑死,係喎,笑死。如果我係好似佢咁嘅認真撚，咁都要出篇文，應該唔會話自己篇嘢係廢文。dump上嚟係攪屎棍，睇下咁多po/cm比佢辣中咗，有冇人真係會辣興。,too long didn't read,2,13,,,,,
有關日文course一問,明白 thx,是,但係可以同時讀 一+二/三+四？,1,6,,,,,
邊個想讀UGEC3229 GDRSmasculinities,利申另外一個考慮緊嘅course係Ugec2273/cure2022 feminism: thoughts and movement,好奇有咩人想讀呢個course，想知呢個course會唔會比feminism等嘅gender course多啲唔同人報。希望呢個course多啲男仔報，由男性角度睇gender，甚至如果係入門，可以了解下唔熟悉嘅領域就更好。因為一講feminism嘅活動/course，據觀察通常都係女仔多啲。同埋可唔可以講下自己對gender issues有幾深認識🙏想做個小統計,,,,1,2,,,
Fh leng grade professor 推薦🙏🏻,好多人都話佢好正 🤣,"係點係咩意思？咪跟正常模式同用中文上。有啲簡單三題嘅quiz(短答/mc),開波就傾文。試過睇逍遙遊睇到好frus,到一半放棄咗去瞓覺，第二日上堂諗住9up，聽完佢講篇文，我都講得好似有文有路，通咗啲嘢咁。",佢啲堂係點,4,25,,,,,
UGEC1560 一問,你本身有冇讀商科？,冇商科知識會唔會讀得好辛苦,好靚grade A-,1,8,,,,,
NA書通靚grade course？,以前程生教 依家換咗人教知唔知點,文學欣賞 / service learning,Lm,4,10,,,,,
__,就快開學，應該又有一堆獎學金可以申請了✨,push 一 push 想要💰💰,淨係得高GPA嘅話 應該都冇獎學金攞架喇,8,24,,,有冇易攞嘅Scholarship share下,,
__,"有人喺性關組tg group答咗我啦,你入gp睇啦",lm,"Btw我見最後一個""understanding masculinities and social change""係新course，睇course outline覺得幾切合唔同人嘅需要。我之前sit堂觀察到，gender/feminism嘅course都係女仔多好多，所以呢個新course希望各位可以多多支持🙏",1,5,,,想reg Gender相關course，求意見,,
有冇方法可以check到嚟緊個sem會pre assign咩,差在個科係唔係你心水,on9，通常preassign會係reg科前俾你，所以到reg科中間有咁多時間，其實可以reg到...,你唔知major會讀咩？😅,1,4,,,,,
如果讀少過9cred會點,係要申請定佢會自動用學分計學費？,,,,,,,,1,2
揾NA志文樓男roomate,唔YO唔摺,Yr 3，11:30至12：00瞓，住1年,,,,1,7,,,
有冇人讀過ANTH 2720!!,想請問靚grade嗎,Yes,anth2720!,1,4,,,,,
崇基fyp一問,崇基fyp淨係聽過話一組入面同一個faculty最多可以兩個人，咁同系嘅人係咪可以一組？同埋用服務學習計畫替代係咪會比較好？,,,,,,,,2,1
求NA志文樓男roomate,想揾男roomate，可否dm?,,,,,,,,2,1
Uge一問,Logic,請問有無靚grade uge推介🙌🏻,得 我全部free elective都係uge 廢事煩😂,1,5,,,,,
__,我爛咗,好人又靚grade,,,,1,2,UGFH fong sing ha點樣,,
大英個 Jayson Lo 係咪就係呢隻藍尸,https://lihkg.com/thread/1706855,,,,,,,,2,1
招shaw男rm,Push下先,1. 平時都夜訓 至少12點後先會瞓2. 唔會點帶人上嚟3. 可yo可摺,Late application 所以依家先reg rm,1,3,,,,,
__,想問最後大家有無入到SHHO,*擺,Siu4 我第二就攞咗shaw,2,13,,,今年SHHO收non-ju有冇提早通知？,,
伍宜孫fyp揾組mate,Tg ok? tychemc,可以吖 點樣pm你🤣🤣,,,,1,5,,,
__,Pm,Push,夜瞓但絕對唔會嘈到人無不良嗜好🚭識煮飯唔介意帶人屈蛇👌🏻講聲先就得有興趣就tg傾 @ojbklalala,2,3,,,志文女👭招rm,,
有冇人試過book cu啲體育設施？想問點book？,星期日可以執雞 見5個場開晒得兩個有人打,好 thxxx,"Na, uc 都係咁之前有得借拍，但依家疫情關係，冇得借",1,7,,,,,
__,Pm,push,Year 4,1,5,,,NA紫霞女徵roommate,,
ihouse 換五高/低,傾下先？,Hello 華連換I house 有無興？🙈,想換五高/低,1,3,,,,,
求csci4130 sources,Push,可酬 有意pm,Push,1,9,,,,,
__,Maggie,B,B+？,15,,,,eltu2018 professor,,
申請爆Cred,Ok,Pm,Can pm?,1,9,,,,,
紫霞女招rm,Yr4,Ok,,,,1,6,,,
想買Shaw宿,有冇人賣shaw宿？,,,,,,,,1,1
想學投資 Cu有咩course 可以讀下,想知果個william professor 教4110好唔好？ 時間唔岩reg ng 到mok ka ming🥲,"如果你有興趣交易期權4110 會有少少用 (Greeks, Black Scholes Model等) 不過唔建議投資新手玩期權",3080同3010啲野都幾似 但3080偏向理論少少 4110冇讀過,2,22,,,,,
紫霞招roomate,Pm?,Ho,Hihi tg傾？,1,5,,,,,
大英Wong Chun shing 好唔好,唔chur 上sem冇逼開cam/mic 如果係engine大英三我覺得比分都鬆 跟足佢requirement做都有a range,係！,Wilson?,1,4,,,,,
DSME2011 Ko chiu yu,俾佢代課教過workload唔知但係佢嘅approach比較偏向數學嘅理解數底唔得就唔好揀,push,同問,1,4,,,,,
UGEA2100,Chong yun chak,Tse Sai Kit good,諗緊揀Lo Kit Hung定Chong Yun Chak好🙈邊個易靚Grade啲？🙏🏻,1,3,,,,,
有冇人ttb排得好垃圾,2日off🙏🏻,必有一日day off😗,其實天地唔係最垃圾，係d堂密密麻麻，但係要你由山腳上到去山頂先最煩,1,6,,,,,
Fn Yang Jie 好唔好,因為佢hea,好多medicine嘅人去讀,0 內地生,2,11,,,,,
想知周保松仲有冇教？,前中大政政系助理教授李薇在接受大公報訪問中，炮轟周保松和李家翹等人，稱他們就是的鄭棟材樓的毒瘤。李薇談到：「如果你作為年輕的助理教授，你本應該感到高興因為這是一種榮譽，你可以在未來帶領你的學系不斷前進，你就是研究的新力軍，但是我從來沒有享受過這樣的待遇，學系有太多資歷深的教授他們根本不在乎研究，系內常發生矛盾，開始我還試著去阻止，後來他們直接叫我閉嘴，我根本感覺不到自己就是助理教授。」李薇:「在lecture周保松常常痛罵一些年輕助教，這再正常不過了，不過也有職員被激怒的時候，記得在一堂導修課中場休息的時候，周保松上半堂教得很不自在，回到辦公室用酒瓶怒砸一位才進系的助教，當時很多同事都已經無法容忍周保松的所作所為，在加上那些常被他欺辱的同事無法阻止一幕發生了，至少有10人群毆了周保松，你可以想像被10人群毆的滋味，在一旁的李連江更是拍手叫好，不停大喊：『給我打，把他往死裡打！』當時盧永鴻、馬嶽這兩位大佬並沒有參與這次毆鬥，他們也沒有阻止好像一切與他兩無關。」李薇：「當發生那件事情後，周保松的書櫃多了個破酒瓶，我想他是用來防身吧，在2019年反送中運動時周保松正是用這個破酒瓶報復了李連江，在中大保衛戰結束後，全員回到夏鼎基，李連江諷刺性說道：『最受歡迎高級講師，明天我們的funding就要被cut了。』」「李家翹臉色僵硬但並沒有回應什麼，只是默默的走出辦公室，這不像李家翹的性格，果然在李家翹再次回到辦公室的時候手裡握著一根木棍，在李連江毫無防備的情況一棍打下，李連江挨那一下著實不輕，趴在地上痛苦的抬頭才看到是打他那人正是李家翹，不等李連江起身，李家翹又是一頓亂棍爆打，李連江在地上滿地打滾不停求饒，在一旁的周保松可不會放過這樣的機會不斷說道：『Nelson，打狗，用力打，往死裡給我打，打狗怎能少了我。 』」「周保松的破酒瓶終於派上了用場，可惜一瓶下去李連江就昏死了過去，打的興起的李家翹怒了，朝著周保松吼道：『這下還還怎麼打，你該滾一邊去！』周保松也不甘示弱：『你再說一遍，有種你重複一遍！』李家翹沒有再回應周保松什麼，如果周保松手上沒有破酒瓶那麼他們肯定會打起來。當時我身邊的助教Billy嘴裡不停的說：『瘋了，瘋了，都已經瘋了。』」,聽講去左台灣？🧐,Push,1,4,,,,,
紫霞招 男Roommate,Sor第一次用 原來我頭先匿名覆你😂,Hello tg chat ar~~  我覆咗你之後會有火圈,Hi巴打我有興趣 可以點聯絡你呀,1,7,,,,,
有冇人讀過UGEA2190? 🙏🙏,🥹,Nearly 1 mark 1 grade,Summer sem 89 only B+,1,16,,,,,
有冇人讀過stat4001🙏🏻,如果想minor 建唔建議讀呢科？ thanks 🙏🏻🙏🏻🙏🏻,,,,,,,,2,1
求shaw書通推薦🙏🏻,唔係，我之前yr 2都reg到,related courses，可以去exchange之前，send course outline，問下果邊嘅通識部,exchange一學期可唔可以tran 6cre嘅shaw書通？,2,12,,,,,
大家total有幾多exchange scholarship,oal係nominate嘅scholarship?,oal + college,EDB幾時出？,3,8,,,,,
有冇人讀過hist 1000,靚 拎A,好！,fac pac日研/宗研都好讀兩科都A咗,1,7,,,,,
幾時先出pre assign 等到頸都長,未出,出左,你哋出咗未,1,5,,,,,
有無接吻教學,哥哥教你,唔太識 好多口水😶,,,,1,3,,,
升year 2 幾時reg 科,乜鬼 明明得番2個鐘,今日打咗過去 原來聽日早上10點,其實cusis有得check,1,16,,,,,
Ihouse男仔揾Roommate,Pm,pm?,同問 ihouse 想住2人房,1,12,,,,,
__,Pm,pm,Pm,2,43,,,有冇人Sem 1有take ACCT2121?,,
有冇人讀過UGEA2145? 🙇🏻‍♀️🙇🏻‍♀️,想知道：- 講啲咩- workload- midterm / final 形式- 靚唔靚grade 麻煩晒🙇🏻‍♀️,,,,,,,,1,1
崇基調宿 集中帖,幫朋友放五低單人房 想轉新宿 4000可議  佢international student我可以幫你叫下價😂,五低調文質 🙏🏻,五低調何宿/五高 價錢可議🙏,3,10,,,,,
換宿 出五低單人房,幫朋友出22-23年五低單人房想換新宿港幣4000 （可小議）有意pm,,,,,,,,1,1
有冇人知道喺大學站截的士去shaw要幾錢？,我uc又有fyp又要上山,當練下腳骨力囉利申唔止一次白石角行返宿，當keep fit，赤泥坪都已經覺得好小事睇開啲，Shaw書通得兩個，又冇fyp，已經屌打cc 9條街,係唔公平㗎 咁但係我當年唔係揀shaw都已經入左shaw 所以我咪唯有搵方法令冇咁辛苦囉,3,18,,,,,
招stat2005同2011 course material,有stat2005,hi,想要2005,2,8,,,,,
GESC2420 點解冇左。。。,冇咗咪冇咗,,,,,,,,1,2
有冇識solidworks同AI嘅 想一起參加創業比賽,申利係相關的mphil-phd 想了解下係乜project,3D係要做啲咩,目前有grp 有idea缺少3D人才,1,3,,,,,
招ihouse local男rm,差唔多 仲有冇人 男 2人房,有意,Pm,1,8,,,,,
我的人生好似沒有意義￼,有自信少少 唔好加「好似」,想有正常社交生活 有自己興趣🙁,,,,1,2,,,
__,我冇得同你調,Push 有意pm或tg @zglgospudtixit,,,,1,9,NA￼新亞 知行女 求調ihouse🙏🏻,,
想知中醫Jupas Interview有咩問題？,[JS4542]中大中醫面試一問https://lih.kg/3095570- 分享自 LIHKG 討論區,Push!!,大佬們 幫下手🙇🙇🙇,1,3,,,,,
想問吓￼FASS幾時有結果￼,thx ching!! 係咪nominate左但收唔到result即係冇🥵🥵因為我7月中先收到nomination letter,,,,,,,,2,4
cc男仔求調hall,男ihouse想調新宿 想問下仲有冇？求PM,ihouse男想調新宿🙏,應林想調明華🙏🏻,1,20,,,,,
五低換IH ～～,推,五低change IH,薄酬 pm,2,3,,,,,
想揾國宿女roommate,Pm,Pm!,pm!,2,6,,,,,
__,ihouse 345,,,,,,,有冇人賣ihouse 宿 男女皆可🥺🥺🙇🏻‍♀️,1,4
NA女 派到志文🙏🏻🥺求換ihouse,之前冇hall試過frd入入到 不過係朝早,宿工一開頭有晒你地啲樣會spot到個樣唔對嘅人,應該係拍卡嘅 同埋志文好似check得唔算嚴,1,7,,,,,
想搵shaw女仔夾4人房,Pm,Pm,pm!,1,10,,,,,
招女女女女rm Shaw,tg @shawflatmate,Pm,Pm,1,12,,,,,
NA 知行兩男缺一 半yo 有時早瞓,Gay ok?,得閒可吹水/玩都得 要瞓會靜唔阻大家想有個nice rm,,,,1,2,,,
五低想調何宿/五高 有酬,價錢可議 plz pm me🙏🙏,,,,,,,,1,1
想知去exchange報OAL(FASS)個資助大唔大機會有,有冇人係wei lun fdn exchange scholarship 🥹想知出咗result未,好！thank you so much !!!!!,笑死我而家先知我之前set咗做女仔我印象中係人人都得 李嘉誠個仔都得 應該唔關FASS事因為係政府嘅叫reaching out award不過我呢幾日又聽到朋友話佢去之前申請我估係關活動本身個日期事你check清楚,5,24,,,,,
招shaw女rm,Hello pm傾下？,thanksss🙏🏼,pm tg @wantshawhall,1,6,,,,,
CC調宿 五低調I House薄酬￼,pm,如題，五低調I House，有薄酬，tg: Sadsadzzz,,,,1,2,,,
放Shaw女宿,pmed!,@jennywong0102,有興趣嘅可以telegram 我🤣,1,12,,,,,
NA 學思 搵女roommate,pm傾？？🙏🏿,搭單學思想搵roommate~ 不過比較夜瞓嘅🙏TG: https://t.me/kdjfjdfj2022,平時大概11點左右瞓（at most 12點之前）因為睡眠比較sensitive 要熄燈同靜 所以想搵一個差唔多作息時間嘅🙏🏻,2,3,,,,,
有冇人拎到shaw exchange scholarship,哦，明白👌🏻,Shaw 嘅人就可以 join唔使一定係去 shaw exchange program 可以係 oal,點會唔夠 70,1,12,,,,,
cc調宿 Ihouse想調新宿🙏,應林想調明華,男ihouse想調五高 單人房重酬🙌🏻,男ihouse想調新宿/五高🙏,1,11,,,,,
CC調宿,男ihouse想調新宿/五高🙏,Ihouse block1男尋CC友調宿,,,,1,2,,,
☠,五低想換何宿/五高 有酬🙏,有意dm thanks!,,,,1,3,CC五低換何宿 文質,,
急，有冇人試過申請trans law?,見過一個成功例子 但同時聽過cu law冇得trans呢句說話 所以唔知係咪very exceptional case先得,入到紙係肯定嘅，所以唔洗問呢樣嘢。以我對lawfac嘅了解，admin都唔會答呢個問題，只會同我地講「你入紙我地先可以case by case考慮」,"""do you accept internal transfer?""",1,13,,,,,
shaw招女女女女女rm,can ah,個對話dead左line 要再pm?,hi,2,24,,,,,
有冇人唔想拍拖？👌🏻如果係就吹下水了～,因為冇得拍所以話唔想,想同唔想都拍唔到,😻,1,4,,,,,
有冇人拎過demerit？,uc？,我理解係如果你唔再犯畢業通常可以remove,"帶人返hall比人捉到，2個demerit=,=",1,25,,,,,
有冇人in過中文教育？,Rejupas band A放咗中教，今日收到interview 🥹想問下有冇人有in過，知唔知大概會問啲咩？thxxx🙏🏻,,,,,,,,1,1
一人一句蝗語,你唔係中国人嗎？,雞巴,為何不是尼,1,19,,,,,
招shaw男roommate,有意TG：https://t.me/UMarcusKL,,,,,,,,1,1
招shaw女rm,can pm again?,Pm,hi,1,8,,,,,
一齊讀國安法啦喂！,你好,@中大藍友save hk 正呀喂,,,,2,2,,,
有冇人好憎讀public health 嘅人,又係你,十個有九個都係仆街嚟,,,,1,2,,,
有冇人8月尾會喺Girona,Pm,Pm me,我,1,4,,,,,
有冇人用￼back to school優惠唔要airpod,蘋果日報反中亂港,抵制蘋果,放airpod 2,1,13,,,,,
逸夫填preference,ONLY ONE registration for ONE GROUP of Residents (i.e. ONE room) is required.呢句係一間房填一份？,2個都要填,如果搵到人同房係咪只需要是但一個人填確認名單上條link form 寫hall同rmmate preference就可以? 唔使兩個人都填？ Thanks,1,3,,,,,
有冇shaw人一開始list有宿，最終confirm變咗冇,Pm,平放Shaw女宿，價錢可以再傾，有意inbox ！,打完電話都係叫你email搵佢 但email都係冇覆🥹,1,13,,,,,
有冇人覺得med can 終於執柒好開心,俾黃絲曱甴搞到執,中大幾時執,Medcan都收咗皮啦，施主放下屠刀立地成佛呀,2,46,,,,,
誠邀Trans sowk成功人士,想trans sowk嘅同學仔不妨留意下個page，佢地專門幫人master讀sowk，有免費mentorship,https://instagram.com/beentherebeforehk?igshid=YmMyMTA2M2Y=,,,,8,94,,,
下年Year3想搵Shaw 二宿女RM‼️,Pm,.,Pm,1,8,,,,,
KORE3001 choi jinsuk yu sun he,見到Cusis有佢嘅堂Reg,上咗佢5個sem,Choi jinsuk,1,6,,,,,
大家FASS拎到幾多？,啱啱好夠機票,同埋想問下要家庭審批嗰啲會唔會多好多,同問,3,4,,,,,
招Stat2001同2006 course material,hi,ok,薄酬🙏🙏🙏,1,3,,,,,
所有派到Shaw想轉IHouse嘅同學麻煩注意⚠️,退左落cusis,短時間內唔想再打電話比Shaw佢地啲Admin忙到爆曬堡,順便幫我問埋宿費幾時退🫥🫥,2,4,,,,,
想搵湯宿女rm呀🔥,Pm,有興趣pm🥳,,,,1,2,,,
Uc 湯宿招女rmmate,Pm,如題 但不想要悶嘅hall life 不過都會係適當讀書希望搵到夾嘅可以傾到偈嘅🙏Pls pm,,,,2,,,,
派咗hon classification嘅你地入嚟留底咩學系,🤷🏼‍♂️嚟層就唔知 只係個人經驗 作參考,咁點樣從CV判斷一個人有無資格拎first hon?,Both. 如果踩界嘅 faculty可能會問你攞埋cv,2,24,,,,,
有冇人下年sem 2去Austria,我都係sem2去Austria🤣,冇(´･_･`),冇(｀へ´)=3,1,4,,,,,
☠,Lws換ihouse/shho/cc pls pm,Pls PM,,,,1,3,Shaw換iHouse（男）,,
__,希望個位仁兄安息，Amen!,收皮喇屌你老母，乜撚嘢RAP,Rap,7,13,,,新宿果邊咩事咁多消防車?,,
shaw二宿招男roommate,Tg @llightb,Pm🙌,Pm,1,4,,,,,
招lws女roommate🙌🏻,Okieeee,pm先？🤣,想方便上堂,1,13,,,,,
有冇人join過co-op可以分享下,https://coop.cuhk.edu.hk/,咩co-op?曾經嘅山城角樂都係合作社，利申有join,,,,2,2,,,
點樣申請爆cred？,thxx,I used my own template by using Word. doc. Try to plan for the next 2 years / until grad. Previously successful.,thxx,2,9,,,,,
收到exchange financial aid未,你係邊個sem去？兩個都未收到,咁sad....,係咪有一邊就無另一邊…,2,6,,,,,
Wys FYP搵 groupmate,Pm傾！,滿左未？有意 唔freeride會盡力做好,tg pmed,1,12,,,,,
想問下UC FYP會上幾多堂,lm,係咪逢present先要星期五去上？感激🙏🏻🙏🏻,,,,1,2,,,
Year4仲有冇dean list,有,,,,,,,,1,1
Psycho 1st Hon,Cg 3.5x 🙈,Ching cg 幾多🙇‍♂️,Hon g,5,14,,,,,
Logic reg邊個好,She is good,Yes,A +1,1,20,,,,,
