参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
原來仲有一個感情台🫠,你真心癲。一年後再覆。,是。,起身瞓覺？☺,2,18,,,,,
__,maybe join this dc gp to discuss tgt,https://discord.gg/7TCsGQEaE6,can,1,12,,,COMP4651,,
覺得男朋友好勁 自己襯￼佢唔起￼,咁咪識咗個囉🤭,😂,你前個po先話完想要男朋友🤡🤭,2,18,,,,,
收labu2040 source,Pm,Pm,hv labu A range source last sem,3,51,,,,,
收Math2111 source (midterm),Pm,Push,Pm,1,7,,,,,
我放棄曬我人生所有野，我終於全科above mean 啦,gayau,依家發現d人越來越勁，靠勤力開始無用,入grp條件［更新］：1）於https://t.me/fuckuadmin上載任何兩份你有嘅sources2）經完成驗證後，會發放telegram group url3）會員不可免費瀏覽群組內的任何sources,18,27,,,,,
收math2351 source !!,hv,Have sources,有請 pm thanks!,3,,,,,,
收mgmt 2110 Cho ja ee source+tb,Pm,have testbank with ans,Pm,1,5,,,,,
公告⚠️❗️,jm9,係咪蝌大高層。定係細蚊仔嚇鳩人。,jm9,3,6,,,,,
civl3210走曬堂，冇做過功課冇溫過書點部署,兩倍速睇曬第二課開始嘅lecture video咪得lor,聽日mid,唔係無midterm咩？,2,21,,,,,
出價6千，求civl3320 hw2 ans（溫書用）,50萬收,100k 1次,pu sh,1,12,,,,,
收Fei Ding Econ2123 Problem Set,have,收Fei Ding midterm🙌🏻,pm,1,5,,,,,
Math1014 讀唔掂,📷,https://youtu.be/hF2zWnxER10,改做80啦，最後一題20分,2,47,,,,,
ceng 1500 past paper😿 can pa y,pm,hurry！！！！！can pay for the pp,,,,1,2,,,
Oliver Wyman 比賽招隊友,Push,http://www.t.me/fghhjjfghchn,有冇人呀,2,26,,,,,
Acct 4610 source,Pm,Pm,Pm,1,28,,,,,
買comp4651 assignment 2,有嘅pm,,,,,,,,1,1
大家讀咩科？,內外全科副學士,Mbbs,Grading scheme:50% duration 30% difficulty 20% aesthetic,26,61,,,,,
有冇人參加過香港學生實習計劃(內地)？,Which program,🤔想知工作內容係？ 做ppt？,咁即係yr1以上冇價值？,1,11,,,,,
UST有冇雞叫？,21800000,有,Noted,10,,,,,,
Amazzzzingly Bad Prof: Pi Lynn,珍，根本樓豬自己廢,"個 course 好似 mt 同 final 都係全 mc, check 卷真心無咩用",人哋咪話check得好清楚囉…唔通要亂改俾你check卷加十幾分先叫good professor?,2,15,,,,,
Comp 2011 pa1 求救,代做pm,個game咁簡單都唔識做？,代做 pm,1,7,,,,,
Sem中住hall要俾full price?,Thanks guys,計返日數,唔洗,1,7,,,,,
讀咗econ2123 仲可唔可以揀到maec,Then econ2123 becomes CC,Waive exclusion,可以,1,4,,,,,
ISOM 2020 收 final resources,pm,How can I contact u again,Pm,1,12,,,,,
Comp 2211讀唔掂,Damn last year Cecia 有教， 不過明就ok,廢柴,唯一出路:quit,1,34,,,,,
COMP 1021 midterm,int(44100*27*0.75) + 44100*(27-6)/10,27,我一開頭係26秒,1,8,,,,,
科大校歌,Business engineering leading lights~~,https://www.instagram.com/reel/CqKt0IwBm01/?igshid=YmMyMTA2M2Y=,Fountains of knowledge lifts our flight…,1,4,,,,,
曼聯麥麥送，入。,頭毛再長撚狗嘅理念仍然不變。,改變的只是頭頂嗰幾條毛,原來咁就玩咗一年膠。,3,52,,,,,
Ekkachai Fina2303要幾多%先有D或者C-?,mmg,,,,,,,,1,1
comp3711,Have sources,,,,,,,,1,1
__,想知 +1,最好有得 打🎱 🀄️ 🎤,,,,1,2,各位靚仔靚女，有冇咩Party room 推薦？,,
__,改乜撚grading scheme,Yan He 我屌你老母^100,Yen he 我屌你老母³,7,34,,,科大邊個professor最門西？,,
收 ACCT 4610 quiz source,Pm,Pls pm if have,Anyone hv? Pm plssss,2,8,,,,,
平放 1014 source,Pm,Pm,pm,1,8,,,,,
Hkma interview,請問year1升year2有冇機會報到hkma summer intern?,Summer intern,你in咩,4,7,,,,,
收comp4621 midterm source,如題,,,,,,,,1,1
求 isom 2700 mt source,Pm,Pm,pm,2,19,,,,,
畢業袍要自己買？,大概幾錢嫁出去買係同學校既款式一樣？,學校可以租，租完可以帶去其他地方。或者自己出去買。,今年grad🙏 想問下學校係咪會比袍我地？係咪無得帶走去其他地方？,5,3,,,,,
［突發］香港地少人多既問題越來越嚴重,🤡,一諗到呢度，我就覺得好唏噓。啪、啪、啪、啪、啪．．．每一下啪啪聲都好沉重，仿佛係毒撚對我既控訴。,想同大家分享好嘢,2,13,,,,,
求收ELEC/IEDA3180 source/note🙇,1,Pm,Pm 我收,11,,,,,,
hall 廁所有condom,一諗到呢度，我就覺得好唏噓。啪、啪、啪、啪、啪．．．每一下啪啪聲都好沉重，仿佛係毒撚對我既控訴。,📷,嗯，你說的沒錯,1,21,,,,,
Math1014賣source,from 09-20 大部分齊mt+final,Pm,Pm,1,5,,,,,
Phys1101考前取暖區,幾乎睇唔明等收皮👌,,,,,,,,1,1
Mark2120 Amy Quiz,Pm,Pm,你肯定？,2,15,,,,,
mark 3420,hv a range project,同收 pm,同收 pm,1,15,,,,,
求isom3010 sources,Pm,Pm plzzz,,,,1,10,,,
__,主要求Midterm、Final PP，2020年或之前ok如有者請pm,,,,,,,求ELEC 4610 PP,1,1
收acct3610 source,pm,Pm,pm,1,9,,,,,
Huma 2010 pp,Pm if you have,,,,,,,,1,1
收math1014 source,Quit U,Pm,pm plz,1,26,,,,,
chem 3550 lab report,pm,pm,pmed,1,6,,,,,
2022fall exchange圍爐,Any UTokyo?,,,,,,,,14,132
sosc1850 已出mean/sd/highest,智商呢家嘢天生，冇計,今堂引入：智商會唔會影響學業？我得啖笑,唔好淪為資本嘅奴隸,1,9,,,,,
收 COMP3211 past paper,"Have COMP3211 3 years midterms + finals with solutions, pm if need",Have pp,pm,1,4,,,,,
收mgmt2110 kin h chan source,pm,Pm,"I have test bank, e-book & my own notes",2,56,,,,,
SU￼垃圾隊草soc   應否摺埋？,一次都冇着過,你睇而家成街都係嗰件黑色hoodie就知,冇辦法 SU welfare太高質識好多人投/俾錢SU都係因為welfare,1,6,,,,,
放MGMT2110 chan kin hang,Pm,pm,Pm,2,65,,,,,
收chem1030 source,Pm,Pm,"Have CHEM1030 midterm + final with solutions (2019-2021), pm if need",1,7,,,,,
midterm尻叫區，每尻叫｜運氣+10%｜（一定正值）,刷分,刷分,刷分,2,1150,,,,,
收isom3010 source,Pm me plz if hv,,,,,,,,1,1
Lihkg數L圍爐常駐會員大揭秘,,,,,,,,,,
免費放source專區,https://goop.ai/topic/5rF3/%E5%85%8D%E8%B2%BB%E6%94%BEsource%E5%B0%88%E5%8D%80?ref=goopapp,本專區只限各位放免費source，不得有任何收費，如果想賣source，請另行開新po，違者後果自負,,,,1,2,,,
__,上網搵withdrawal of study,唔洗搵 直接填form send比aro,AAAC潛水，我應該搵邊個同佢講我申請quit u？,1,3,,,點申請Quit U？,,
fina3103 aoyagi 一齊做功課,pm,Pm,pm,3,15,,,,,
收math2011 PP,Pm,"Have MATH2011 4 years midterms + finals with solution, pm if need",Pm,1,4,,,,,
水滴魚，你在監獄睡得著嗎,唔緊要 反正證據齊曬,佢唔驚人做鳩佢。,幫推,1,5,,,,,
__,份工我既!,唔好搶我畢業份工！,官網申請 或 親身前往招聘中心,1,9,,,科大7仔缺人！,,
刷分,k,p,i,1,22,,,,,
收sosc 1420 midterm,1,求source,,,,2,2,,,
收Isom 2500同isom 2700 source,pm,Pm,"have isom2700all quizzes with ans, all asm with ans, past exam paper, large question bank included over 20 sets of practices sets all with ans isom2500ebook, 7 sets of mock quizzes and practices with ans, 7 mid term with answers, quiz, all asm with model ans, testbank included all topics (pm me will send you the proof: prof selected q from testbank for exam/quizzes",1,12,,,,,
講每個莊杯人嘅例子,Civil will,SU Brian,Fina 要有,2,12,,,,,
⛑,😢,$20任問保證 100分,,,,1,2,ISOM2020 individual assignment,,
Huma 2050 pp,Pm if you have,,,,,,,,1,1
賤賣econ2123 testbank,pm,pm,"have testbank, textbook ans, asm ans, exam past paper, quizzes questions with ans, practice paper, etc",1,8,,,,,
Isom 2020 收source,Pm,Have isom 2020 source pm,If need pm me,139,,,,,,
求mark3480 source,Anyone have?😢,,,,,,,,1,1
賣FIna 3203 source,直接tg 搵我 https://t.me/PeterLammmmm,,,,,,,,1,1
收 Chem1030 source,Pm me please,,,,,,,,1,1
$100收comp2211 lab4,Pm,"$500放, pm if need",Please pm,1,3,,,,,
收Wang Jing isom 3360 mid term,hv,Pushhhhhh,Pushhhhhh,2,5,,,,,
收sosc 1960 source,Pm,Pm,Pm,1,9,,,,,
isom 3203 source,I have plz pm if need,,,,,,,,1,1
__,hv 21fall source,,,,,,,收sosc2140 source,1,1
math2033捉plagiarism,Academic dishonesty,冇enough evidence ta捉你都冇用,唔使驚la 就算捉你你唔承認佢都冇計,2,9,,,,,
goop更新左之後係咁顯示舊po,定我自己問題，有d完全都已經outdate,,,,,,,,1,1
又到星期二至三，壓力最大的日子,ching應該都係上9點堂吧,星期一先最辛苦,真係慘,1,3,,,,,
收isom 2700 source,pm pls,pm pls,pm,3,44,,,,,
收isom 3360 Jing wang 高價,可幫代做 pm,,,,,,,,1,1
SCIE 1120 Source,pm,Pm,Pm,2,26,,,,,
__,都戇鳩嘅,算啦 ，早日收皮,#曲,13,38,,,其實科大學生會摺咗佢啦,,
收 civil 4430 source,？,如題,,,,1,3,,,
放chem1030 (2020-2022),Also have,Pm,Pm thx🙏🏻,1,13,,,,,
☠,唔算難,唔L識做,,,,1,2,Math 1014啲web work係易定難,,
收econ 2123 ding fei,up,up,up,1,6,,,,,
收fina2303 testbank,hv all chapter with ans and a big tb of previous quiz/exam,I have all chapters with ans,if hv plz pm🙏🏻,1,3,,,,,
放SCIE1120 notes & sample pp,pm,Pm,pm,1,8,,,,,
夾band 爭 vocal bass,需要baas佬,Push,Vocal 和音,1,6,,,,,
買Civl 4760 final,pm,Pm,Pm if you have,1,3,,,,,
(Grad/final year入）大家今個月賺咗幾多錢？,"Not blow water, if you know me in real person i can show u 🥱",Fg 32.5k 年尾有雙糧,每月都讀小學1b,1,14,,,,,
平放Busi + CC e-book & source,"Business Core:ACCT2010 ECON2113 ISOM2500 ISOM2010 (Lab final, mt & final reviews, own notes)MARK2120 (test-bank, ebook + own notes)MGMT2110 (test-bank, ebook + own notes)FINA2303 (quizzes, tutorial notes + ans, mock mt + mock final)ISOM2020 (Quizzes)ISOM2600 (Practice Question for final)CC:PHYS1001 (final, quizzes)CENG1600 (Asm, final exam questions with ans)",,,,,,,,1,1
ELEC3100,Pm,Pm,pm,1,16,,,,,
平放Huma1000b source,平放，pm me,pm,平放,1,36,,,,,
放hall,有意dm,,,,,,,,1,1
收isom2700 testbank,pm,平放solution,,,,2,13,,,
"收mark2120,math1014,phy1003note",click the envelope and pm me thx,Pm,price？and when can I get them？,1,10,,,,,
收 HUMA1000B Quiz Source,I have,pm,Pm again,1,18,,,,,
放huma 1000B source,pm,pm,Have quiz 1 and quiz 2 source with full solution,1,16,,,,,
CIVL3320 hw2 q3求救,過左deadline啦頭,Pm,1000收,1,3,,,,,
收fina3203 midterm source,Pm,Pm,Pm,1,25,,,,,
收econ4274 source,Keep push,Push,Push,1,11,,,,,
__,如題🙏🏻,,,,,,,收Fina 4303 mid term final,1,1
收oces1001 pp,Hello can pm?,Do u have pp,Pm,1,7,,,,,
__,已grad,試過喺噴水池野戰,周圍遊蕩噉女,12,24,,,一人一件可以係科大做既趣事,,
收 acct3020 Source,收 acct3020 Source,,,,,,,,1,1
收ISOM2500 Jason Ho Midterm連Ans,pm,"I have isom2500 Jason Ho A range source, pm if need",有source請pm,1,3,,,,,
求phys 2023 Source,求Phys 2023 Modern Physics Lab A grade sources,,,,,,,,1,1
做code test 做到好氣餒,仲有40-50年,你畢左業後就係做同樣嘅野幾十年,Me cs,1,3,,,,,
收FINA3103 AOYAGI Lecture Video,pm,pm,,,,2,4,,,
代搵chegg 答案 $1/1條,冇,Chatgpt…,"Hi, pm",1,17,,,,,
Acct curriculum DSE bafs ￼教到邊￼,google urself,,,,,,,,1,1
其實Eric真係好慘,真係，有腦都唔會信😅,有冇諗過可能唔系兵😂所有野都系林作單方面描述，無其他人企出黎講過?,,,,1,7,,,
收ISOM2700 ShenYiWen Midterm連答案,出得起幾多？,想要完整一份份midterm pp連ans唔要散開嘅cap圖 thx,,,,1,2,,,
咩Soc inauguration ceremony最值得去,Full member 就可以去,其實可以，只係從來唔會發生,梗係唔係啦 fina member 四百幾500人全部佢仲得了?,1,7,,,,,
收acct 2200 Patrick sources,Pm,pm,I have,1,5,,,,,
__,中大人文精神咁正 人地有係正常,中大表示⋯,垃圾，ust果然係中學，學人玩校歌🤡,1,5,,,官宣！大學校歌發布會要來了！,,
平放MGMT2110 source,Pm,pm,平放,1,4,,,,,
⛑,又唔洗錢,雪到成間hall都係冰,每日瘋狂咁雪,5,14,,,Hall冷氣熱到癲 點算,,
一人一個大家睇goop嘅原因,同學之間互相幫助扶持，近距離欣賞對方,正解，唔膠嘅goop冇人會想睇,派膠減壓,1,3,,,,,
求oces 1001 source,Do u have pp,Do u have pp,Want final,1,5,,,,,
__,期待新聞見到你。,其實你係應該quit life,唔鐘意就叫人quit而家唔鐘意香港又未移民嘅係咪小學雞,8,32,,,科大個goop真係好撚廢,,
收fina1303 source,Pm,Pm,,,,1,18,,,
放sosc1960 MC source,Pm,Pm,Pm,1,138,,,,,
3040 mt,大家一齊估下今年個mean係幾多呀 out of 178 marks,,,,,,,,2,1
math1012 webwork,用最底嗰條公式就搵到,📷,你試下揾f^(-1)'(x)係咩先,2,14,,,,,
刷分,繼續刷,繼續刷,繼續刷,1,161,,,,,
放phys1112 mc,Pm,Pm,Pm,1,18,,,,,
Acct4410 asm1 好撚低分,really cls,,,,,,,,1,1
liba隔離坐咗個靚仔，點部署,話唔定樓豬係男。,十有八九係gay😌,專心溫書啦ching,1,10,,,,,
__,人哋唔想俾毒撚溝,？,🙊🙊🙊,26,64,,,Edu咁多女，我地咁多仔，點解唔搞ball,,
收sust1000 Xiaoming source,pm,pm,Pm,1,12,,,,,
comp2711 recording,Push,ok,Pm,1,4,,,,,
我手字靚唔靚？,Civil dog,靚過mkss啲email,一定靚過你真人,1,4,,,,,
收Sosc1960 source,Pm,Have final source,,,,2,59,,,
其實大家點睇我？￼,Sd me ur J圖 sin,唔識你唔知點睇,打下飛機好過啦,1,12,,,,,
收IEDA 2010 source,Need IEDA2010 source~ dm plz,Hello,Dm plzzz thank u,1,3,,,,,
"平放 LIfs 1902, Chem 1030 source",Pm,Pm,pm,1,7,,,,,
__,因為Eric要溝女,有冇女仔可以評價一下呢個做法？ 係咪真係有效？,2018 po 做咩會推上來,10,16,,,Hall6巨龍哥: 溝女心法Post,,
放mgmt 3120 final,Pm,Pm,Pm,1,4,,,,,
其實搵條水管接去上升左嘅海平面到可唔可以解決乾旱問題￼,一條水管咁細根本冇𠃊用，就好似你放一支飲管係個泳池咁咁要起勁多水管，不過工程勁大 又嘥錢 冇人肯起，就算真係比你吸到水走，點樣運d水去內陸嗰d乾旱地區？同埋海水係鹹水,,,,,,,,2,1
扶青個ig又搞乜？,有假acc sls,呢個先係official,莫非你睇錯profile？@rachkust._concero,2,7,,,,,
收math2011 source,"hv many years pp, need pm me",,,,,,,,1,1
COMP3711 source,pm,Pm,pm,1,3,,,,,
一人一個Ust Year 3長髮男ig,tchisme,ekin_cheng_official,jabezmui,3,12,,,,,
fail左一個requirement course被quit,你嗰陣時係咪求情求到上provost 度？,哇你好勁。🥹,comp啲course我hea讀C range,18,92,,,,,
我一分鐘都冇溫過sosc1850，點部署,裸考A+，靠個腦就得。,…,祼考final B- 喎，上個sem.. 俾心機！,1,21,,,,,
求PHYS 1003 pp source,pm,pm,I have,2,15,,,,,
Gööp取消私聊功能？震驚十萬大學生的事實😱,科大豬王🙈：聯校非牟利組織大學/大專想識人就禁入我哋link睇吓🧝🏻‍♀️link： 屌你老母.com你對科大豬王🙈：聯校非牟利組織 有無意見？我地非牟利但係收手續費你對科大豬王🙈：同埋我地惡過共產黨，我地全部po都關閉留言功能，好lun威水,ggg,,,,10,9,,,
Comp1022P,Cry,可唔可以pm🥲,yes,1,4,,,,,
goop，我愛你，紀念第520個po《遲來的情人節》,😘,下一次1314再紀念❤️,📷,1,3,,,,,
收(Math3424 Xia Dong) Source,同收,Or pm tg @gloryhellback,"有曬4511-14 source, pmed u",1,5,,,,,
代寫LANG1113/1117及對應CORE course,.,.,push,1,5,,,,,
Huma2050 source,Have Source please pm,,,,,,,,1,1
有冇ching俾prof針對,老,你,屌,1,5,,,,,
收phy1112 pastpaper,Pm,pm me,有大量,1,3,,,,,
收ECON4464 source,"同收, push~",thanks！,,,,2,2,,,
收MGMT2110 Ellick Wong source,Pm,pm,Pm,1,8,,,,,
放isom 2500 jason ho test bank,push 有 test bank ➕ hw solutions,要pm 我,,,,2,4,,,
收SCIE1120 source,Pm,pm,,,,1,3,,,
want SCIE1120 source,buy …,sell？,pm,1,4,,,,,
__,有冇人京大？,唔好玩啦 N1可以做翻譯員,Any titech?,2,12,,,有冇人日本2023 fall exchange?,,
收CENG1500實體書,PM🙏,,,,,,,,1,1
我屋企明明有錢，點解我要揀engine來讀,Same,保護環境，出路NGO,evmt 呢啲垃圾major咪輕鬆,3,21,,,,,
Core1403 library session一問,佢話you are expected to pass both quizzes,📷,我s,1,15,,,,,
放Martha MGMT2110 Source,Pm,Pm,想要就PM 我啦,1,3,,,,,
收Acct3210 Source,pm,Pm,Pm,1,27,,,,,
ECON2123 招隊友 L03-04,Push 🥲,,,,,,,,1,1
Comp1021 lab3 firework,不過我weekend先做,🉑️,推,1,5,,,,,
Cathay IT trainee 2023 圍爐,"免費放source, PM",賣source pm,出左offer la,1,8,,,,,
求acct4410 source,Pm,please tick?,Pm,2,16,,,,,
acct 3210,hv testbank with ans,求source,,,,1,2,,,
__,"have mt with ans, gave to someone who took jaee cho’s class, she told me jaee’s paper has many ques same questions as my source",pm,Pm,18,,,,收MGMT2110 Jaee Cho Sources,,
收  Huma 1000A,Pm,,,,,,,,1,1
收oces1030 core1140 source,Hi have OCES1030 2 years pastpaper with Question bank,I have oces1030 pp with A+ answer,Pm,1,17,,,,,
MGMT3110 or 3120,Pm,pm,pm,1,34,,,,,
有冇人知math 2351 有冇 wtsapp group?,I hv,Pm,Pm,1,9,,,,,
Fina2303 Xiong yan點,pm,pm,,,,1,20,,,
收 phys1114 pastpaper,Pm,我買 pm,我買 pm,1,11,,,,,
有冇人可以分享下點樣戒goop,咁小妹都要努力啲刷分,😚,帶比我咁多歡樂,1,13,,,,,
收fina2303 Emilio mt source,1,1,1,1,15,,,,,
我係eric，致林作先生/大哥：,咁好 幫人道歉,玩膠就認真啲啦 得最尾嗰段似樣,道歉就認真啲啦 最尾嗰段係咩事,2,6,,,,,
想頭上有毛，payme N賓$100￼有冇￼得諗,掘起嘅新秀，下個BrooklynWang,有毛正好多。,小妹已經刷到有毛🥳,1,4,,,,,
求lifs4060 lecture notes,Do u still hv the video capture,Do u still hv the notes,Hv4060 lecture ppt+ notes(A range),2,5,,,,,
收econ3123 LeeByoungchan source,Pm,"hv, need pm me",,,,1,2,,,
SOSC 1960 midterm,好難🤯,,,,,,,,2,1
放1850 source! Mc+ans+ notes!,pm,利申 唔係po主,大家可以溫下書,1,7,,,,,
依家連0.6都不比某兄，所有人得以解放,老老實實0.6又真係冇咩野,,,,,,,,1,1
Career Mosaic啲hr姐姐好正,agree,Hand Seng屌打曬pro p所有女,今日恆生嗰個真係fit 笑得好甜,3,31,,,,,
我係eric，我食女關你事😡,我食左邊條女得罪你😡,,,,,,,,2,1
Fina4503,收Fina 4503 source,,,,,,,,1,1
法國科大人總係柒柒地,科大有法國人？,純粹鍾意同人一齊做grp project,我份人咁柒咪啱囉，柒人咁柒course🥹,1,21,,,,,
讀書到唔記得今日情人節，淨係諗起圓周率=3.14,我等分手得,唉，第一年乜lun都冇準備。,,,,1,2,,,
收 Mgmt 2010 Joon source,have A range mt and final source,🙏🏻🙏🏻 pm please,,,,1,2,,,
收MGMT3120 Mid-term source,Pushhh,,,,,,,,1,1
我決定星期二考完test同暗戀對象表白,表白未,我已經溫曬書，先知道原來下堂考。,星期四post都沒了。,3,24,,,,,
有無人讀過Fina4503,Pm,Pm,Pm,1,14,,,,,
收CENG 1500 sources,Pm,PM,放pm,1,73,,,,,
有酬勞，求今日九點鐘CORE1140 IPRS code,200人course都無 frd😢,早16mins問😂,$100我幫你代上都ok,2,6,,,,,
收elec1010 pp 同8分up project,收，pm,,,,,,,,1,1
ECON 3334 wang peng source,pm,Pm,pm,2,9,,,,,
$80放sosc1850 mc source 有需要pm,pm,pm,Pm,1,67,,,,,
拒絕網絡欺凌，尤其是對某個人,同伙記講囉，同我講做乜啫，曱甴,Eric🤭,同佢哋講囉，同我講做乜啫，廢柴,11,116,,,,,
求huma1000B source,I have,"Have HUMA1000B All Lecture quizzes (25 questions) and online workshop quizzes (56 questions in total) with answers, pm if need",Pm,1,17,,,,,
今個sem讀緊math3322請入,交之前有冇人想對下答案😵‍💫😵‍💫,想知以前啲sem係咪都係咁難,網上無答案，email過ta會俾hint,1,13,,,,,
Summer exchange 3rd round,有冇人Vienna,,,,,,,,1,1
有冇人可以比oces1030 iprs code,趕唔切準時到，thankss,,,,,,,,1,1
放2012pa1,平放,Pm,,,,2,2,,,
林作笑鳩科大EMBA真係笑得好啱,《保險迷思》 林作推銷電話，相信大家耐唔耐都會收到三五七個。收得最多既除左銀行計劃同埋財仔借錢以外，就係保險公司嘅cold call同你推銷保險。依家見到每年保險公司越請越多人，食飯果陣又總會有幾個保險朋友同你講下保險點點點重要（又或者係facebook上面散發下正能量，幫到客人有幾開心fighting），究竟保險係咪真係咁值得買呢？咁啱呀媽相熟既經紀想搵我傾保險，好，就去親自瞭解下。大學讀數，所以聽完保險經紀講完之後點都要返屋企自己計下數，睇下咩plan底啲。計落，最底買始終係醫療意外plan。無他，個leverage夠大，平少少嘅幾千蚊一年。可能入一次醫院七八萬咁已經等於你十幾年嘅保費，抵番曬。加上公立醫院使用率長期爆滿，想睇都無得睇。隨時排個專科都要等於1至2年。所以奉勸如果無公司醫療或者意外保嘅話快啲去幫自己整返份。定期人壽？小弟自問工作安全，家中老母又唔使我供養，所以無麥需要。儲蓄人壽？嘩，又要我供咁耐，lock實我啲錢咁多年，仲要利息咁低，擺成10幾20年先double到個數。加上本人要唔知第日生唔生仔，所以都係無麥需要。相信對呢種計劃最感興趣嘅，一定係大陸富商，因為可以合法逃遺產稅（過身後既保險賠償唔洗計稅）。不過，大陸政府都唔傻，之前禁止大陸客用銀聯卡喺香港買保險可能就係想打壓呢種風氣。好啦，最後就係最大名（或者臭名）頂頂既投資相連單。聽左同睇左好耐，連我都唔可以100%明曬。原因無他，太多各種各樣嘅獎賞，收費同埋計算方法。不過，聽左咁耐我大致上可以歸立出兩點。第一，我相信係世界上每一間公司都係想賺錢嘅。所以如果要趕一間保險公司去同其他公司買基金嘅話，我中間一定俾人抽唔少嘅手續費。要玩長線嘅話，咁我點解唔買隻穩定嘅大公司股票收息同埋博間公司會繼續擴張發展。第二，個經紀係咁講話如果一年賺6%或者9%嘅話20年後有幾多錢。大佬，9個%呀！跟住《港股策略王》買都未必得啦，咁點信你呀，睇下今年強積金嘅表現其實已經可以略知一二。老實講，我認為保險業最黃金嘅時期已經過去，隨住保險從業員不斷上升，但香港同埋大陸市場持續收窄。可以咁講保險業已經out啦，咁呢排興麥？搞startup呀！如果真係唔想返朝9晚5 office工，不如試下同班志同道合嘅朋友一齊出去闖下，隨時自己做埋大老闆。就算失敗，得返嚟嘅寶貴經驗如果之後想跳返入其他行業亦都非常適用。,唔撚係話 讀harrow都要出嚟做保險,@hayleelam,12,26,,,,,
其實大家唔好覺得自己好勁。,首先，我根本唔成功,我就係靠父母，你地呢世都吾會追到我，多謝,,,,2,8,,,
老老實實，呢間大學有咩好？,佢揸開板車。,咁點解仲揀科大?🤣,"認真講，讀書風氣好，容易申請overload,夠勁ug就可以做research",2,19,,,,,
收Econ4464 片,push~,pm,Pm,1,3,,,,,
[突發][有圖] 龍翔道彩虹邨對出發生交通意外！,.,唔識比我來啦，on9,路政處係咪讀死書唔識道路設計啊,3,15,,,,,
有無IEDA2010,過左期PM Again,Pm,pm,2,16,,,,,
Anyone have math4514 hw1 ans,Pm,"hv, need pm me",,,,1,2,,,
Isom 3180 一齊做final asm￼,Pm,pm,pm,1,24,,,,,
而家未上莊係咪可以唔上莊,呢個世界係充滿謊言的🥹,大把人溫咗扮冇溫,溫咗都唔會同你講la,1,35,,,,,
放econ 2123 Fei Dang Source,I have too much much cheaper,I have too much cheaper Tg: HGhelpful,"Can tg me (kkkk830) Test bank, problem set, final exam recording",1,3,,,,,
Huma 2050 pp,Pm if you have,,,,,,,,1,1
收 wangpeng econ3334 past paper,pm,無用22spring，已經有了,,,,1,2,,,
__,hall 9 female double roomswap dm,,,,,,,hall 9 female swap TKO,1,1
收huma1920/ core1576 source 🙏,請問有冇人有？🙏🏻,,,,,,,,1,1
huma1000b 幾時quiz？,考功利主義,今日有,今日有嗎,1,3,,,,,
求acct4610 source,Pm,Pm,pm,2,20,,,,,
放ISOM 3770 Assignment Source,"Full mark source, pm if needed",,,,,,,,2,1
ISOM 4750 A+ Project Source,"Have A+ Source, pm if needed",,,,,,,,2,1
math1014hw,anyone,should the graph and equation be like this or somewhere I did wrong😳,📷,2,5,,,,,
收isom2500 textbook test bank,"have isom2500ebook, 7 sets of mock quizzes and practices with ans, 7 mid term with answers, quiz, all asm with model ans, testbank included all topics (pm me will send you the proof: prof selected q from testbank for exam/quizzes",Pm,pm,2,5,,,,,
收Sosc 1300 source,Pm,Pm,Pm,2,8,,,,,
成班傻仔笑MKSS 實際上人哋成功做咗世界上最成功嘅mkt,📷,上屆Eric?,最on9 major:1. Marketing2. Marketing3. Marketing,2,11,,,,,
Scie 1120,pm,Yau mo tg group,Pm,2,7,,,,,
收econ3334 source🥵,pm,Pm,"Have ECON3334 Problem sets, midterms and finals solutions, pm if need",2,15,,,,,
Career Mosaic點準備?,冇用,認真想知其實有咩用 除咗知多啲間公司之外,冇😭,3,7,,,,,
收MGMT 3110 HRM Gongyaping,Pm me please,Pm,Pm,3,13,,,,,
PhyllisLiang 有冇教math 2011 今sem,好似唔見有或者你去 MSC 搵佢幫手 (?),*佢,🙏想搵吓去幫手,2,3,,,,,
收 IEDA2010 功課答案同 PP,Which professor,PM,PM,2,9,,,,,
收isom2500 james sources,收 isom2500 James sources,,,,,,,,2,1
放Fina4423 source,Pm,"Expired, pm again",pm,3,34,,,,,
ACCT4410對答案,ACCT4410對答案,,,,,,,,2,1
收comp3511 source,Pm,pm,pm,2,12,,,,,
Comp4021 招隊友,Pm,pmpm,Pm,3,4,,,,,
科大真係咁危險？,科大同學小心俾竹插爆頭 - Dcardhttps://www.dcard.tw/f/hkmacrelationship/p/241448019,,,,,,,,3,1
收isom3360 assignment source,push,要python titanic prediction嘅solution,有冇人有isom3360 assignment source,2,3,,,,,
Acct2200 Steven嘅大家考成點？￼,主要怕Q1b 同Q3兩條文字題失分🥲,我問咗幾個朋友都唔記得入 唔知有冇一半人入齊,咁又係咁又係,3,19,,,,,
IEDA 3300 HW好撚難,有冇人已經做完HW1 最尾兩條？,,,,,,,,3,1
所有hall都有拍卡機？,一嘟即有樣,有,,,,2,3,,,
徵中三 Physics Tutor,啱啱用永久對話 Send 左Please Check 🙏🏻,冇火圈,你睇chatroom名就見到,2,26,,,,,
