参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
Bear文化已經傳到去HKU,hku傳過嚟,🐻🐻,點解會有bear,2,12,,,,,
放ge1359 source,推,最新exam paper midterm,,,,1,3,,,
轉major 使唔使比DSE 成績,"例如你dse bafs level 2/3, 但係想tran account, 就唔好俾",Dse 低分唔好俾，除非佢問,tran科睇大學gpa唔睇dse啦，你睇高考nds就知😂，我讀緊嘅major上年tran入好多nds,1,8,,,,,
transcript一問,Thank you,係啊,,,,1,7,,,
點解city唔出salary report,睇ust有出,,,,,,,,1,1
2400 midterm點,我都係佢教完全唔識,我都係佢 又係完全唔識,,,,1,16,,,
__,依家可唔可以去,大家完sem幾時走？,想問下大家有冇收到學校email話可以同時讀exchange學校嘅course同late add返city嘅course？？另外，佢份form個度問你會唔會返香港。咁係咪如何我唔返香港，繼續留係台灣，都可以late add city嘅course？？,44,635,,,有冇人sem b 去台灣exchange?,,
Degree work what if 點用🙏🏻,home major加埋先 跟住下邊有個 果度可以加其他major,"想睇下double major有冇爆credit, 但唔識撳+個list搵唔到自己個major🙏🏻🙏🏻",,,,1,2,,,
Double 定Minor,Which stream?,,,,,,,,1,6
Sds exchange scholarship,想問你係咪好高gpa/ full grant 先有？🙏🏻,等下啦,我係上年收到的結果係上年七月七號公佈的,1,12,,,,,
GE2132伏唔伏，依家仲有冇field trip,求購quiz,有,,,,3,5,,,
Trans major,Website already say la wo,想問下personal statement 應該包咩？(商院）thanks 🙏🏻,,,,1,2,,,
問 23-24 sem a master class 幾時出,7月26日,同問,Google,1,3,,,,,
Hall 10/11女 找roommate,💜,,,,,,,,1,1
知唔知Yoyo Peter嚟緊有咩打算￼￼,佢好似今日生日喎,CB?,有溫書的我都冇3.5,4,122,,,,,
CB放source,Pm,全部都有 同放also,同埋AC3202 proj+mid term+pp+asm ans,1,4,,,,,
Anyone UK exchange,Any summer school?,Hi,Same!,3,15,,,,,
GOM,Pm🙏🏻,對,有冇師兄知係咪GOM = BOM ？,1,3,,,,,
Finance 多唔多資源,唔多，finance出路一係睇屋企，一係自己夠chur,Pm,,,,1,7,,,
想問下arro有冇服務係張成績表email send去大學,唔覺有 你直接問arro會好啲,Thanks,,,,1,4,,,
收GE2132 source,pm,pm,Pm,1,11,,,,,
收GE2402 GE2129 sources,GE2402 last sem A rangePm if need,放A source,Pm🙏🏼,2,11,,,,,
interview炒粉該如何自處,-,習慣就好,好想join一個活動但係interview炒左無得去會覺得自己好垃圾 interview表現得唔好無得去自己想去嘅活動如果面對呢種期望落差🥲,2,3,,,,,
☠,🤔🤔🤔,Bear king,係,4,24,,,GE英文有冇人收到ai gen文警告？,,
Trans major,Bear,aims睇or ask major leader,Should include what in email?,1,5,,,,,
Marketing interview,Depends,Havent heard of that ah,Oh,1,7,,,,,
放GE2129,me need source 求pm,Pish,Pm,1,4,,,,,
小心啲人喺到扮賣source呃錢 3,巴打，我留意咗你好耐，你真係好幽默。我自問都算個ok幽默嘅人，但係你幽默感比我真係高十幾二十倍…錯，應該係100倍先啱估唔到我喺呢個post竟然見識到你嘅威力我真係笑到爆咗肚，依家一路打字一路執返啲腸呀內臟呀腎呀，塞返落個肚度。你有冇諗過未來幾個月去紅館開棟篤笑？,bear,Why and who???,12,433,,,,,
Exchange唔夠courses,如果exchange依家淨係pre-reg到3科，要8月先再可以reg科，但係CB要求minimum讀4科，咁洗唔洗同CB講咗先？定係8月飛到去再講？,,,,,,,,2,1
__,Bear security,報security冇用咩,真係要小心 我部cal機喺ac1被人偷咗,1,8,,,小心小偷,,
__,Bear still here,Bear,冇晒bear忽然覺得有啲靜,1,5,,,原來已經無曬啲Bear,,
GE2223￼靚唔靚grade,B-,唔太好？得A,Okay啊A左,1,6,,,,,
sw cgpa cutoff係幾多？🙏🏻,Push,Bear,push🙏🏻,1,6,,,,,
放MA1200 1201sources,有意dm me,"1200有 2023年assignment 1,2,3 ans, sem A midterm, 17-22年 final1201有 2023年assignment 1,2,3 ans, sem A and B midterm, 22年final",,,,1,2,,,
收MA1200 source,Pm,"I hv, past paper , hw sol $30",,,,1,16,,,
CityU Alumni Card,係味有左張卡之後就有番cityu個outlook同OneDrive?,aro申請定要再去圖書館搞,同問,6,18,,,,,
ISA其實讀咩，係咪同accounting D野相似？,真事 都叫做有啲programming,讀BI仲實際,完全兩回事 ISA都係讀啲IT吹水嘢 利申：double major,1,9,,,,,
Shitty 個名真係咁廢？,"因為Shitty教得太多, 學生唔識自己做，出到黎同其他大學比，好明顯。",佢係cfin，日日吹奏city,或者gov,1,30,,,,,
23FG有幾多已經做返自己讀個科？,"Major not matter, skills matter",Finance 唔係好易搵工咩？,讀Finance但覺得好悶 暫時休息中,2,5,,,,,
有冇人summer school去london,Up,Bear,Rabbit school,1,4,,,,,
有冇人做緊MS電話訪問student helper,Bear career,MS人自己識分析,出面大把工$70up,1,17,,,,,
Ge2402 source,巴打，我留意咗你好耐，你真係好幽默。我自問都算個ok幽默嘅人，但係你幽默感比我真係高十幾二十倍…錯，應該係100倍先啱估唔到我喺呢個post竟然見識到你嘅威力我真係笑到爆咗肚，依家一路打字一路執返啲腸呀內臟呀腎呀，塞返落個肚度。你有冇諗過未來幾個月去紅館開棟篤笑？,Bears,Pm,1,6,,,,,
city商務一問,Bear exercise,巴打，我留意咗你好耐，你真係好幽默。我自問都算個ok幽默嘅人，但係你幽默感比我真係高十幾二十倍…錯，應該係100倍先啱估唔到我喺呢個post竟然見識到你嘅威力我真係笑到爆咗肚，依家一路打字一路執返啲腸呀內臟呀腎呀，塞返落個肚度。你有冇諗過未來幾個月去紅館開棟篤笑？,Bear king,1,6,,,,,
__,Bear requirements,巴打，我留意咗你好耐，你真係好幽默。我自問都算個ok幽默嘅人，但係你幽默感比我真係高十幾二十倍…錯，應該係100倍先啱估唔到我喺呢個post竟然見識到你嘅威力我真係笑到爆咗肚，依家一路打字一路執返啲腸呀內臟呀腎呀，塞返落個肚度。你有冇諗過未來幾個月去紅館開棟篤笑？,Bear graduation requirements,1,7,,,喺邊度可以睇自己個科嘅畢業條件？,,
有冇人冇hall 想申請OCA,Bear hall,巴打，我留意咗你好耐，你真係好幽默。我自問都算個ok幽默嘅人，但係你幽默感比我真係高十幾二十倍…錯，應該係100倍先啱估唔到我喺呢個post竟然見識到你嘅威力我真係笑到爆咗肚，依家一路打字一路執返啲腸呀內臟呀腎呀，塞返落個肚度。你有冇諗過未來幾個月去紅館開棟篤笑？,Bear,1,10,,,,,
__,Bear king,巴打，我留意咗你好耐，你真係好幽默。我自問都算個ok幽默嘅人，但係你幽默感比我真係高十幾二十倍…錯，應該係100倍先啱估唔到我喺呢個post竟然見識到你嘅威力我真係笑到爆咗肚，依家一路打字一路執返啲腸呀內臟呀腎呀，塞返落個肚度。你有冇諗過未來幾個月去紅館開棟篤笑？,Bear king,4,14,,,「突發」收到風：Admin星期三開始Ban曬Bear仔,,
2023/24 Sem A 荷蘭exchange,bear,有冇人嚟緊sem A去荷蘭University of Amsterdam?,,,,1,2,,,
想問下如果比人term嘅話一般幾耐會有消息？,Consult bear department,,,,,,,,1,1
想問下second major 幾時reg,Reg bear major,24號,Bear major is good,1,5,,,,,
有冇人知今日喺大堂個火係邊支莊搞？,Bear report,大堂冇人會玩火,大棠 thxx,1,7,,,,,
幾時開始報9月intern,Bear king intern,🐻🐻🐻🐻🐻🐻 Bear intern,You bear,1,10,,,,,
拎first hon難唔難？,Bear king,易過食生菜,You need bears,1,7,,,,,
☠,Then where is bear king,Bear king is everywhere and nowhere,You are a bear,1,4,,,邊個係Bear King?!,,
有無人下年semA Australia exchange,Bear exchange,Bear,Rabbit college,1,11,,,,,
Ped1305喺邊度上堂？,bear zone,LT-BEAR,,,,1,2,,,
☠,Bear king,Rabbit gpa,Bear gpa,1,5,,,今個sem gpa 0咗會唔會俾人term?,,
GE1401 tutor,Bears,收john wong A range source,You have to respect bear king,1,18,,,,,
放 ss2613,Bear?,Pm!!! 係咪mc?,Bear king,1,15,,,,,
Exchange sem b Austria?,Hi. Pm?,Hi changed to other,Hello~ can pm?,3,3,,,,,
有冇人sem a Canada exchange ?,You need to be a bear,請問gpa幾多先入到？,Bear kingdom,1,27,,,,,
其實bear係咩…,Bear is not god,Fuck you,Bear is god,1,11,,,,,
其實咩係bear？,Ok bears,In LT-8,2:30pm,4,23,,,,,
Data science 搵工咁勁？,Bear intern,咁係啲人自己 Chur intern 唔關個科事 😂,Top students are bears,1,8,,,,,
有冇人組團一齊飲城大牛奶😂,Bear tour,Pm,Here,1,19,,,,,
⛑,Bears are all here,Bear king is Mike,Bears rip,7,78,,,Admin有冇得block bear 嗰條弱智仔,,
平放a range source,Up,Up,Up,2,18,,,,,
有冇人黎緊sem A去us exchange?,Bear exchange,Pm?,Bear master,1,7,,,,,
Retake,Bear king,我地都好讨厌佢,Takuya is really so strict,1,9,,,,,
__,Bear hall,Hall 9 成日冇廁所水,hall9爛天台門,29,17,,,[山竹] city 各大學術樓宿舍健全狀況,,
I am bear king my ig btbears,Yes bears hate mirror,Bear bro,.,1,10,,,,,
23/24sem b荷蘭Groningen exchange,Bear assemble!,.,Bear,1,4,,,,,
有冇人放Japanese 1 位。。。有￼酬,Professor Bear is better,今年唔係gunji wo,Bear course,1,5,,,,,
__,Pm,Me,Me!,10,37,,,Sem A Sweden,,
LC0200B嗰grade會唔會寫落transcript度？,之前係3次唔take 會F,有冇official attendance requirement？,想問吓lc0200b唔過80% attendance 會唔會唔比考試？,2,11,,,,,
Major allocation phase one,Bear major approved,係 喺major allocation result嗰度,IS 好似未出,1,7,,,,,
有冇人minor PR & advertising 靚唔靚龜,易,Communicate with bear king,想問埋minor media communication 易唔易攞A range,1,6,,,,,
收1300 1301 reply,Bear notes,收Lecture notes problem sets pp,,,,1,2,,,
想問minor揀marketing 揀唔揀得過？,Bears,4628 4629 4652?🤔,Bear electives,2,16,,,,,
bear夠未成班戇鳩仔,Bear bear bear,Bear,Bear,2,25,,,,,
暑sem繼續一科都搶唔到,Bear,你係 waiting list第一名？🙈,Bear夠未啊on9仔,3,56,,,,,
GE1106￼有冇隊友^^,You need bears,Bear夠未啊on9仔,Bear team,2,3,,,,,
有冇人想讀ge2324 想換科🥹,Ching 放sources?,Bear,其實唔難 mt below mean都A-,1,13,,,,,
有冇人可以放GE1359出黎 tg傾💰,Bear,同問💰係紫衫女仔double,Bear king course,1,6,,,,,
"GE1501 換Area 1,2,3 靚grade科",Bear GE is good,有GE2324,有waiting list ga wor,1,7,,,,,
畢業證書,Bear,係,Apply bear cert,1,9,,,,,
申請scholarship一問,Apply bear scholarship,Thx,要上莊或者其他student leader 或者department 的board,1,4,,,,,
城大牛奶 $9真心貴,Support bear farm,忘記咗初心？支持返本地產業都好呀,普通紙包裝,1,22,,,,,
Cb3800 可唔可以延遲accept offer!!?,Bear offer,reject我見好似冇deadline？尋日啱啱3個收曬，因為都係WhatsApp聯絡，所以就WhatsApp同佢地講自己accept左其他offer,有另一份offer 未？,1,27,,,,,
Elective 問題￼ ￼,Bear electives,係,如果我college elective fail咗 係咪可以讀返其他 只係fail嗰科唔計credit 但計GPA?,1,3,,,,,
有冇拎full grant嘅人入gbsm,Apply bear grant,Gbu都有,Yes,1,21,,,,,
Cb3800 洗唔洗自己reg定自動已經reg左,Bear internship,自己報,Automatic,1,4,,,,,
apply RT,Bear results,有冇人有 second in/result? SRO個網話有可能會有 second in而家 in完一次之後咩消費都無小驚🥵,,,,1,2,,,
Hall return一問,咁仲有冇hall activity嘅分？,照舊行return scheme 唔係計A B分 不過隔一年應該好難successful,Bear hall,1,4,,,,,
想問下今年grad係咪3.50一定肯定有first hon,"普通教授咪唔知College dean, dept head, prog/ major leader會知",純粹之前有教授講過佢哋係唔會睇到學生嘅gpa，因為係私人，得Go先可以睇到,Bear king,4,23,,,,,
cciv,Need bear presentation?,But no bear essay,Need bear presentation,1,8,,,,,
ge1106 vs ge2129,Bear course,"Took both last sem, 2129 less workload and better grade",Bear course is better,1,5,,,,,
drop second major 有咩影響,Becaz they want bear major,有啲hr 見到會問點解,Bear major,1,11,,,,,
Exchange credit transfer,Bear plan,之後佢會出email同你講成唔成功,,,,2,21,,,
Sem b grad係咪即係6月1號後就入唔到學校,Bear,但係8月要返黎攞cert,即係張卡係6月1號到期七月一號前都可以入？,2,14,,,,,
B-可以retake,Bear graduation,😂,Bear program,4,21,,,,,
點睇個科有冇得late drop？,You need to find bear king for help,Bear issues,,,,1,9,,,
爛grade trans major 一問,You need bear king,"ais易tran啲,識人2.8 trans到",Bear major is better,1,11,,,,,
Apply政府intern但唔識填佢張form,Bear form,Bear,Bear,1,16,,,,,
暑sem GE course 一科得3個位？,You need bear education,佢地係一種棲息喺Goop獨有嘅珍禽異獸，只會發出Bear bear bear嘅叫聲，要解讀出佢地想表達嘅意思都頗為複雜，你可能要另尋動物傳心師幫幫手,咩意思？😂,13,,,,,,
有冇人知pass/fail張form點樣交？,Bear form,無錯嗰時係咩科都得但留意日期,🤣,7,9,,,,,
20k閒錢想投資,Bear investment,我食哂20%,NVDA too late,1,8,,,,,
cciv揀林學忠定張為群？,Bear king,Lam also A jor,Professor Bear,2,8,,,,,
CB2300 Notes,fake,???  U never ask for my proof😅,This fake,1,8,,,,,
23/24sem A 有冇人Canada exchange？,有冇人去多倫多？,,,,,,,,1,2
城大張信用卡係咪可以入學校,Bear credit card,,,,,,,,1,1
Beer全部同我出嚟,Bear king,雖然係但總比比反應好，佢地只會更high,封唔哂le,1,10,,,,,
有冇人比人term唔知點算 過來人,Bear,retake dse入三大,Bear king,1,4,,,,,
GE2223,Pm,要source可pm,原來而家咁嚴 summer讀勁爽 最後俾in class先入zoom,1,20,,,,,
聽日25/5 收600 printing quota,Bear,"同倒轉哈哈笑傾掂左, 但係佢唔見咗, 佢再唔出現就揾你thx thx :)",pm,1,7,,,,,
放printing quota,Bear king,Bear quota,Bear,1,9,,,,,
sdsc2102,Use bear model,Appeal🤡,B+好撚廢😭😭,1,6,,,,,
7/8月快閃台灣 有冇人跟？,Bear,Pm,Yup,1,12,,,,,
幾時會有e-cert,Bear cert,比較想知aims幾時會轉alumni,佢會send個qr code比你入,2,18,,,,,
appeal問題,Bear method,thxx,Bear appeal,1,5,,,,,
有冇人知大英cutoff係點,Bear,Bear bear bear,You are a bear,3,19,,,,,
有冇人做過EDB finance intern？,Bear,ho,PM?,1,10,,,,,
有冇人收print quota,Bear printing,樓主幾時喺campus? pm,,,,1,5,,,
gpa升左嘅scholarship,mo,Bear scholarship,,,,3,24,,,
點解city比finance嘅資源可以咁少？,Ask for bear support?,因為要符合返學校廢嘅形象,雖然上限唔差，但city差嘅學生都唔少 median自然比唔上三大神科,5,148,,,,,
GPA god 供奉區🙏,🙏🏻,Thanks gpa god🙏🏽🙏🏽,Thank you gpa god🙏🏻,13,652,,,,,
有冇機tran cfft,識人yr3 transcfft 佢non local爆4,搭單一問senior entry 係咪冇得揀trans gbu/cfft,佢有冇reg MA 同CS course,2,15,,,,,
I am 26 years old,Bear,我都25先bachelor畢業仲要係水泡科宜家想搵份20k工都好難☠️又唔識人問轉行進修☠️,兩年ar,1,14,,,,,
放Is2505 2223 pastpaper,已過期 麻煩入火圈 按右上角 按岩傾🙏🏻,Pm,Pm,1,5,,,,,
浸大高層疑恐嚇學生會成員,Ching 你真膠定假膠？大學生啦😂😂首先段錄音可以cut 頭cut尾，講到天花龍鳳都得啦，外界都唔知bu jm9。再者知道又點？聯名寫信定衝鋒陷陣？你知唔知咩係自由？你要啲咩自由？可以無理屈人、打橫嚟定強迫人跟你果套嘅自由？,完全唔知做過d咩,而家cityu SU = garbage,2,11,,,,,
想問點樣apply tuition fee 減半 ？,算,Grad 算唔算係一個理由 因為都係得翻兩科要讀？,應該唔駛？,4,14,,,,,
每日關注GE2402幾時出grade集中區,Bear grade,起碼過八成先A range,想知cutoff,1,33,,,,,
CB3043 grade,睇投票唔似鬆手,冇實際講分,想知Vincent俾分鬆唔鬆手 定幾kill,2,41,,,,,
GE2129 young psy summer,唯有揀其他🥲,Summer sem area 1 得3科🤦🏻‍♀️,一般，唔係好靚,3,13,,,,,
收IS4650 tech consult pp,好,😂😂,建議Tran 哂所有GBSM core 😂,3,87,,,,,
ge2343 出grade 未？,差唔多一個禮拜都未出,,,,,,,,1,
ee揀咩major好,我覺得3008易過3210,我覺得3008啲數太難,,,,12,,,,
點睇kam soc日本偷鎖匙單嘢,Mk仔😂😂,I like they like,Go ig search,2,22,,,,,
Banl有咩elective 好讀,Bears,On9仔走啦,Banl so many bears,1,8,,,,,
MNE3121咩grade,A+,大家考成點,+1想睇睇,1,5,,,,,
讀ee係咪可以中途轉基,可能因為我識親個d都玩得比較花，成日係度討論落club去蒲。,是咪ching眼角高咋,,,,20,,,,
hall unsuccessful係點?,係點？姐係成功有得住，準備交錢啦,"唉, year1 return唔到hall準備3年搭個幾鐘頭車返學🥲",我都 其實有冇咩原因連waitlist都冇 一unsuccessful就嚟緊幾年到grad都冇得住🤷🏻‍♀️,2,4,,,,,
Hall 放雪櫃 唔洗錢 自己拎走就ok🫶,我唔係好識用 你pm我呀🤣🤣,pm,,,,1,2,,,
有冇讀過MS3124 Global Supply Chain,所以curve應該高,不過呢科唔難,正常,1,11,,,,,
☠,第三次warning 先probation?,就term，but可以求情,對,3,36,,,仲有冇機會求吓情？￼,,
GE2402拎咩grade,up,upup,up,1,6,,,,,
hall appeal,食N手飯 冇人dum出黎你就冇得住,可以執包袱返去瞓啦,想問下有咩原因可以appeal 到， 表示真係好需要住，原本自己個理由應該都申請到，但都想望下要咩程度先可以appeal 到,1,3,,,,,
放抽濕機&2層雪櫃 (hall用),pm,Pm,有意pm,1,3,,,,,
Microsoft ac,冇,Ac,Apply alumni 係味有番個Av,2,7,,,,,
$200 雪櫃 hall 10 宿拾,hall10最firm,聽日後日都可以拎走hall 10優先,,,,1,2,,,
放吹風筒,係,冇人要再搵我 hall交收？,最低$80,1,7,,,,,
極度懷疑冇PIA/AIS人用Goop...,3123 兩個考試夾埋384127就40,介唔介意講下你兩次分別幾多分？,但我都冇點做,6,447,,,,,
仲未出grade可以點,Bear grade,咩course,咩grade,1,4,,,,,
Financial analyst,Multinational company wo,MNC係咩,要計intern 的識人一grad 有一年full time 經驗,1,4,,,,,
Double major 一問,1,又唔係咁講 second major仲高gpa過home major,全部都計，所以勸冇乜嘢特殊情況唔好Double,1,4,,,,,
LC2931 Japanese Level 2,想問有冇人俾Kitagami Akiko 教過？因為暑sem 得佢教，俾分嚴唔嚴？,,,,,,,,1,1
GE2402幾時出,Bearrrrrrr,真 本身我terry 跟住佢幫我轉咗fiona,不過通常都係 reg完先知邊個教,4,104,,,,,
入ifmg bi gpa,但如果要double major fin GPA need to above 3.2,3.3,正常過3就可以,1,4,,,,,
__,招FYP 隊友~~No 紫閃4個area 都可以🙌🙌,,,,,,,BME FYP,1,1
Major elective fail,會,咁如果我retake完有升番，咁我今個sem個gpa會唔會跟住升？,F左個科就要重讀反個科 冇得簡其他replace,2,5,,,,,
點解仲未有summer sem time ticket,Bear ticket,📷,應該有排,1,5,,,,,
有冇得上訴grade 差少少Dean list,Bear list,咁你直接要求dept唔好開你名咪得,利申 科工3.9,4,42,,,,,
點算好似要俾人term,樓主pm?,如果1.7-2.0 就冇事la?,1.7!,3,29,,,,,
Exchange 數據卡 問題,ching where u go,每個地方唔同喎😂,你哋去exchange買咩,1,3,,,,,
EF4314咩grade,推一推,如題,,,,1,2,,,
有冇人已經email左prof 問exam分？,Carbon copy,想問下cc係點解…,想問下問分嘅時候 可唔可以問埋個grade scale？🙏🏻,4,40,,,,,
學校係咪會免費寄張transcript比graduate?,thx 🙏,7月後,,,,1,6,,,
phy1400幾時出grade,太簡單 一定 A+ 等2星期啦,祝各位入到自己想入嘅major,啱啱出咗了,1,5,,,,,
真心想知今年AC4301 佢點計,之前email左佢幾次 佢無覆過😀,我之前問project佢都隔左幾日先覆 所以慢慢等吧😂,咁點算,1,9,,,,,
credit transfer,yes,想問一問係咪non CB major ?,ok thank you,1,16,,,,,
Exchange acceptance letter,"ok, Thank you!!🙏🏻🙏🏻",正路係的,想知係咪學校會幫我哋搞？使唔使自己申請？🙏🏻我係institutional level,1,3,,,,,
cs肯出grade未😭😭,Email啲黑心prof連p/f都唔肯覆😭,快啦屌,Sdsc 點解都未出😮‍💨,2,5,,,,,
CB3410 幾時出grade,Bear finance,Jame A-,可否pm?🙏🏻,1,34,,,,,
放雪櫃,pm,要嘅PM我,pm,1,7,,,,,
__,咁容易都會炒咩,有冇人炒,Mt 低過 mean 10分，quiz 7分，B,4,24,,,AC4303 AFA 出咗Grade,,
有冇人會reg科week照去旅行,之前真係試過喺韓國reg😂,其實可以照上到網呀，不過可能唔穩定,撞正喺飛機上面段時間就幫你唔到,1,16,,,,,
5:00出grade討論區,We need this bear king,走咗啦 問佢都冇用,某啲角度睇真係幾似嗰啲大灰熊,2,68,,,,,
大家咩龜GE2260 intro to fin,咁個prof老實講教得麻麻地😂,睇嚟係我太noob嘅問題🥲,識啲外國人 問個普遍都唔係太識,1,18,,,,,
cs2311幾時出龜,好驚炒🥲🥲🥲,,,,,,,,2,1
CB人 等緊GE2402 !!!!!!,收左工 應該又等聽日,等到好煎熬,出未呀,1,4,,,,,
寫咗email比prof唔覆,我見其他po好似已經覆曬咁,但係通常得唔得,一日,4,9,,,,,
等出grade 等到覺得自己有精神病,冇嘅話就聽日10點,有機會5.9,同問,1,6,,,,,
GE1352,出咗喇,你地有無喺grade display到寫咗：final exam taken in online format？,B+,2,11,,,,,
好驚term,👏🏻👏🏻👏🏻👏🏻👏🏻,係,係咪AFA呢,4,28,,,,,
放GE2311 A range source,Pm,呢一科年年都轉,"冇必要買source, 根本上冇用",1,5,,,,,
讀vba 嘅大家拎咩龜,C🥲,C+,D,1,9,,,,,
Ef3333 咩grade?,You need bear king,Bear你老母,Bear king,2,13,,,,,
幾時還會出分,ge1226幾時出grade?,,,,,,,,1,1
EF4327 大家咩grade,冇諗過會A,A,b-,1,6,,,,,
Lw3902 咩grade - Companies law,B-,咁多人A-🤣,A-,1,16,,,,,
揾roomate，會早瞓嘅，女仔,Pm,12點前訓 都ok,pm,1,9,,,,,
EE出咗,仲要第一日,真係出咗,0,1,5,,,,,
平放hall用雙層雪櫃,平放hall用雙層雪櫃 有意請pm,,,,,,,,1,1
有冇人知incomplete grade幾耐先會出grade,Yes,你九成九係無左summer sem 的ticket,"如果本身final year 6月grad, 可唔可以側側膊讀埋sum sem?",1,7,,,,,
CB2203 grade,A+,Bear grade,B,1,5,,,,,
明天11點再睇,Sleep,Hope fm A,Add oil,2,19,,,,,
⛑,Candy都有,Tommy Wong?,相,1,9,,,特發：阿day男朋友出現係呵10！,,
做intern而defer一個sem,Loreal?,點會咁快,Morgan Stanley ?,1,12,,,,,
Cb2011 出grade,有無咁多F,😩,可以的,1,5,,,,,
cb2400 grade,Bear economics,B+,B+,1,5,,,,,
__,Bear,4822 4331 有B😭😭,3320 4484,3,51,,,EF 醒未,,
Cb3410 幾時出grade,Wait tmr 11:00,6點未放工咩office啲人,冇，就聽日,1,9,,,,,
Pwc case comp組隊,Pm 組,Pm,Pm,1,21,,,,,
招case comp￼隊友‼️,Pm,pm have HKICPA case com experience,Pm,1,8,,,,,
請問summer sem 幾時可以開始reg科？,錫啖,👍,😘😘,2,10,,,,,
cityu master 一問,外國大把,美國,咁我呢個GPA好似都冇乜選擇😂😂,1,7,,,,,
2023B 出龜討論區🔥🔥,會唔會太慢,2.30仲未出,AC肯出未,4,21,,,,,
MA1201 mid term 80 但係C咗,Thx🙏🏻,第一問course instructor 第二問dept,點樣搵到course leader？我搵唔到佢contact 😂,1,21,,,,,
IM咩grade,A-,A-,A-,1,6,,,,,
Ma1503 出咗grade,dllm MA department,C+,,,,1,2,,,
大家出咗幾多科grade？,,,,,,,,,,
突發！,！cb,出grade未啊Dllm😑,,,,1,2,,,
Reg hall結果邊度睇？,Reg bear hall,"Email 話俾你知Aims出咗結果, 之後去Aims睇",Aims 定email？,3,,,,,,
MS偷已跑,Bear king,B+,Same你幾分,2,16,,,,,
__,咁又唔知，係到唔出奇啦🫠淨係知女主IG係_melodydolem_,但我地無人想知😅，講真呢d年中出唔少，洗唔洗個個post你都出嚟追擊下，有咩私怨自己搞掂啦🫠,一路食花生 跟到宜家 睇嚟Ching係hall5人,1,49,,,hall 1 搞唔掂,,
Ao intern offer,Force better,On9,係,1,5,,,,,
全city出grade最快嘅department係？,MA算快,EN,佢跑開馬拉松,2,23,,,,,
學校圖書館有無得scan 野,有,有,如題，thank you!,1,3,,,,,
招聘全職兼職，客戶服務員￼,"招聘客戶服務員底薪+佣金月入可達$10,000-$30,000另加新人獎金$3000起 (視員工表現而定）主要以電話聯絡客戶，了解客戶需求及解答查詢，與客戶建立良好關係。解答及處理查詢電話，提供解決方案無須經驗，提供在職培訓，良好晉升機會返工地點：油尖旺區返工時間：12點~8點，Part-time 可與經理編更夾時間主要要求中三程度，18歲以上，主動積極勤奮，有上進心及責任感，具團隊精神，良好溝通及電話應對技巧，操流利粵語，歡迎應屆DSE畢業生,在讀大學生大專生安排見工 ，有銷售經驗,18-25歲優先考慮歡迎查詢 電話☎️95796742 韋小姐洽https://Wa.me/85295796742/?text=您好有意面試（申請人所提供的資料將絕對保密及只作招聘用途）",,,,,,,,1,1
有事去唔到 放2個畢業禮入場位,Bear bear,Beat,Bear,1,19,,,,,
做咩今個sem degree work好似冇偷跑,Idk,唔知點解bug左開唔到,開到degree work咩,2,4,,,,,
有做Student Helper嘅入嚟傾傾,Ok,sds文康啲staff好好人🤣,想問吓點解嘅？同埋佢大約係做啲咩？,6,69,,,,,
GE2214 final paper,A-,Bear grade,大家份final paper最後咩grade?,1,109,,,,,
year 3搵唔到intern,有用？有咩用,I do bank,88,2,32,,,,,
exchange CB 活動係咪一定要做,有咩活動做,cb要人做夠30個鐘，想請問做唔曬係咪拎唔翻所有funding？,,,,2,2,,,
企業內地與海外暑期實習計劃,Hi,Hi,Pm,2,15,,,,,
差唔多5月16號￼ 大家期唔期待,Exciting,仲有6日,Bear grade,3,39,,,,,
Towngas Internship Interview,Wow,Pm,Pm,1,30,,,,,
MS3127 exam 幾分？,Easy,Consult professor bear,低mean 一分 有機會咩grade？,1,3,,,,,
想考多次dse,lets go！,Take bear exam,每年考吓都好,1,7,,,,,
收11/5門票,Bear,On9,Bear ticket,1,6,,,,,
有冇人知畢業禮停車場入唔入到去?,City,去又一城啦,Hi,1,4,,,,,
__,收一張今日（11/5）guest tickets  請pm,收幾點？,有意收12號星期五guest ticket 一張，pm  🙇🏻‍♂️🙇🏻‍♂️,2,17,,,Commencement 24/5 12.00 pm,,
Exchange!!!,Dm,Dm,Anyone Bergen?,2,23,,,,,
畢業禮其實有咩做？,觀下禮影下相咁囉,真係咩都唔知咁？_？,,,,1,2,,,
commencement 流程,都係趕收工姐 是但,要除戴㗎,應該唔同department唔同做法 跟人就得 有啲departments會握手之後台上單獨影相有啲冇,2,9,,,,,
想問下GE F 左有無得retake?,唔同科就唔得,但同一科可以救到CGPA,可以,3,16,,,,,
要人！反對浸大處分學生會成員之聯署聲明,抵死,點解要反對？,點解要反對？,2,4,,,,,
有冇人都收到Deloitte intern offer🙋‍,請問收到offer 嘅ching 宜家year幾,收到data analysis,有冇收到general audit intern offer🙋‍♀️,1,3,,,,,
chem dept係咪冇人用goop？,講到好似成件事同讀chem有關咁，明顯你自己問題la,就算係商院ge人佢好似你咁諗佢都唔會開la，所以開post同major冇關，明？,你咁諗其實咪代表開唔開post同major冇關lor😅,30,,,,,,
