参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
大家MKTG3026如何,🌭,請問A range 有冇tips🙌🏻🙌🏻🙌🏻,🌭,唔該曬🙏🏻,,,,,1,36,,,
CHIL4035 劉楚華教授,🍮,請問有無人上過佢嘅堂？覺得佢點？🙇🏻‍♀️,,,,,,,,,,1,1
gtsu2016 human rights,🍃,not simon🥺,🐛,邊個教？Simon嘅話好正,🍃,靚唔靚grade 謝謝,1,3,,,,,
Y1文院學生想問吓今年中文系係咪淨係睇cgpa？,🐉,無日日睇書嘅覺悟都係唔好讀，加上中文系嘅科多爛grade，接受到先好reg🥶,🤓,我主要係覺得要睇好多書同論文，所以覺得好chur好辛苦,🤓,同year 4，真係好痛苦每日都好想畢業😂,1,20,,,,,
大英,🍮,Connie唔kill 間唔時走2/3堂都有B+,☺️,Sandra定係Connie kill啲？,,,,,1,2,,,
想問下GTCU2045如何,🌱,有無人讀過呢個course？整體黎講建唔建議reg,,,,,,,,,,2,1
Busi 4006 section1 搵gpmate🙆🏻,🍭,有冇人知wei liqun 教得好唔好,gonjai,Push,gonjai,Push,1,4,,,,,
Busi2035 有04想要01 有酬,🌺,Pm,,,,,,,,,,1,1
有無人放Econ1006,xxxxxxxshh,pushpushpush,,,,,,,,,,1,1
Econ1006 section1 轉section3🙏,hdjwihxeYdh,dm,,,,,,,,,,1,1
問TRAN1005,🐌,😨好，唔該曬！,🙆,"workload唔大但係grade唔靚利申：唔係文科人,B咗🥲",😔,唔會,1,6,,,,,
有無人會去summer exchange？,🙇,我見啲summer exchange去得一個月 好短時間,⛄️,有冇去法國嘅朋友🥹,👻,有無人諗住去UK/Canada？,1,3,,,,,
求大英II section 59🙏🏼🙏🏼,發酵麵包,想要 section 45 / 47,🐄,想要section 67,Tyxov,想要setction62🙏🏻我有section 13,1,5,,,,,
求GTCU 2046書法位,🙉,收GTCU2046 section1,🐳,重酬，我一定要呢個sem讀🥹有意請dm🙏🏻,,,,,1,2,,,
Busi 2035 section4 招隊友,🐁,No free rideAim high Pm,,,,,,,,,,1,1
💩,Joma,13,Joma,Find me🥹🥹🥹,Joma,Tg: uyuy8309,1,5,,,￼￼￼￼ yang2人房想調 cai 2/3人房,,
有冇make up exam仲係冇seat number ?,😠,做咗人哋分卷就好笑😂,🌺,Same here,😕,no seat number,1,3,,,,,
[Hall撚入] 你地平時啲底衫褲會唔會放入洗衣機洗？,🍢,我都唔知 所以先concerned,🍢,都係驚污糟？🤔,👳,問題係你點知人地用洗衣機洗過D咩啊？,1,9,,,,,
有冇人讀過GTCU2056🥺覺得如何,🎅,唔好讀,🦄,drop咗,,,,,1,7,,,
國安法,💂,做左三次，滿分過，每次做個陣mark低D答案，通過compare分數變化，你就知道邊D啱邊D錯，不過有風險，因為每次題目唔係完全一樣,🐭,你喺番正苦角度諗就pass到㗎喇 同埋有以上皆是就填以上皆是🫡,🎃,我都係考第3次先至15/20，政府仲簡單過大學🤭,1,6,,,,,
換UCHL 1037 00002 去00001,lemonades,已換 thanks!!,🐀,換咗未？,lemonades,可pm thanks!!!,1,4,,,,,
有無人可以放busi1006 section1,凍撚死少甜,可以問professor佢會開位,😯,我想畢業🫠🙏,,,,,1,2,,,
GTSC2025搵人組隊,🐶,唔要Free ride🙏🏻,,,,,,,,,,1,1
LLAW3007 Section 6 搵group 急🙏,hdjwihxeYdh,ok,sssssssssszs,絕不freeride,👺,有無人無group🙏🙏,2,3,,,,,
問UCHL1076,☠,請問有冇人讀過哩個course,,,,,,,,,,1,1
UCPN,👲,vivian唔知，但Christopher好多人話佢係killer,🌮,"有無人俾Christopher Young ,Vivian Kit Lo 教過！ 求評價",,,,,1,3,,,
<唔見咗學生證￼>求BU人￼幫幫忙🙏,🙂,Help push,🐽,Push push,🐽,"Hello唔好意思打攪大家，我唔見咗張學生證可唔可以幫我睇睇🙏Year 1 Science 姓林，女尋日9/1 2點半左右 係WLB103門口拎出嚟俾人掃barcode-之後去咗WLB 3,4樓琴日已經報失左，如果有師兄師姐見到可以dm我，麻煩晒🙏",1,3,,,,,
放書法嘢,🐴,想要一套,石上,仲有冇人放想要兩套？,☺️,冇難唔難wo 照畫葫蘆咁姐 😂,4,9,,,,,
想收書法用具有意請PM 🥹 想￼￼徵兩套￼,😘,想要兩套，價錢可以再傾,,,,,,,,,,1,1
有冇人讀HIST3217🫡🫡,🎂,想搵grpmate👋🏻👋🏻,,,,,,,,,,1,1
大家快撚啲reg GTCU2057,😒,週記寫幾句都夠啦，發夢寫幾個再係咁意吹吓都得,🍉,同埋份嘢係最後一個week交，冇人叫你真係跟住個個week寫…,🍉,仲想點,5,22,,,,,
有冇人讀過Gtsu2055？,😯,Workload會唔會好大,,,,,,,,,,1,1
Busi 3006 & busi 3046 邊個教好？,😗,教得好，Grade都唔錯,☺️,想問下甘kong tsz kWan得唔得啊？,🍒,3046brandon ok嘅,2,6,,,,,
🙏,🍣,好似冇人讀過咁🤣🤣,😶,推！,🕴,想知+1,1,6,,,有冇人讀過GEND3005？,,
BUSI 3046 session 1 求session 8,🐣,想問下你係邊個老師啊？kong tsz kWan得唔得啊？,👸,Anyone,,,,,1,2,,,
GTSU 2057 好唔好讀！,🍑,sustainable design thinking 有無人讀過 🦄,,,,,,,,,,1,1
轉section但要instructor approval,👾,唔該晒,唔知點改所以就咁算啦,我係直接email professor,👾,想問吓如果想轉section或者drop科，但要instructor approval既話，我係要填咩form?定係直接email比負責人？上網查過但搵唔到解決方法🤯,1,3,,,,,
有冇人會放GCAP3016/或者其他GCAP?,🍩,如可以幫忙，請pm，非常感謝🙏🙏,,,,,,,,,,1,1
有冇人放busi2035 section1,😙,Up,😙,Hi,KIM0114,有frd有1 pm,1,4,,,,,
有冇人一齊讀GCAP3005 Math Romance,🐚,push,🍥,push,😔,呢科好唔好？,1,4,,,,,
🍄,👽,同問！,😨,同問！google form冇佢🫠,🐸,上過一堂 幾溫柔幾nice,2,4,,,有冇人大英比kathy lee教過?,,
"geog有冇人有Dr Lyu, Xiaopu email",⛑,直接問department啦,🍰,冇呀 我見唔到..,,,,,1,5,,,
"Mr Ho, Tsz Lung killer ?",sleepycat,同問,😞,有冇人俾佢教過🙏thx,,,,,2,2,,,
想問有無邊科普通話係伏,👴,覺得佢好有心教 係麻煩左啲 好似教緊中小學生咁 不過普遍啲普通話老師都係咁 佢要你識就唯有咁麻煩,😡,Cai Chaoqun?,,,,,1,6,,,
求換/放BUSI2035 S3換S5🙏🏻🙏🏻可薄酬,🍡,Pm thx🙌🏻,KIM0114,放S5,🍡,Up,1,5,,,,,
有冇人讀過GTSU2046/ GTSU2037?,🌬,2046唔錯workload可能睇落小多 但其實做落就會好快清完陳天浩係個好人 唔care你走唔走堂最後A grade,2024,可否pm?🙏,,,,,2,13,,,
JPSE1006,👰,雖然同其他U比個內容一定唔同，但一search佢勁多負評好擔心被佢kill😓,🍯,之前sem break畀錢上過佢嘅堂都覺得佢好nice～,🌺,新老師 人幾nice 上堂唔悶,1,4,,,,,
SOSC3005,😒,正常,🐵,請問已經做緊實習，但時間表仲未見到SOSC3005嘅course，係咪正常？Thank you,,,,,1,2,,,
各位yr1大英邊個老師教咩grade👩🏻‍🏫👨🏻‍,👼,John B+ UE2 A-,🐠,david B+,🍘,leo B,1,12,,,,,
有冇人讀過busi1005?,🍳,靚grade?,,,,,,,,,,1,1
求gtcu2046 任何section😢,🐸,薄酬 感激感激！,,,,,,,,,,1,1
求大家放UCHL1046 Section 5🥹🥹🥹🥹,🍐,Final year la🥺🥺🥺 好想reg到尼科 Plzzzzzzzz👀🥹🥹,,,,,,,,,,1,
周耀輝歌詞創作course 咩grade？,🌽,HUMN3025 想問各位讀過嘅人咩grade🙏🏻,,,,,,,,,,1,1
JPSE1007換section,😸,Push,😸,"有JPSE1007 section 4,想換section 3🙏🏻🙏🏻",,,,,2,,,,
無day off 想轉section,Chanyi,有無人可以 BUSI1006 section 1轉 section 3🙇🏻‍♀️,,,,,,,,,,1,1
LLAW3007/BUSI2035,KIM0114,Pmed,醉愛瞓覺,Pm 有LLAW section 1,🍔,LLAW3007 Section4想轉1BUSI2035 Section 5轉4有意pm 撳信封✉️！,1,3,,,,,
賣Biochem F to B+ source,🦂,Biotech B+都唔易,🙉,B+就收返埋😂,🦂,For biotech year 2 或者要retake biochem我靠自己notes由F 去B+ 有意PM,1,3,,,,,
"GTCU2005 Art, Culture好唔好讀",🐆,輕鬆A-,🐄,同問 （冇art底,Hltt,Yessss,1,3,,,,,
想發起一個BU人自強運動 一齊推返BU上去,😷,Hi pm想問下mt嘢,🐍,感覺參加比賽都冇幾個人參加。。。特別bba其實都算需要比賽,🌬,個問題係我哋學校根本啲人就唔知點解好似唔休做咁永遠啲大公司internship 都唔見佢哋所以有時候我哋嗰間好容易就會畀人哋screen走， 唔係嘅話就要我哋呢啲學生畀更大嘅努力，先有機會同人哋喺同一個水平上面鬥,5,38,,,,,
唔係讀art去讀art科做elective係咪好怪,Hltt,VA人 here😂,Hltt,可以，不過va科都好chur 要返去做野,😜,冇咩特別想讀 用free elective讀ge得唔得？本身唔需要再讀ge,1,5,,,,,
hall tu同莊員一齊,🌛,現莊？,😀,我知有個p同evp,🙋,p同莊員啫，我以為係ht同莊員,2,18,,,,,
有冇咩好GCAP科推薦下?🙌🙌,Hopp,3007 must,🍏,你記唔記得邊個教？,,,,,2,13,,,
Gtcu2026好唔好,🌷,yes,,,,,,,,,,1,1
UCHL1035 跑步,🐱,上堂使唔使跑步？🥹,😡,唔會,😒,跑步廢會唔會攞到A？🥺,1,8,,,,,
跪求UCHL1046 session 00005🥹🥹,🍕,Yr4都仲未reg到😭求UCHL1046 session 00005🥹🥹,,,,,,,,,,1,1
大學生銀行戶口應該要有幾多錢？,🐺,同埋有唔少人係為左part time犧牲左gpa，睇你覺得邊樣重要啲,🐺,銀行有十萬其實還好…一百萬再攞出黎講啦,☺️,好多人銀行都有十萬以上,1,5,,,,,
free elective可以reg GE？,🍶,ys,😙,GE已經讀曬，而free elective可以用黎讀GE嗎？course group用free elective揀ge,,,,,1,2,,,
大家gtcu2055 understand dream 點,👷,A-,Zensen,好似真係冇想像中咁伏,🐃,以為會爛 最後佢比A我,1,7,,,,,
有冇人想換下UCPN section,ccccce,有冇人係section01啲🙏,🐤,03 Christopher換01 Venice或26 Venice換01 Venice有意PM🙏🙏,,,,,1,2,,,
求mktg course/ prof 推薦,👶,minor mktg求指教想讀過既course workload 點/ prof 教得好唔好aim A range麻煩曬咁多位🙏🏻🙏🏻,,,,,,,,,,1,1
🀄,🐷,都唔知你拎咩grade 點出俾你啊？,😡,咁應該係因為hon pro,,,,,7,222,Gpa會唔會遲跑,,
你地gpa過唔過3？,🐟,Ad 3.5,😍,bbq真係會sem gpa 4 cgpa keep住3.9幾😂,,,,,1,11,,,
請問hon pro 有冇話要sem1 定2 做？,💩,睇科,🐱,求問🥲,,,,,1,2,,,
🀄,🌽,咁我死得 一定入唔到了,尼采02,冇了，衹睇Gpa，中文系再個別睇埋大中、大英,,,,,1,10,有冇人知gpa喺咪要3.4up先升到中文系🙏？,,
大英好唔好reg Nancy,🍘,教成點？會唔會爛grade?,,,,,,,,,,2,1
換hall,Joma,可摸耳留contact 🙏🏻,Joma,Second round 未出result🥲,😜,Yang 幾？,1,4,,,,,
gfqr 1047 分組!!!,🍫,4到6,Ciiiiii,組隊要幾個人呀？,🍫,section2既朋友望過來!!分組差兩位小朋友,1,3,,,,,
GPA追first hon一問,🙋,你要擔心追完之後仲keep唔keep到好過   升升跌跌未到最後都唔會知,🙋,絕對追到的 first hon只係3.4  差0.1 一個sem都可以追到,🐉,其實係你追到又係咁讀，追唔到又係咁讀，追到咪當驚喜，追唔到咪當正常。,1,7,,,,,
Gcap doxxing,🙈,讀過嘅人可以分享嗎？易唔易明？,,,,,,,,,,1,1
大家Econ1007考成點😢,🤕,同問,,,,,,,,,,1,1
MKTG2005 online exam係唔係唔會show分,🍗,Grade已爛😭,,,,,,,,,,1,1
有冇人知stephen hwang比分如何,🐪,Up,🐪,Push,,,,,1,2,,,
建唔建議PE reg 太極,😖,好謝謝，我係為分🤣,😄,你為分嘅，ok。 你為興趣，就唔建議。利申：A,🐄,Badminton,1,7,,,,,
🙏,🍠,有無人想摺啲？🙌🏻 我想換其他，或者出錢買都得！🥹,🍠,hi！,🍠,hi！,1,13,,,Yang hall 5/F 有無人換？女,,
🙌,🀄,可以試下sit，聽講每年有5%係sit 堂之後求開位R得成,😃,Sit堂係咪都唔會比？,🌛,Year4 想minor 都reg唔到，大哭,1,7,,,非主修HUMN3025難唔難？,,
大家cgpa高咗定低咗￼,🌴,hp sem1 計唔計gpa ?,🐸,出咗咩,,,,,1,2,,,
想Yang2人房層轉Zhou🙏🏻,🍕,你request我plsss thx!,🐼,Dm,🍕,Okk,1,4,,,,,
🌶,🐮,Dm,😡,Dmdm,,,,,1,11,Zhou女2人房想調Yang,,
有LLaw 3007 Pastpaper!!,😮,dm,🍮,Hi,🍮,有有人放sources ?,3,140,,,,,
想問ECON 1007,🍆,易,🍷,想問攞A難嗎，有讀過econ,🍆,不,1,6,,,,,
求放busi2035 section 01,🐂,Pm,,,,,,,,,,1,1
Zhou internation層3-5想換男層任何房型,😴,想問下點check pm,😴,Ok,🍰,Pm,1,4,,,,,
🙋,🙎,如果有興趣嘅人可以pm⬇️,🗿,Kyra如何？,,,,,1,5,有冇人有興趣上BMS莊🙌🏻,,
點解今年GTCU2026咁多位,🐎,pre reg嗰陣冇開,😱,徵隊友lm,🙏,兩個section都好多位，有冇人知why？,1,3,,,,,
NIBC比賽有無人有興趣一齊join！,🍰,有冇人join 今晚deadline,AHL,🥺有d chat expire左 方唔方便pm我繼續講埋落去🥺,🍰,Pm,10,,,,,,
有冇得投訴hon pro instructor,😭,Econ,🍾,咩科,😭,Meeting no show，一味淨係識話自己都唔知咩事，無啦啦俾人assign左做instructor，問親佢又叫我自己諗，屌佢個老母有冇方法投訴佢哋,1,3,,,,,
有人想調hall  求Yang 調去zhou 🥲,🐢,Pm,🍀,Zhou 男層想調去international floor! 有意pm~,😾,Ok,1,8,,,,,
GFQR1045邊個professor好？,🍕,香港人，又幽默，教的幾好,🍕,Sun唔使問,🌛,Sun Pak Kiu 定 Wu Tian 好啲？,1,9,,,,,
幾時出Pre reg results,🐡,其實係用random形式抽 唔會話你year3就有優先,🌹,Year 4都reg 唔到,🐤,出左,3,34,,,,,
Cai換Zhou,😗,"Cai 3人房換zhou, 男",,,,,,,,,,1,1
有冇人讀過busi3025啊？難唔難啊？,🌞,nvm，thx,🙉,睇錯sorry,🌞,3025,1,5,,,,,
學校幾時呈分？,BUShiba,聽個course個lecturer講，31號先呈分,🍟,因事有份文未交，想問下有冇人知依家交仲趕唔趕得切呈分？🙏,,,,,1,2,,,
有冇人知grade cut off ?,🍥,Thx🙏,👾,"睇faculty, 可拉curve, 都可cut off. 一般黎講80/85 = A, 每5分一個grade",🌾,拉curve的 冇固定cut off,3,4,,,,,
收sources A 以上🫣入嚟睇下,🍈,Hi,🍜,想覆service mkt please,🕵,放entre,1,8,,,,,
BIOL2005,🀄,我都唔知原來要上堂😂😂,👰,同學 biol唔係一向自學？,🀄,60幾頁叫少 veronica 100頁起跳,9,,,,,,
收service mkt sources,😍,Pm,🍶,如果exchange 讀既services marketing ，又要唔要？,😍,Pm 傾,1,7,,,,,
Tsang Hing Yu係咪killer?,😖,比分如何？Thx 🙏,,,,,,,,,,1,1
周hall 調南座hall,🐄,Pm,🌮,我係男🥲,🍒,Halo！我係yang想調zhou ， 女,1,3,,,,,
想摺同認真讀書 邊個hall最好,🍯,講多少少,🐳,珍,🙌,想有Hall life唔建議Reg Yang,1,21,,,,,
FINE2005,🤗,有冇人做下好心🙏,🤗,預左retake 🙏🙏🙏想溫定先,🤗,有冇人有留recording 🙏🙏,2,29,,,,,
邊位手足跌咗銀包￼,🤗,📷,,,,,,,,,,1,1
🌝,🙀,Pm,🍾,Pm🙏🏻,alcoholfree,lecture notes + in class ex + take home ex + group project + individual assignment + 2 tests + final paper,1,3,,,放isem3006 sources,,
有醫生紙係咪一定有得補考？,🐆,Push,🐕,Push,myth,同問,1,7,,,,,
代做python/r/programming,🌾,pm,🍭,新：@gvsifneud,🍭,唔好揀@fgbiyrfuu,1,10,,,,,
收 CHEM4047/7890 exam paper,🐘,20/21 or 21/22 pastpaper,🐘,收 CHEM4047/7890 exam paper 有酬,,,,,1,2,,,
收 Math2207 Exam Source,😵,有的話麻煩pm，可薄酬，感激🙏,,,,,,,,,,1,1
Fine4026 fintech Queenie Lee,Amind,佢既教學好存在問題,🍩,仲未drop既真係快啲諗清楚 未讀過嘅完全唔使讀佢 條友完全唔係教野上堂就係播片 跟住問大家想唔想上online cert course 之後當大家都話想 跟住佢就又可以有個藉口唔教書 繼續播片 講真adddrop兩個星期 你就係咁喺度搞分組揀題目講規則 搞足兩個星期 wtf.....,,,,,3,2,,,
🗿,🐢,@😓 見唔見冇人有興趣呀？,🐢,SU soc房係porker聖地？,🐇,SU莊係咪即係露台食煙soc？,2,25,,,有冇人有興趣上SU莊,,
如果交完錢先知住男女層(唔想) 係咪要硬食？,🍨,識人住同一個hall嘅話可以搵佢幫手同Hall tu講,🐻,點樣先可以知道,🍙,男女層有咩問題？,1,3,,,,,
Fine 2005 exam 難？,🍡,Up,🍡,唸緊reg唔reg,,,,,1,2,,,
🌞,990202,Pm,🍦,pm,😱,已回覆🙆🏻‍♀️,31,,,,幫朋友問 新蒲崗嗰邊補習社￼請學生part-time￼,,
死人joyce肯俾我去廁所未？,凍撚死少甜,佢點樣唔俾你去廁所🤣你係咪考bcom,😉,認真 差少少瀨,🙇,"Mhall 考真係on9, 入去前要喺條橋排隊等食西北風,先可以入",1,4,,,,,
收fine 2005 exam source,🐝,Pm,LKHLLLLL,Pm,,,,,1,9,,,
收ECON3076 exam source,🐼,最好連answer🙏,🐼,有冇好心人可以放呢科啲past paper出嚟😢,,,,,1,2,,,
Yang hall想調Zhou hall,🐐,男Yang 想轉zhou,👸,Pm plzzz🥹,🌴,pm,1,12,,,,,
Fine2006推薦嗎？,🍹,Push,🌳,唔知讀緊啲乜,🍹,Fine2006有冇人今個sem 讀緊？ 感覺如何？,1,3,,,,,
有無BU gay member 認識吓?,🙋,有冇trans?,😷,Gary咪撚搞gay啦屌,🐭,Pm,1,20,,,,,
PHYS1005 + CHEM1005,🐄,有冇人知PHYS1005 & CHEM in general 係幾多分 (overall 100) 就有pass？thxxx!!!!,,,,,,,,,,1,1
收fine3006final paper 有酬,⛄️,想要2020/21 past paper,ff252,怎么联系,ff252,pm,3,10,,,,,
想問關於make-exam,myth,Push,😍,Push push,😍,Apply左make-up exam 大概咩時候會安排幾時考返？Language course有聆聽會唔會cut左佢轉其他題目？同埋會唔會扣分定係淨係會難啲？感謝🥺🙏🏻,1,3,,,,,
求Fine3005 past final paper🙇,xxooxx,Pm,timduncan,pm,,,,,2,22,,,
有冇人知exam 大約幾分有B,🍠,Up,🍠,大約就ok,🍠,知道科科唔同,1,3,,,,,
睇完FINE3006啲recording 都係唔明,🙋,佢嗰啲arbitrage opportunity 好難明…,🐢,要睇text book啲題目先知做緊乜，發現佢真係教得好撚差,kkkkkb,今晚lab一齊溫書有冇人,2,5,,,,,
點解我樹做唔到十五樓HT,🐥,仲帶頭搞小圈子,🐇,聽講佢地果班人成日隊草，唔同佢地隊無frd做,🐗,自己屌唔到西就唔俾fm屌,1,7,,,,,
SOCI1005,👺,Sor,👺,其實我鳩up,🍂,thanks🥺,1,5,,,,,
係唔係要make up exam 後先睇到gpa?,🐚,Thx 🙏🙏,🍛,其他科照出 要make-up嘅會hold住,🐚,Thx 🙏,1,3,,,,,
FINE2005 FM求past paper,🐖,Pm,🍨,Pm,👻,FINE2005 FM求past paper希望有埋Ans,1,3,,,,,
一人一個￼分享住hall仆街野￼￼,🐋,點解,😙,真,👸,好似叫羅英X,2,19,,,,,
🌞,😈,Thanks👍,🍋,温書同worksheet，做書exercise就已經好夠，1005唔會好難。利申冇German底攞A，加油！,,,,,1,7,Germ1005德文exam,,
ielts refund,😚,感謝🙏🏻,🕵,你可以email 去你考個間exam centre(British Counil/IDP)問佢地拎official receipt,😚,請問有冇得知申請成唔成功，我冇formal嘅receipt，cap左兩張email upload好驚唔啱標準，等三四個月又會過deadline,2,8,,,,,
放BUSI4005 Exam paper,🐣,Push,🐣,Push,🐣,2021/22 sem 2 sources,1,3,,,,,
REMT3005,哦喔哦喔哦喔,pm,🍕,Pm,🍕,Pm,1,9,,,,,
有冇人識做Math 3805 aaaaaa薄酬,👾,+1,🍿,HW4,,,,,1,2,,,
求MKTG3005 Exam Sources,🍈,Push,🍈,Push,🍈,Push,1,6,,,,,
求MKTG4007 exam sources 🙏,🍝,Push,😼,同求,,,,,1,2,,,
大家做asm/温書加油(⁠ ￣⁠³⁠￣⁠)⁠,😃,🫂🫂🫂🫂,😃,加油！🥺頂埋佢！！,😃,🥺🥺🥺嗚嗚🥺🥺💪🏻💪🏻,1,7,,,,,
平放Exam source FIN2005 (85% 以上）,💩,平放FIN2005 Exam Questions(A sources)有意可pm🙏🏻,,,,,,,,,,1,1
有冇人有讀geog4057,🍺,你地exam幾分？,,,,,,,,,,1,1
有冇人有讀classical western culture,🐧,有啲野想問/ 搵下隊友🙏🏻,,,,,,,,,,1,1
D grade 算唔算pass咗,☠,Thank you very much🙏,😱,會，計0,☠,你好呀 唔好意思想問下f嘅話係咪都會計落gpa嗰度,1,5,,,,,
放GTSU 2036 sources,🙀,dm plz🙏🏻🙏🏻🙏🏻,💀,have too,,,,,3,8,,,
Summer Exchange,🦁,Thank youuu,🐊,一月,🦁,想問下detail大概幾多月有？,3,,,,,,
MKTG3026,🙈,最後嗰part兩題做晒…,🤖,無諗過係背書🙄🙄🙄,,,,,1,2,,,
有冇人都驚llaw3007會炒,😚,open book應該唔會呀嘛,,,,,,,,,,2,1
Comp1005 grade,👰,各位有無souce🙏🏻🙏🏻,🐛,www.processing.org,🍒,好😂,2,18,,,,,
GTSU2027 TAX ESSAY,🌭,收gtsu2027 tax essay assignment,,,,,,,,,,1,1
求MKTG3026 exam sources 🙏,🙍,Up,ggjf,Same,,,,,1,4,,,
收LLAW3007source,🐵,https://t.me/plolpq,😒,pm,🐵,A range source pm,1,3,,,,,
收FINE3006 final,online,up,online,up,online,up,2,3,,,,,
BUSI 2045,DD0114,Pm,🐅,Pm,🌳,Pm!!,1,40,,,,,
🐰,🐧,dm！,dlenckend,me！,🐧,有冇人Kingston🥹🥹,2,51,,,￼有冇人22-23 Exchange Sem2去UK🇬🇧,,
有冇人一齊摺Libra溫書,🌸,Hist pm pm pm🫡,acccccccc,pmpm,👾,Bba marketing pm✋🏻✋🏻,1,3,,,,,
Biol2005,😀,第一位prof 之前係咪話有exam revision paper 好似冇左聲氣甘 依家更驚！ 好多野背 🥲,,,,,,,,,,1,1
Hist3117 exam,🍃,想知考咩就參透佢最後嘅summary,🍃,上年經驗係冇考嘅,🐖,想問吓租借新界呢課，lecturer最後嗰堂有冇話重要？,1,3,,,,,
有冇人有上年mktg3026 final 薄酬,🐖,Dm thx!,💃,Dm pls🙏🏻,💃,Dm pls🙏🏻,1,12,,,,,
收Math1005 Math1205 past paper,🐕,https://t.me/kkksd173,990202,Pm,🐕,唔好意思啊冇睇到要pm多一次,1,8,,,,,
GTSC2046 book report揾代做,😜,pm,👦,岀幾多？,😜,好忙 做唔切 pm傾傾,1,3,,,,,
Hist1105 final,🐡,上年讀有個revision Ppt 好似有四題 全部都係喺嗰度出 仲有埋答案,APTC,中學嘢,🍻,會考啲咩㗎？,3,3,,,,,
想問大英考試係咪唔可以用quillbot呢啲app？,👨,易check,👨,如果啲terms長難check，但好多時都ok.咪當grammarly 咁用,🍡,想請問exam係咪一律唔可以用paraphrasing tools？會俾人check到？,2,3,,,,,
Math1205 discrete mathematics 求,KiryuKazuma,要再pm過,KiryuKazuma,過左期,👶,Ys,1,6,,,,,
收ISEM3006 individual asm,😖,Pm,🐰,pm,😖,Pm,1,6,,,,,
有冇人執到部Macbook Air M2😭,LHL666,我應該係漏咗起宿舍樓下,🍀,定你係擺部電腦係拉巴霸撚住曬個d7頭,🍀,用find my,2,4,,,,,
放以下BBA Exam Sources,🍱,Pm,🐒,Pm,🐲,pm,1,5,,,,,
有冇人有Busi4006的Past paper?,😞,有 pm,👩,同埋Answers,,,,,1,2,,,
有無人可以代做尚書論文 有酬,😎,How much,😎,輕鬆啦,🐻,自定,1,9,,,,,
收2045 data sources,KK0114,Pm(有csv檔),😾,Pm,,,,,1,2,,,
點解要有Honpro呢樣野,🐙,冇人迫你讀呢個課程架，小朋友,🐙,完全唔明關馬後炮咩事，你自己選擇讀呢個課程前，唔做好資料蒐集，了解畢業要求，讀咗先話我對呢個畢業要求冇興趣，咁樣係大學生應該有嘅態度？,🐙,試過有人讀唔嚟honspro，最後個學位冇Hons 都一樣畢到業，但依家仲有冇就唔知，可以問吓你個課程同AR,1,16,,,,,
想返bu攞畢業證書，依加入bu仲使唔使拍咭？,🍉,Thx,🍣,唔使,,,,,2,,,,
放BUSI3007 Exam Sources,😰,"有齊exam paper and answer sources, 有意pm",,,,,,,,,,1,1
有冇人waiting list入圍,😥,61分都waiting list….,Opop,Cls 幾時多啲位,😺,好似話要等人放先有⋯⋯,3,6,,,,,
Math1005 calculus嘅pastpaper,ll1234567890,想要🙏,🐣,Pm,990202,我想要Math1005 past paper too,2,7,,,,,
有冇人有興趣上編委,😐,聽日一齊去？,😐,📷,🍰,幹事會都要人！要人上正莊！,3,5,,,,,
有冇人抽中去Singapore Trip,🐬,有,😑,冇,😮,仲有冇得抽？有興趣🤩,1,4,,,,,
🎅,😔,如題 預祝大家聖誕快樂🫶🏻,,,,,,,,,Sem 2 pre-reg result 幾時出？,2,1
BUSI 2045,KK0114,你要買？,🌭,Pm,🙆,Pm,1,4,,,,,
學生會做嘢未？去信要求將暴力內地生停學,🍚,推,😾,https://gongjyuhok.hk/articles/12248,😾,【呼籲師生、校友及公眾人士去信　促請校方保障校園安全】收件人：ssd_complaint@hkbu.edu.hk敬啟者：投訴學生周浓燊暴力攻擊老婆婆本人得悉本校22歲學生周浓燊昨日（11月28號）約8點10分在中環戲院里，突然暴力攻擊一名王姓婆婆，事後涉刑事毀壞及普通襲擊被捕。事件可見周浓燊具暴力傾向，令校友擔心其危及校園成員安全，促請校方依校規將周浓燊即時停學，並召開紀律聆訊處分。從傳媒直播影片可見，周浓燊突然從遠方衝向獨自企立的老婆婆側面，猛力奪去雨傘，並將老婆婆推跌至路旁石壆，圍觀者無不嘩然，而周浓燊亦立即被現場警察拘捕。能對手無縛雞之力之老人家下如此狠手，可見周浓燊毫無半點血性，行為令人髮指。根據浸大《Standards of Conduct》，周浓燊以刑事罪名被捕，已違校規「Violation of local law or ordinance」；暴力對待老人家，更犯學校要求學生「to exhibit a regard for the rights of others」及「 to show respect for the safety and property of other persons」，令大學蒙羞。根據《Student Disciplinary Procedures》10.1 ，如學生對大學社區其他成員構成威脅，可處以即時停學。促請校方盡快頒下即時停學令，保障師生學習環境的安全；同時執行紀律聆訊，將暴力學生周浓燊處分。　此致Panel on Student Diciplinary Cases校友ＸＸＸ　謹啟二零二二年十一月廿九日附件：周浓燊暴力攻擊老婆婆影片,3,3,,,,,
大家會唔會響應白紙運動？,🍺,https://gongjyuhok.hk/articles/12248,🐥,支持大陸公安，你可以打我了！,,,,,1,2,,,
