参数1_文本,参数3_文本
"明天睇樓量
大升百倍
全港AA有飯開",係咪一車車銀紙明天已經ready?
G持每人都車巴老貓,係咪一車車銀紙明天已經ready?
,係咪一車車銀紙明天已經ready?
,楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
"【#LikeJapan生活】日本預測2023年 楊枝甘露將成最流行第1食物：來自香港的經典甜品 日本望推廣到珍珠奶茶級別!?

日本消費者経済総研發布預測，估計楊枝甘露 (ヨンジーガムロ)將成為第1位的流行食品。這個來自香港的經典甜品，現在以飲品的方式在日本發售，成為當地話題。

楊枝甘露內含芒果果肉、柚子、西米等材料，這個很有「咬口」的特色，令日本人回想了珍珠奶茶，期待它可以到達珍珠奶茶的流行程度。這個產品先在2022年11月於超市大賣，現在即將於便利店出售。另一方面，有Cafe把它當作價值1309日圓的高級甜品...到底它在日本可以有多流行呢？

資料：https://newsdig.tbs.co.jp/articles/-/560741

© TBS
by #LikeJapan_Owen
＝＝＝＝＝＝＝＝＝＝
LikeJapan推出了全新優惠券APP，一鍵儲存旅行優惠券，輸入：https://app.likejapan.com/

LikeJapan推出了全新優惠券APP，一鍵儲存旅行優惠券，輸入：https://app.likejapan.com/

日本都有順豐！去日本旅行買完直接方便寄香港，再加$50專有特價！方法：
https://www.likejapan.com/trip-tutorial/ebackhome/

LikeJapan會員制「旅日會」已經正式推出！這是專為日本旅行愛好者而設的地方，大家將得到日本旅行的最新分析情報，之後還會有獎品換領優惠！
簡介網站：https://www.likejapan.com/membership/",楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
https://www.facebook.com/100064921440652/posts/pfbid0UhmfcCiXkdTLeG63cheMgfDSFpwCg2M1Mdp4Hz7o54td46E9g5mRzCERWvAY3c9Sl/?mibextid=cr9u03,楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
根本健康過糖粒廢水,楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
起碼營養素多啲先,楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
"想像下用日本芒果及柚子做出來
怎會不是高級甜品",楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
"老實講,楊枝甘露好飲過珍茶好多",楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
"真
珍珠奶茶食晒啲車胎落肚 好無益",楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
"當地自己貨唔係入口貨，應該唔是乜貴野
正如日日食和牛都唔係乜野錢",楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
一陣又一堆人沖出嚟話係佢發明,楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
日本好似得進口芒果,楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
記得之前七仔有得買差唔多$20細細支嗰支楊枝甘露，依家搵唔返了,楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
好快又比台仔打劫，邊左台灣發明，上次雞強仔已經試過一次，不過無所謂喇,楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
點會呀，宮崎都有芒果出口啦,楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
生果一定食日本的,楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
人地資本主義梗係爭，我地共產架嘛，爭黎做乜,楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
太陽之子,楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
"日本的確唔啱種芒果
就算有都唔夠呂宋芒好食",楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
問題係我飲過好多支裝，大部份都過甜，不過相比起珍珠奶茶冇咁滯,楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
廣東話譯音,楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
奶台狗：有咩問題，人地益緊你,楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
印像只有甜,楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
"除左宮崎
沖繩都有

不過貴過進口",楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
ヨンジーガムロ,楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
爭咩丫，溝埋做珍珠楊枝甘露啊笨,楊枝甘露將取代珍珠奶茶成日本最流行第1食物！！！！來自香港的經典甜品！！！！
爭咩丫，溝埋做珍珠楊枝甘露啊笨,［冷氣台］銅管温度sensor 點搞呢
"因為有巴打問, 見得鳩閒, 食飽飯等屎屙, 順便今日換埋

上集傳送門
最後一集 洗冷氣外機
https://lih.kg/bAqMsuV
#12 回覆 - 分享自 LIHKG 討論區

首先比條片intro下先
https://youtube.com/watch?v=Ouebo7iToWQ&feature=share8


開始喇喂
今次個任非常易, 純粹換粒野


就咁, 兩粒sensor




抆出嚟



因為粒野同底板冇標示數值, 咁就要大拆出嚟慢慢度......


好明顯個插頭係連接兩位電阻, 一個sensor一粒


返轉畫一條比尼睇就明


intro條片都講左, ntc sensor 會串住一個電阻, 而ntc配返同電阻一樣數值就屙茄


咁點知個sensor 壞左？
度下咪知lor, 之前已經check左買埋零件, 但太簡單唔想搞, 反正都係夠凍唔停姐, 又巴想知, 整埋比尼


見到冇？ 個插位同電阻線路係連住
他錶打去蜂嗚檔位度響姐係有連接


電阻是15k ohm, 姐係sensor用15k


15k ntc sensor


其實電阻用肉眼睇色環都可耳知幾ohm, 一陣補充



壞同正常分別
黑色係冇壞, Hi埋支凍茶道, 阻值上升


用手捽㷫粒lin頭, 阻值下降
溫變電阻姐係咁解

咁尼又問, 但他佢刀唔係15k ohm wo?
問得好, 所謂15k, 係以室温25'C為標準既時候=15k ohm.......可以自己google下, 有datasheet 可以睇


到壞果粒, 又係點呢？

吓？ 0.7k ohm, 咁柒細, 唔洗試了


新果粒 11k ohm



仆乖, 原來舊果個6mm頭


細L左, 焊d錫算, 其實包錫紙都得


焊完6mm


順便包條熱縮膠


火機譚佢老味, 熱縮鳩~



插返入去, 上機


呢個窿得閒同佢下打茄輪, 插下佢, 就唔會成日滴水, 塞去水







compressor red light, 姐係有行, 停要夠凍先, 觀察下



點解用第隻他錶, 晒命呀？
唔係, 首先呢啲錶好平, 同埋呢隻比較電子野用, 不過冇auto功能, 要打嚟打去, 如果想買靚, 精度高, 反應快, 買符碌牌（fluke）


一陣補充埋電阻如何以肉眼睇數值",［冷氣台］銅管温度sensor 點搞呢
好撚痴線,［冷氣台］銅管温度sensor 點搞呢
"之前喺香港都試過
日立窗口機壓縮機係咁開唔識停結果我拆咗個探熱針出嚟 去上海街$70配咗一粒裝上去搞掂",［冷氣台］銅管温度sensor 點搞呢
淘哥先兩蚊人仔粒,［冷氣台］銅管温度sensor 點搞呢
算啦，$70貨仔俾人讚吓錢啦,［冷氣台］銅管温度sensor 點搞呢
屌你老母用淘寶對唔對得住倉底手足？,［冷氣台］銅管温度sensor 點搞呢
屌你老母用淘寶對唔對得住倉底手足？,深水埗電子特賣城係咪就嚟上市?
"屌你老味日日人流勁撚過成個黃金
裏面職員求其數吓都30個
我懷疑佢中環開鋪都頂得住租金",深水埗電子特賣城係咪就嚟上市?
"唔敢入
一陣男甩佬味",深水埗電子特賣城係咪就嚟上市?
職員勁在記得晒啲價錢,深水埗電子特賣城係咪就嚟上市?
"其實行多兩步有間淘多多仲平
啲野再齊啲",深水埗電子特賣城係咪就嚟上市?
九城係山寨貨，同自己淘寶有乜分別,深水埗電子特賣城係咪就嚟上市?
仲要近乎全現金流,深水埗電子特賣城係咪就嚟上市?
平過淘寶,深水埗電子特賣城係咪就嚟上市?
"有，淘寶要等，又要比錢集運，又要搞集運

最後個價錢計埋都未必平過特賣城",深水埗電子特賣城係咪就嚟上市?
平過淘寶,深水埗電子特賣城係咪就嚟上市?
個間一定無電子特賣城平,深水埗電子特賣城係咪就嚟上市?
擺邊 價錢 全部記得哂,深水埗電子特賣城係咪就嚟上市?
"仲有肥仔開倉
我買耳機/細件野都揀佢唔上淘寶
淘寶又要等條友pack貨, 內地運去集運倉
集運倉寄順豐運落來
4,5日時間走唔甩又蝕左2層運費
咁不如益本地果D特賣店
用順豐運都係2日內收到",深水埗電子特賣城係咪就嚟上市?
唔洗去深水埗,深水埗電子特賣城係咪就嚟上市?
佢地係咪唔怕比人偷野,深水埗電子特賣城係咪就嚟上市?
"會捉人
貼你個樣係間鋪
傻豬",深水埗電子特賣城係咪就嚟上市?
隔離淘多多上先，咁快開埋分店,深水埗電子特賣城係咪就嚟上市?
真,深水埗電子特賣城係咪就嚟上市?
"有咩事又冇得退
不過我係特賣城買過既野，好多都係用一次就唔玩",深水埗電子特賣城係咪就嚟上市?
淘寶有得退？,深水埗電子特賣城係咪就嚟上市?
地下D舖比佢地迫走晒，變晒做倉，外圍又勁多抄佢地開舖,深水埗電子特賣城係咪就嚟上市?
我就係話淘寶買完有咩事冇得退,深水埗電子特賣城係咪就嚟上市?
本身個個都死場黎架啦,深水埗電子特賣城係咪就嚟上市?
咁癲,深水埗電子特賣城係咪就嚟上市?
,深水埗電子特賣城係咪就嚟上市?
,Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
,Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
灣灣回家,Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
"2024總統大選距今剩下6個月，《TVBS民調中心》上月19日公布調查結果顯示，民眾黨總統參選人柯文哲支持度33%，首度領先藍綠候選人拿下第一。時隔一個月，據《CNEWS匯流新聞網》今（7）日公布最新總統大選民調顯示，柯文哲支持率再居冠，以30.8%領先民進黨總統參選人賴清德的29.3%，以及國民黨總統參選人侯友宜的18.5%。

民眾黨主席柯文哲首次在「匯流民調」中居第一。從年齡層來看，40歲以下的年輕人，有54.9%支持柯文哲，柯文哲獲得的年輕人支持率，可說「輾壓」賴清德與侯友宜；但柯文哲的弱勢在於40歲以上民眾，中高年齡支持者，有33.7%挺賴，22.9％挺侯，20.9%挺柯。

依照教育程度來看，教育程度越高者，支持柯文哲比例越高，大學或以上教育程度者，有47.6%挺柯；國初中以下教育程度者，相對來說支持賴的比例最高；侯友宜則最受專科學歷者支持。

而從政黨傾向分析，柯文哲可以吸收到78.9%民眾黨支持，也有52.6%時代力量支持者，20.3%國民黨支持者轉而相挺；相對來說柯文哲對民進黨支持者吸引度較差，僅有5.2%民進黨支持者挺柯；至於中間選民，相對來說挺柯比例最高，達23.1%。

本次「匯流民調」由CNEWS匯流新聞網民調中心委託精確市場研究公司執行，調查日期為112年6月28日至7月1日晚間，以電話訪問調查方式進行，調查以市內電話合併行動電話方式進行調查，調查對象為戶籍在臺閩地區22縣市，年滿20歲的一般民眾，共完成1,816份有效樣本，其中市內電話完成916份，行動電話完成900份。調查抽樣誤差在95%信心水準下，為正負2.31個百分點。

總統民調／政壇me too風暴後　柯文哲領先賴清德居第一
https://news.tvbs.com.tw/politics/2172953",Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
樂色不分藍綠,Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
"柯p選到就好睇
呆彎第一",Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
幼兒園落藥單野係關邊個事,Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
含淚投票到含撚投票咪變香港泛民囉 真係有得輸先迫到綠營做好啲,Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
留意返匯流係柯P新聞網,Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
"民進黨仲繼續腐敗無能
仲玩香港民主自由牌拉票
真係輸咗都唔意外",Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
應該好過陳水扁少少。,Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
,Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
"其實有睇開台灣政治新聞同台北施政既就會明.
柯選到台灣先有救",Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
定係到時又自己整隻黑天鵝谷返綠黨上去,Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
民進黨全面執政八年，比柯P做下都無壞啦,Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
民眾黨先係台灣希望，民進黨根本唔當香港係自己人，唔理九二共識同兩岸條例,Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
"人地民主投票
我地呢班香港人又笑乜春",Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
"侯有移冇第一時間安定民心
重想好似以前咁大事化小小事化無就係咁先",Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
CNEWS匯流新聞網 白色中天,Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
"真. 之前我都信左民進黨講柯係中共代言人
不過認真去睇返佢台北市長施政.
同埋咁多年言行就明, 柯都係台獨, 不過就唔會主動去激嬲中共.

而民主黨係只要係佢選舉對手就係中共代言人",Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
"係
民調迫到咁近先同你大撒幣",Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
"奶共總統
在台港人準備回家",Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
"奶綠撚唔係咁樣睇
佢哋認為俾國民黨或者柯P做
台灣就會變成特別行政區
去台灣就可以用歡樂卡",Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
佢做到都跛腳啦,Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
"台灣男人真係抵畀女人打壓
好多狗公
Metoo一定會盲目支持女方",Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
tvbs,Metoo風暴後 台灣總統大選最新民調顯示：柯文哲以超過30%支持率力壓賴清德、侯友宜奪榜首！
tvbs,【有磚】貼一首大師級電影配樂
"https://youtu.be/2Iio8QmZY8A
劇情on撚鳩，配樂先係靈魂",【有磚】貼一首大師級電影配樂
https://youtu.be/UDVtMYqUAyw,【有磚】貼一首大師級電影配樂
https://youtu.be/SORlV8qAuIs,【有磚】貼一首大師級電影配樂
"https://youtu.be/NqkhNy7hAHY

點可以冇佢？",【有磚】貼一首大師級電影配樂
"batman returns片頭
英國Alevel music教材
https://youtu.be/E_L04BPyxYo",【有磚】貼一首大師級電影配樂
https://youtu.be/osuD6Kpw2AA,【有磚】貼一首大師級電影配樂
Hans Zimmer全部,【有磚】貼一首大師級電影配樂
"https://youtu.be/a6RnT8uxOiw

Arrival",【有磚】貼一首大師級電影配樂
"Interstellar the dark knight trilogy inception 全部音樂
黎緊有 Oppenheimer",【有磚】貼一首大師級電影配樂
https://youtu.be/LGs_vGt0MY8,【有磚】貼一首大師級電影配樂
https://www.youtube.com/watch?v=5TbWJJMdLsY,【有磚】貼一首大師級電影配樂
"Ecstasy of gold
https://m.youtube.com/watch?v=ubVc2MQwMkg",【有磚】貼一首大師級電影配樂
https://youtu.be/-asz8vP9S1c,【有磚】貼一首大師級電影配樂
https://youtu.be/xjJnWuA7-ps,【有磚】貼一首大師級電影配樂
,【有磚】貼一首大師級電影配樂
"https://youtu.be/lgXW6XDnhXA

抒情嘅",【有磚】貼一首大師級電影配樂
"https://youtu.be/Jh88x9Ejd5U

無論劇情定音樂都係大師級",【有磚】貼一首大師級電影配樂
"My most favorite composer of all time: Eric Serra
1. The Big Blue / Le Grand Bleu
https://youtu.be/_305OhXX_58
2. Leon The Professional
https://youtu.be/mHSW5JqKzyc
3. Nikita
https://youtu.be/Nluf9EwpHN4
4. Lucy
https://youtu.be/6TcxQg-bIsE
5. Anna
https://youtu.be/u_IGQQ-rMxs
and more…",【有磚】貼一首大師級電影配樂
"Gabriel Yared
《Betty Blue / 37.2 Le Matin》
https://youtu.be/WnWGLgfRj9Y（電影配樂版）
https://youtu.be/A9dJWO25VB4 （OST 版本）",【有磚】貼一首大師級電影配樂
https://youtu.be/yyV_eb3p3Zw,【有磚】貼一首大師級電影配樂
"https://youtu.be/J9EZGHcu3E8

既然Hans zimmer 比人po 左 分享下經典中既經典拎埋奧斯卡終身成就獎既Ennio Morricone",【有磚】貼一首大師級電影配樂
"慢過你添
咁po多個大師 john Williams

https://youtu.be/-bTpp8PQSog
Star Wars, ET , JAWS 仲有好多都係佢",【有磚】貼一首大師級電影配樂
"Wedding - The Handmaiden
https://youtu.be/CaZRRDD2z5M
好多人走去聽My Tamako，但係我覺得呢首一路build up仲正

Catwoman - The Batman
https://youtu.be/rl999L1M4Ig
忍唔住貼多首，呢首又係冇咁熱門，但係我覺得比The Batman Theme更好，真係為貓女量身訂做",【有磚】貼一首大師級電影配樂
"Rocky theme song

https://youtu.be/KPhqU--Mq1A

Johnny

https://youtu.be/yRh-dzrI4Z4

今年計 好有打boss feel 嘅
https://youtu.be/iPbt79Vt12U",【有磚】貼一首大師級電影配樂
啲brass同organ好正,【有磚】貼一首大師級電影配樂
啲brass同organ好正,大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
"日本即將排放福島第一核電站核廢水至大海，及後有報道指中國四座核電廠每年的氚排放量遠超褔島，當中鄰近香港的大亞灣核電廠每年氚排放量上限為225兆貝克，是福島核電廠每年排放量的10倍。

香港核學會主席陸炳林指，不能以一般核電廠營運排出的水，與日本褔島受污染的水比較，因為氚含量符合標準則可使用，但核廢水不只含氚，更包括其他放射性物質。另有環團直指如此比較是「混淆視聽」，強調日本褔島排放的核廢水的影響難以估計。

國際原子能機構（IAEA）周二（4日）發表日本核廢水排放計劃的安全性檢視總結報告，指計劃符合其安全標準，對環境影響「微不足道」。早於兩星期前，日本《讀賣新聞》報道，當地政府列出中國四座核電廠每年的氚排放量全部達90兆貝克以上，遠高於福島核電廠每年22兆貝克的排放量。至於距離香港約50公里的大亞灣核電廠，香港核電投資有限公司（HKNIC）的數據顯示，氚的年度監管限值為225兆貝克，等同於福島核電廠的10倍。

Advertising

Advertising

香港核學會主席陸炳林指，氚屬於低能量放射性物質，生物半衰期較短，殘留人類體內時間較內約是7至14天，多喝乾淨水可以透過尿液及出汗排出。他表示，日本福島核電廠的核廢水包括62種放射性核素，包括鈈、鍶、銫等超鈾元素，生物半衰期高達18年，影響較大。他說，雖然日方表示可過濾大部份放射性物質，「但始終減唔曬」，排放的核廢水含更多放射性物質，比起大亞灣核電廠排出的污水「複雜」很多。

他續指，氚為無法分解的物質，很多核電廠亦會排放氚，大亞灣核電廠於監管之下排出的核廢水，對於一般市民而言並無特別風險：「唔可以將一般核電廠營運排出嚟嘅水同褔島事故排出嚟嘅水、受污染嘅水比較，兩件分開嘅事。」

香港地球之友行政總裁洪藹誠則指，如此比較是混淆視聽。他指出，核電廠於正常使用情況之下，液態氚含量附合指定標準則可以排放，但由於今次是褔島核事故導致大量核污水囤積，需要幾十年時間排放，裡面或含很多不同放射性元素。

如果你剩返（大亞灣核電廠）氚同（日本福島核電廠）氚咁比較，大家都係符合（標準），而家個問題就係，你係咪確保（日本福島核電廠排放污水）剩返氚先？

他續指，日方目前不能百分百確保可以完全處理褔島核災的核污水，並且不會有其他物質流出去，數據並不公開透明，令國際社會擔憂：「如果萬一你個技術係出現咗問題嘅話，你雖然聲稱話氚以外你都過濾到，但原來唔係嘅話，一旦比佢流出咗大海，對海洋同人嘅影響係難以估計，因為你排放講緊係幾十年一路排落去。」

www.hk01 .com/%E7%A4%BE%E6%9C%83%E6% 96%B0%E8%81%9 E/916217",大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
"TL; DR 唯一認同係不能比較
一旦比較就違反國安法",大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
好快就轉風向話支持日本排廢水,大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
"咁香港核學會點證明大亞灣核廢水除左氚之外, 係無包括62種放射性核素，包括鈈、鍶、銫等超鈾元素

不過香港啲19學會係覺得自己勁過外國學會
例如香港工程屍學會唔認直接去英國考工程師牌既人, 要另外再interview 多次",大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
孔乙己便漲紅了臉，額上的青筋條條綻出，爭辯道，「竊書不能算偷……竊書！……讀書人的事，能算偷麼？」接連便是難懂的話，什麼「君子固窮」，什麼「者乎」之類，引得衆人都鬨笑起來：店內外充滿了快活的空氣。,大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
UN Approved,大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
"唔信日本標準
然後信支那標準",大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
中國特色社會主義元素,大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
香港人等變做生化人,大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
"裡面或含很多不同放射性元素

咁咪公佈下大家D核電站仲有D咩元素囉",大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
"咁人地國際原子能機構有無睇埋可能存在既其他放射性物質先？如果有審查過而話ok，即係國際認可啦，你班人嘈乜9


雖然你知我知大家都知，依家佢地嘈擺到明係政治原因",大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
有害物質對人體無害.jpg,大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
"梗係不能比較
你大亞灣高10000倍都好, 背後有暖心故事
福島只係食屎狗",大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
科學都不能比較?,大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
支那野永遠都係對世界無害既,大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
1+1就係3 你果d邊叫數學,大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
"有其它嘢
你咪再一齊比較囉
好難咩",大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
"拎埋其他元素比囉
乜宜家啲香港啲科學家咁無科學精神",大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
"政治凌駕科學嘅野你識條鐵咩
你以為重係當年賽先生果時呀?",大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
曾志矮高過薑B,大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
咩叫核學會，第一次聽,大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
香港專家就嚟可以同英國研究/南韓起源齊名,大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
"冇得比較,咁你拎日本嚟同邊個比,別國內政喎",大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
香港專家食屎就叻,大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
XG01又洗地,大亞灣核電廠氚排放量等同福島10倍 中国香港核學會及中国香港環團：不能比較
XG01又洗地,大排檔放題索價$288，網民：「我有信心食到檔野蝕本！」
"大排檔作為香港特色，不少人都愛叫小炒配啤酒！最近有網民在討論區以「原來依家癲到大排檔都有放題」為主題，引來網民討論，有人認為「3碟加啤洒已回本 一碟小炒都至少$120」，亦有人問「大排檔同雙餸飯有咩分別」。



樓主開首就言明「唔講邊間 我就唔會去食 有時限」，因此未有提供詳情，但很快就有網民「起底」餐廳，指放題限時90分鐘，3個套餐收費分別為$288、$388及$488：最平的$288可任食多款小炒及砂鍋煲仔菜、小食，亦有任飲飲品；而$388則包任食火鍋和麻辣水煮菜；最貴的$488更可任點40多款海鮮小菜。





該餐廳在食評網評分不錯，不過食放題都有不少規則要守，例如「每人每次只可以叫兩款，不限次數，食完方可再叫。」、「所有小菜一律例牌份量，不會因人數而定製」，而所有食物即叫即做，因此不要催單。另外逢周五至日、公眾假期及前夕，要每位另加$100。



網民對於「大排檔放題」意見兩極，有人表示：「4百幾蚊，如果兩個人去。啲海鮮味道好同啲款鍾意其實還好。有時去依啲大排檔食小炒兩個人去叫唔得多，平均都係依啲價。如果佢做到按人數份量少啲，味道好。依個價一定會有人去食。」亦有人笑言「椒鹽鮮魷我有信心食到檔野蝕本」。



不過大部分網民對於限時90分鐘非常不滿，計過每人都最多食到4碟，而且小炒易飽，感覺不划算，「次次食都4個鐘左右 90分鐘不了」、「當佢5分鐘出菜 咁都好好笑 而家食意大利菜？一道一道上？」，亦有網民表示，平日去大排檔都不用加一，「大排檔有咩服務可言 點解可以收加一？」",大排檔放題索價$288，網民：「我有信心食到檔野蝕本！」
"食到4碟都夠啦
平時一碟都一舊水
不過限住叫要食完先叫得好不爽
食得大排檔就係吹住水慢慢食慢慢飲, 要食得快就無癮啦",大排檔放題索價$288，網民：「我有信心食到檔野蝕本！」
食完成再叫得，咁水煮魚要食哂啲配菜先得？,大排檔放題索價$288，網民：「我有信心食到檔野蝕本！」
同條女講：今晚去食間新開嘅放題,大排檔放題索價$288，網民：「我有信心食到檔野蝕本！」
"放題自助餐精粹係少食多滋味
佢樣樣野都一個例牌咁大碟食唔得多
圍返條數根本同平時散叫一樣",大排檔放題索價$288，網民：「我有信心食到檔野蝕本！」
食大檔就係要隊住啤食住煙吹水坐佢4-5粒鐘,大排檔放題索價$288，網民：「我有信心食到檔野蝕本！」
佐敦新肥泉,大排檔放題索價$288，網民：「我有信心食到檔野蝕本！」
係啊 飲埋D湯啊碌柒咁,大排檔放題索價$288，網民：「我有信心食到檔野蝕本！」
"90分鐘
每次兩碟例牌份量
食完先可以再叫
冇得追單
Cls",大排檔放題索價$288，網民：「我有信心食到檔野蝕本！」
每人488散叫仲好啦,大排檔放題索價$288，網民：「我有信心食到檔野蝕本！」
食完兩碟先有得再嗌,大排檔放題索價$288，網民：「我有信心食到檔野蝕本！」
即整唔比催,大排檔放題索價$288，網民：「我有信心食到檔野蝕本！」
食到四碟當贏,大排檔放題索價$288，網民：「我有信心食到檔野蝕本！」
真係難，但好想試下,大排檔放題索價$288，網民：「我有信心食到檔野蝕本！」
